collection_date,Count_IAV,Positive_IAV,Concentration_IAV,Concentration_sub_IAV,Normalized_IAV,Normalized_sub_IAV,Count_RSV,Positive_RSV,Concentration_RSV,Concentration_sub_RSV,Normalized_RSV,Normalized_sub_RSV,Concentration_PMMoV
2022/1/1,0,0,,,,,0,0,,,,,
2022/1/2,0,0,,,,,0,0,,,,,
2022/1/3,0,0,,,,,0,0,,,,,
2022/1/4,0,0,,,,,0,0,,,,,
2022/1/5,0,0,,,,,0,0,,,,,8.92928123
2022/1/6,0,0,,,,,0,0,,,,,8.963337333
2022/1/7,0,0,,,,,0,0,,,,,8.95750085
2022/1/8,2,1,3.125469454,2.912219729,-5.757055084,-6.0809444,2,2,4.187020944,4.187020944,-4.806613151,-4.806613151,8.985048614
2022/1/9,5,3,3.265424515,3.03884271,-5.84133989,-5.943682379,5,5,4.462166944,4.462166944,-4.520497365,-4.520497365,8.982525089
2022/1/10,5,3,3.42033408,3.13178845,-6.189459578,-6.158683609,5,5,4.42620712,4.42620712,-4.864193754,-4.864193754,9.290472059
2022/1/11,5,3,3.501309634,3.180373782,-5.737076361,-5.881006264,5,5,4.354152281,4.354152281,-4.707033125,-4.707033125,9.061380046
2022/1/12,4,3,3.332236914,3.173920187,-5.724047309,-5.933310828,4,4,4.270731317,4.270731317,-4.83601495,-4.83601495,9.107231015
2022/1/13,5,2,3.608339178,3.062717674,-5.642532686,-6.091041225,5,5,4.256797492,4.256797492,-4.896814632,-4.896814632,9.153758899
2022/1/14,4,1,4.129076516,3.056496632,-4.887956824,-6.159623525,4,4,4.188348919,4.188348919,-5.027402915,-5.027402915,9.216120157
2022/1/15,5,1,3.947629747,2.948701953,-5.162959963,-5.954297213,5,5,4.072566379,4.072566379,-4.831042272,-4.831042272,8.902999166
2022/1/16,5,2,3.549492824,3.039179132,-5.505195192,-6.024264337,5,5,4.264217863,4.264217863,-4.799134722,-4.799134722,9.063443469
2022/1/17,5,1,4.006539808,2.960483965,-5.083365304,-6.064029077,5,5,4.245557148,4.245557148,-4.778995768,-4.778995768,9.024513042
2022/1/18,5,1,3.849925998,2.929161203,-5.267345298,-6.152140036,5,5,4.131214486,4.131214486,-4.949584119,-4.949584119,9.081301239
2022/1/19,5,2,3.636028582,3.073793435,-5.545438733,-6.417701691,5,5,4.131656352,4.131656352,-5.359719225,-5.359719225,9.491495126
2022/1/20,5,2,3.516935757,3.026156305,-5.650007436,-6.010258795,5,5,3.988011076,3.988011076,-5.048730008,-5.048730008,9.0364151
2022/1/21,5,2,3.5473089,3.038305563,-5.490044478,-5.966224429,5,5,3.832446238,3.832446238,-5.172432467,-5.172432467,9.004529992
2022/1/22,5,4,3.363188491,3.230344794,-5.509251496,-5.661862365,5,5,3.795077823,3.795077823,-5.097097605,-5.097097605,8.892207159
2022/1/23,5,2,3.644984591,3.077375839,-5.423540472,-5.918853652,5,5,3.686178721,3.686178721,-5.31030769,-5.31030769,8.996229491
2022/1/24,5,2,3.235985458,2.913776186,-5.77805401,-6.092030204,5,5,3.44755138,3.44755138,-5.558119218,-5.558119218,9.00580639
2022/1/25,5,2,3.431490903,2.991978364,-5.532809427,-6.044880501,5,5,3.832357286,3.832357286,-5.204750885,-5.204750885,9.036858865
2022/1/26,5,4,3.505308336,3.34404067,-5.737368037,-5.793800767,5,5,3.879648676,3.879648676,-5.258075163,-5.258075163,9.137841437
2022/1/27,5,1,3.614083035,2.881992611,-5.423343462,-6.141232617,5,5,3.752622776,3.752622776,-5.270534018,-5.270534018,9.023225228
2022/1/28,5,2,3.304974048,2.941371622,-5.89180127,-6.133590352,5,5,3.640435301,3.640435301,-5.434516758,-5.434516758,9.074961974
2022/1/29,5,1,3.134440112,2.786064026,-6.258256841,-6.389670552,5,5,4.11010144,4.11010144,-5.065299018,-5.065299018,9.175734578
