collection_date,Count_IAV,Positive_IAV,Concentration_IAV,Concentration_sub_IAV,Normalized_IAV,Normalized_sub_IAV,Count_RSV,Positive_RSV,Concentration_RSV,Concentration_sub_RSV,Normalized_RSV,Normalized_sub_RSV,Concentration_PMMoV
2022/5/16,2,2,4.108282262,4.108282262,-4.464123112,-4.464123112,2,1,3.761651312,3.230310658,-4.917874294,-5.342069303,8.572405374
2022/5/17,2,2,4.171620833,4.171620833,-4.345440611,-4.345440611,2,1,3.995170758,3.347070381,-4.478618008,-5.169932686,8.517061445
2022/5/18,2,0,,2.698970004,,-5.768834005,2,0,,2.698970004,,-5.768012463,8.467804009
2022/5/19,0,0,,,,,0,0,,,,,
2022/5/20,0,0,,,,,0,0,,,,,
2022/5/21,0,0,,,,,0,0,,,,,
2022/5/22,0,0,,,,,0,0,,,,,
2022/5/23,2,2,3.661765535,3.661765535,-5.166775783,-5.166775783,2,1,3.712721876,3.20584594,-5.237492251,-5.622581468,8.828541318
2022/5/24,2,2,3.744291752,3.744291752,-4.562945931,-4.562945931,2,0,,2.698970004,,-5.608848233,8.307237683
2022/5/25,2,2,4.361289727,4.361289727,-3.925204127,-3.925204127,2,0,,2.698970004,,-5.586947356,8.286493854
2022/5/26,0,0,,,,,0,0,,,,,
2022/5/27,0,0,,,,,0,0,,,,,
2022/5/28,0,0,,,,,0,0,,,,,
2022/5/29,0,0,,,,,0,0,,,,,
2022/5/30,0,0,,,,,0,0,,,,,
2022/5/31,2,2,3.804987624,3.804987624,-4.658882285,-4.658882285,2,0,,2.698970004,,-5.764559071,8.463869909
2022/6/1,2,2,4.269970052,4.269970052,-4.543129277,-4.543129277,2,0,,2.698970004,,-6.114249746,8.81309933
2022/6/2,2,1,4.184662034,3.441816019,-4.340382773,-5.037990836,2,0,,2.698970004,,-5.780366682,8.479806856
2022/6/3,0,0,,,,,0,0,,,,,
2022/6/4,0,0,,,,,0,0,,,,,
2022/6/5,0,0,,,,,0,0,,,,,
2022/6/6,2,1,4.064973324,3.381971664,-4.569503946,-5.247923196,2,0,,2.698970004,,-5.931122046,8.629894861
2022/6/7,2,1,3.593621002,3.146295503,-5.136353283,-5.575856519,2,0,,2.698970004,,-6.02289325,8.722152023
2022/6/8,2,0,,2.698970004,,-5.689902855,2,0,,2.698970004,,-5.689707177,8.38887286
2022/6/9,0,0,,,,,0,0,,,,,
2022/6/10,0,0,,,,,0,0,,,,,
2022/6/11,0,0,,,,,0,0,,,,,
2022/6/12,0,0,,,,,0,0,,,,,
2022/6/13,2,0,,2.698970004,,-5.887891119,2,0,,2.698970004,,-5.887809995,8.586861124
2022/6/14,2,1,4.146940047,3.422955026,-4.586257218,-5.204865724,2,0,,2.698970004,,-5.928844378,8.627820749
2022/6/15,2,0,,2.698970004,,-6.117011997,2,0,,2.698970004,,-6.117083723,8.815982001
2022/6/16,0,0,,,,,0,0,,,,,
2022/6/17,0,0,,,,,0,0,,,,,
2022/6/18,0,0,,,,,0,0,,,,,
2022/6/19,0,0,,,,,0,0,,,,,
2022/6/20,2,0,,2.698970004,,-5.685437811,2,0,,2.698970004,,-5.684815896,8.384407815
2022/6/21,2,1,3.726625468,3.212797736,-4.905831824,-5.314232873,2,0,,2.698970004,,-5.828039326,8.52703061
2022/6/22,2,0,,2.698970004,,-5.969945245,2,0,,2.698970004,,-5.969951267,8.66891525
2022/6/23,0,0,,,,,0,0,,,,,
2022/6/24,0,0,,,,,0,0,,,,,
2022/6/25,0,0,,,,,0,0,,,,,
2022/6/26,0,0,,,,,0,0,,,,,
2022/6/27,2,0,,2.698970004,,-6.18700737,2,1,3.534809513,3.116889758,-5.008791277,-5.768325799,8.885977374
2022/6/28,2,0,,2.698970004,,-6.159715439,2,0,,2.698970004,,-6.160129051,8.858685443
2022/6/29,2,0,,2.698970004,,-5.930076734,2,0,,2.698970004,,-5.930040912,8.629046738
2022/6/30,0,0,,,,,0,0,,,,,
2022/7/1,0,0,,,,,0,0,,,,,
2022/7/2,0,0,,,,,0,0,,,,,
2022/7/3,0,0,,,,,0,0,,,,,
2022/7/4,0,0,,,,,0,0,,,,,
2022/7/5,2,0,,2.698970004,,-5.871707842,2,0,,2.698970004,,-5.871869383,8.570677846
2022/7/6,2,0,,2.698970004,,-5.937475035,2,1,4.356862881,3.527916443,-4.33533647,-5.108536186,8.636445039
2022/7/7,2,0,,2.698970004,,-5.697575796,2,0,,2.698970004,,-5.697758209,8.3965458
2022/7/8,0,0,,,,,0,0,,,,,
2022/7/9,0,0,,,,,0,0,,,,,
2022/7/10,0,0,,,,,0,0,,,,,
2022/7/11,2,0,,2.698970004,,-5.405170035,2,0,,2.698970004,,-5.405652909,8.104140039
2022/7/12,2,0,,2.698970004,,-5.374800144,2,1,3.502724198,3.100847101,-4.785818445,-4.973411029,8.073770148
2022/7/13,2,0,,2.698970004,,-5.833446106,2,0,,2.698970004,,-5.833100261,8.53241611
2022/7/14,0,0,,,,,0,0,,,,,
2022/7/15,0,0,,,,,0,0,,,,,
2022/7/16,0,0,,,,,0,0,,,,,
2022/7/17,0,0,,,,,0,0,,,,,
2022/7/18,2,0,,2.698970004,,-5.456694972,2,0,,2.698970004,,-5.457702109,8.155664976
2022/7/19,2,0,,2.698970004,,-6.410903445,2,0,,2.698970004,,-6.410364718,9.109873449
2022/7/20,2,0,,2.698970004,,-6.05280005,2,0,,2.698970004,,-6.052752617,8.751770054
2022/7/21,0,0,,,,,0,0,,,,,
2022/7/22,0,0,,,,,0,0,,,,,
2022/7/23,0,0,,,,,0,0,,,,,
2022/7/24,0,0,,,,,0,0,,,,,
2022/7/25,2,0,,2.698970004,,-6.201560261,2,1,3.597908342,3.148439173,-5.461942691,-5.751776598,8.900530265
2022/7/26,1,0,,2.698970004,,-5.989449818,1,0,,2.698970004,,-5.989804081,8.688419822
2022/7/27,2,0,,2.698970004,,-6.160587868,2,0,,2.698970004,,-6.160710857,8.859557872
2022/7/28,0,0,,,,,0,0,,,,,
2022/7/29,0,0,,,,,0,0,,,,,
2022/7/30,0,0,,,,,0,0,,,,,
2022/7/31,0,0,,,,,0,0,,,,,
2022/8/1,2,0,,2.698970004,,-5.993897463,2,0,,2.698970004,,-5.993656347,8.692867467
2022/8/2,2,0,,2.698970004,,-6.231077362,2,0,,2.698970004,,-6.230887796,8.930047367
2022/8/3,1,0,,2.698970004,,-5.997386384,1,0,,2.698970004,,-5.997777171,8.696356389
2022/8/4,0,0,,,,,0,0,,,,,
2022/8/5,0,0,,,,,0,0,,,,,
2022/8/6,0,0,,,,,0,0,,,,,
2022/8/7,0,0,,,,,0,0,,,,,
2022/8/8,2,0,,2.698970004,,-5.962592078,2,0,,2.698970004,,-5.962302696,8.661562083
2022/8/9,2,0,,2.698970004,,-5.541320889,2,0,,2.698970004,,-5.541238442,8.240290893
2022/8/10,2,0,,2.698970004,,-5.883301591,2,0,,2.698970004,,-5.883208622,8.582271595
2022/8/11,0,0,,,,,0,0,,,,,
2022/8/12,0,0,,,,,0,0,,,,,
2022/8/13,0,0,,,,,0,0,,,,,
2022/8/14,0,0,,,,,0,0,,,,,
2022/8/15,2,0,,2.698970004,,-5.999718395,2,0,,2.698970004,,-5.99967804,8.698688399
2022/8/16,2,0,,2.698970004,,-5.871488184,2,0,,2.698970004,,-5.87137013,8.570458188
2022/8/17,2,0,,2.698970004,,-5.67034101,2,1,3.445390515,3.07218026,-5.075677721,-5.296785728,8.369311014
2022/8/18,0,0,,,,,0,0,,,,,
2022/8/19,0,0,,,,,0,0,,,,,
2022/8/20,0,0,,,,,0,0,,,,,
2022/8/21,0,0,,,,,0,0,,,,,
2022/8/22,2,0,,2.698970004,,-6.169387562,2,1,4.826483649,3.762726827,-4.427766932,-5.105358021,8.868357567
2022/8/23,2,1,4.015102543,3.357036274,-4.480441794,-5.196597549,2,0,,2.698970004,,-5.854420473,8.553633823
2022/8/24,2,0,,2.698970004,,-6.049531469,2,1,5.039507868,3.869238936,-3.750713661,-4.879374621,8.748501473
2022/8/25,0,0,,,,,0,0,,,,,
2022/8/26,0,0,,,,,0,0,,,,,
2022/8/27,0,0,,,,,0,0,,,,,
2022/8/28,0,0,,,,,0,0,,,,,
