collection_date,Count_IAV,Positive_IAV,Concentration_IAV,Concentration_sub_IAV,Normalized_IAV,Normalized_sub_IAV,Count_RSV,Positive_RSV,Concentration_RSV,Concentration_sub_RSV,Normalized_RSV,Normalized_sub_RSV,Concentration_PMMoV
2022/4/3,3,1,3.288584896,2.895508302,-5.279616828,-5.508586913,3,0,,2.698970004,,-5.705031254,8.404095214
2022/4/4,0,0,,,,,0,0,,,,,
2022/4/5,3,2,3.620854532,3.31355969,-4.799768875,-4.972533695,3,1,3.351891914,2.916610641,-5.13581982,-5.369157499,8.286093385
2022/4/6,0,0,,,,,0,0,,,,,
2022/4/7,3,2,3.960701398,3.540124267,-4.345690531,-4.880257023,3,2,3.763361567,3.408564379,-4.710780116,-5.011251384,8.420381289
2022/4/8,0,0,,,,,0,0,,,,,
2022/4/9,0,0,,,,,0,0,,,,,
2022/4/10,3,1,3.93008215,3.109340719,-4.768887855,-5.285839999,3,0,,2.698970004,,-5.6958506,8.395180718
2022/4/11,0,0,,,,,0,0,,,,,
2022/4/12,3,3,3.695792186,3.695792186,-4.591053467,-4.591053467,3,0,,2.698970004,,-5.587526249,8.286845653
2022/4/13,0,0,,,,,0,0,,,,,
2022/4/14,3,2,3.653655212,3.33542681,-4.670768642,-5.018622348,3,1,3.482372271,2.960104093,-4.957627688,-5.394042079,8.354049157
2022/4/15,0,0,,,,,0,0,,,,,
2022/4/16,0,0,,,,,0,0,,,,,
2022/4/17,3,2,4.094014411,3.628999609,-4.347247858,-4.791912318,3,1,3.742245734,3.046728581,-4.500438778,-5.374168114,8.420911927
2022/4/18,0,0,,,,,0,0,,,,,
2022/4/19,3,2,3.54654174,3.264017828,-4.438350201,-4.773581733,3,1,3.113955288,2.837298432,-4.607877546,-5.200026971,8.037599561
2022/4/20,0,0,,,,,0,0,,,,,
2022/4/21,3,1,3.554028211,2.983989407,-4.968416023,-5.435051952,3,0,,2.698970004,,-5.720196055,8.419041359
2022/4/22,0,0,,,,,0,0,,,,,
2022/4/23,0,0,,,,,0,0,,,,,
2022/4/24,3,1,3.671971388,3.023303799,-4.492381467,-5.302549567,3,0,,2.698970004,,-5.627095071,8.325853366
2022/4/25,0,0,,,,,0,0,,,,,
2022/4/26,3,3,3.978953878,3.978953878,-4.607655183,-4.607655183,3,1,4.278285838,3.225408616,-4.52607187,-5.361214306,8.586609061
2022/4/27,0,0,,,,,0,0,,,,,
2022/4/28,3,2,3.77506173,3.416364488,-4.371287772,-4.774879635,3,0,,2.698970004,,-5.492425179,8.191244123
2022/4/29,0,0,,,,,0,0,,,,,
2022/4/30,0,0,,,,,0,0,,,,,
2022/5/1,3,2,3.815859816,3.443563212,-4.720718811,-4.955439753,3,1,3.78975813,3.062566046,-4.700464384,-5.336582773,8.399002965
2022/5/2,0,0,,,,,0,0,,,,,
2022/5/3,3,3,3.825398735,3.825398735,-4.648950988,-4.648950988,3,1,3.54340542,2.980448476,-4.993436298,-5.494086118,8.474349723
2022/5/4,0,0,,,,,0,0,,,,,
2022/5/5,3,3,3.810825905,3.810825905,-4.742184812,-4.742184812,3,1,3.397766537,2.931902182,-4.520438631,-5.621284199,8.553010718
2022/5/6,0,0,,,,,0,0,,,,,
2022/5/7,0,0,,,,,0,0,,,,,
2022/5/8,3,1,3.941570266,3.113170092,-4.216792226,-5.064472426,3,1,3.9324853,3.11014177,-4.381811351,-5.067341121,8.177642518
2022/5/9,0,0,,,,,0,0,,,,,
2022/5/10,3,2,4.021661077,3.580764053,-4.281196104,-4.624007458,3,2,3.555525522,3.270007016,-4.747453835,-4.934617807,8.204771511
2022/5/11,0,0,,,,,0,0,,,,,
2022/5/12,3,2,3.823204069,3.448459381,-4.179802059,-4.746424441,3,0,,2.698970004,,-5.495096337,8.194883822
2022/5/13,0,0,,,,,0,0,,,,,
2022/5/14,0,0,,,,,0,0,,,,,
2022/5/15,3,3,3.85164654,3.85164654,-4.413337019,-4.413337019,3,1,3.798009141,3.065316383,-4.353701461,-5.199314624,8.264983559
2022/5/16,0,0,,,,,0,0,,,,,
2022/5/17,3,3,3.992513441,3.992513441,-4.183030323,-4.183030323,3,2,4.018069792,3.578369862,-4.109687147,-4.597354841,8.175543765
2022/5/18,0,0,,,,,0,0,,,,,
2022/5/19,3,0,,2.698970004,,-4.978365748,3,0,,2.698970004,,-4.97742194,7.677335752
2022/5/20,0,0,,,,,0,0,,,,,
2022/5/21,0,0,,,,,0,0,,,,,
