collection_date,IAV_sunnyvale,IAV_oceanside,IAV_palo_alto,IAV_san_jose,IAV_silicon_valley,IAV_southeast_san_francisco,Test_sunny,Test_Oceanside,Test_Palo,Test_san,Test_silcon,Test_south,Positive_sunny,Positive_Oceanside,Positive_Palo,Positive_san,Positive_silcon,Positive_south
2022/1/1,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
2022/1/2,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
2022/1/3,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
2022/1/4,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
2022/1/5,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
2022/1/6,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
2022/1/7,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
2022/1/8,,,1334.963693,500,,,0,0,1,1,0,0,0,0,1,0,0,0
2022/1/9,917.9784387,500,2819.189996,2417.222997,500,,1,1,1,1,1,0,1,0,1,1,0,0
2022/1/10,1276.853851,500,7002.469067,2039.904573,500,,1,1,1,1,1,0,1,0,1,1,0,0
2022/1/11,1430.894309,500,7073.224044,3152.854512,500,,1,1,1,1,1,0,1,0,1,1,0,0
2022/1/12,500,,4367.834505,1724.429606,1317.647059,,1,0,1,1,1,0,0,0,1,1,1,0
2022/1/13,500,500,11282.97575,1459.670067,500,,1,1,1,1,1,0,0,0,1,1,0,0
2022/1/14,500,,13460.97494,500,500,,1,0,1,1,1,0,0,0,1,0,0,0
2022/1/15,500,500,8864,500,500,,1,1,1,1,1,0,0,0,1,0,0,0
2022/1/16,500,1454.545455,8634.920635,500,500,,1,1,1,1,1,0,0,1,1,0,0,0
2022/1/17,500,500,10151.72414,500,500,,1,1,1,1,1,0,0,0,1,0,0,0
2022/1/18,500,500,7078.251634,500,500,,1,1,1,1,1,0,0,0,1,0,0,0
2022/1/19,500,500,6779.608903,500,2759.640576,,1,1,1,1,1,0,0,0,1,0,1,0
2022/1/20,500,500,3354.364523,500,3223.007066,,1,1,1,1,1,0,0,0,1,0,1,0
2022/1/21,500,500,3078.1676,500,4039.480705,,1,1,1,1,1,0,0,0,1,0,1,0
2022/1/22,500,1642.356775,2299.098381,1141.977405,6577.659536,,1,1,1,1,1,0,0,1,1,1,1,0
2022/1/23,500,500,1552.642911,12557.33837,500,,1,1,1,1,1,0,0,0,1,1,0,0
2022/1/24,500,500,1092.610011,500,2713.34952,,1,1,1,1,1,0,0,0,1,0,1,0
2022/1/25,500,500,1332.721789,500,5473.212466,,1,1,1,1,1,0,0,0,1,0,1,0
2022/1/26,1189.812726,500,4355.882967,1629.965893,12430.82682,,1,1,1,1,1,0,1,0,1,1,1,0
2022/1/27,500,500,4112.283389,500,500,,1,1,1,1,1,0,0,0,1,0,0,0
2022/1/28,500,500,1467.705942,500,2775.294302,,1,1,1,1,1,0,0,0,1,0,1,0
2022/1/29,1362.825063,500,500,500,500,,1,1,1,1,1,0,1,0,0,0,0,0
2022/1/30,500,500,572.0634987,500,500,,1,1,1,1,1,0,0,0,1,0,0,0
2022/1/31,500,,1115.719607,500,500,,1,0,1,1,1,0,0,0,1,0,0,0
2022/2/1,500,500,500,500,1821.665647,,1,1,1,1,1,0,0,0,0,0,1,0
2022/2/2,500,944.6531009,500,500,500,,1,1,1,1,1,0,0,1,0,0,0,0
2022/2/3,500,500,500,1058.584434,500,,1,1,1,1,1,0,0,0,0,1,0,0
2022/2/4,500,500,325402.5546,500,500,,1,1,1,1,1,0,0,0,1,0,0,0
2022/2/5,500,960.2204201,500,500,2290.245902,,1,1,1,1,1,0,0,1,0,0,1,0
2022/2/6,803.0528539,500,4717.41078,500,1179.499494,,1,1,1,1,1,0,1,0,1,0,1,0
2022/2/7,500,500,500,500,500,,1,1,1,1,1,0,0,0,0,0,0,0
2022/2/8,500,500,4457.140631,1660.616683,6011.177544,,1,1,1,1,1,0,0,0,1,1,1,0
2022/2/9,500,500,3684.72925,500,21769.40511,,1,1,1,1,1,0,0,0,1,0,1,0
2022/2/10,500,500,5141.649927,500,7074.27476,,1,1,1,1,1,0,0,0,1,0,1,0
2022/2/11,500,500,4568.875664,500,3889.776366,,1,1,1,1,1,0,0,0,1,0,1,0
2022/2/12,500,500,500,1051.509036,7264.922063,,1,1,1,1,1,0,0,0,0,1,1,0
2022/2/13,500,500,1225.836815,500,2762.737161,,1,1,1,1,1,0,0,0,1,0,1,0
2022/2/14,500,500,500,10784.70875,500,,1,1,1,1,1,0,0,0,0,1,0,0
2022/2/15,500,500,500,500,3541.973943,,1,1,1,1,1,0,0,0,0,0,1,0
2022/2/16,500,,1756.627371,500,2543.589744,,1,0,1,1,1,0,0,0,1,0,1,0
2022/2/17,500,500,500,500,500,,1,1,1,1,1,0,0,0,0,0,0,0
2022/2/18,500,500,500,500,2100.023421,,1,1,1,1,1,0,0,0,0,0,1,0
2022/2/19,500,500,500,500,500,,1,1,1,1,1,0,0,0,0,0,0,0
2022/2/20,500,500,500,500,6285.76656,,1,1,1,1,1,0,0,0,0,0,1,0
2022/2/21,500,500,500,500,500,,1,1,1,1,1,0,0,0,0,0,0,0
2022/2/22,500,500,3537.82776,500,500,,1,1,1,1,1,0,0,0,1,0,0,0
2022/2/23,500,500,14099.60411,2798.272342,1951.217434,,1,1,1,1,1,0,0,0,1,1,1,0
2022/2/24,500,500,,2492.032408,2474.011051,,1,1,0,1,1,0,0,0,0,1,1,0
2022/2/25,1631.441884,500,1475.72891,500,500,,1,1,1,1,1,0,1,0,1,0,0,0
2022/2/26,500,500,500,500,500,,1,1,1,1,1,0,0,0,0,0,0,0
2022/2/27,1254.717767,500,1895.465998,500,1464.396163,,1,1,1,1,1,0,1,0,1,0,1,0
2022/2/28,4670.165131,,2455.93259,500,500,,1,0,1,1,1,0,1,0,1,0,0,0
2022/3/1,3958.36781,500,2536.385416,1072.791631,500,,1,1,1,1,1,0,1,0,1,1,0,0
2022/3/2,2100.290997,500,1415.775668,500,500,,1,1,1,1,1,0,1,0,1,0,0,0
2022/3/3,903.0797572,500,500,500,500,,1,1,1,1,1,0,1,0,0,0,0,0
2022/3/4,500,500,2941.27101,1703.473343,500,,1,1,1,1,1,0,0,0,1,1,0,0
2022/3/5,500,948.9020329,500,2095.575221,500,,1,1,1,1,1,0,0,1,0,1,0,0
2022/3/6,500,500,500,500,500,,1,1,1,1,1,0,0,0,0,0,0,0
2022/3/7,895.3994854,1078.53916,500,500,500,,1,1,1,1,1,0,1,1,0,0,0,0
2022/3/8,500,500,500,1550.241514,12014.21151,,1,1,1,1,1,0,0,0,0,1,1,0
2022/3/9,943.8460398,500,3140.638654,500,9405.722052,,1,1,1,1,1,0,1,0,1,0,1,0
2022/3/10,1769.089069,500,500,500,500,,1,1,1,1,1,0,1,0,0,0,0,0
2022/3/11,910.6916635,1081.880699,500,852.4500678,1128.758952,,1,1,1,1,1,0,1,1,0,1,1,0
2022/3/12,500,500,1366.420339,1045.361161,500,,1,1,1,1,1,0,0,0,1,1,0,0
2022/3/13,500,1267.831813,500,2505.456499,500,,1,1,1,1,1,0,0,1,0,1,0,0
2022/3/14,500,500,500,1180.729792,500,,1,1,1,1,1,0,0,0,0,1,0,0
2022/3/15,500,500,1321.512783,1527.188231,5420.747429,,1,1,1,1,1,0,0,0,1,1,1,0
2022/3/16,500,1339.780572,1944.380321,4599.014918,1103.477784,,1,1,1,1,1,0,0,1,1,1,1,0
2022/3/17,500,1552.764897,500,3393.306845,500,,1,1,1,1,1,0,0,1,0,1,0,0
2022/3/18,1038.583638,6096.487801,500,1390.876287,500,,1,1,1,1,1,0,1,1,0,1,0,0
