collection_date,IAV_Eastern,IAV_Northwest,IAV_South,Test_East,Test_North,Test_South,Positive_East,Positive_North,Positive_South
2022/1/1,,,,0,0,0,0,0,0
2022/1/2,,,,0,0,0,0,0,0
2022/1/3,,,,0,0,0,0,0,0
2022/1/4,,,,0,0,0,0,0,0
2022/1/5,,,,0,0,0,0,0,0
2022/1/6,,,,0,0,0,0,0,0
2022/1/7,,,,0,0,0,0,0,0
2022/1/8,,,,0,0,0,0,0,0
2022/1/9,,,,0,0,0,0,0,0
2022/1/10,,,,0,0,0,0,0,0
2022/1/11,,,,0,0,0,0,0,0
2022/1/12,,,,0,0,0,0,0,0
2022/1/13,,,,0,0,0,0,0,0
2022/1/14,,,,0,0,0,0,0,0
2022/1/15,,,,0,0,0,0,0,0
2022/1/16,,,,0,0,0,0,0,0
2022/1/17,,,,0,0,0,0,0,0
2022/1/18,,,,0,0,0,0,0,0
2022/1/19,,,,0,0,0,0,0,0
2022/1/20,,,,0,0,0,0,0,0
2022/1/21,,,,0,0,0,0,0,0
2022/1/22,,,,0,0,0,0,0,0
2022/1/23,,,,0,0,0,0,0,0
2022/1/24,,,,0,0,0,0,0,0
2022/1/25,,,,0,0,0,0,0,0
2022/1/26,,,,0,0,0,0,0,0
2022/1/27,,,,0,0,0,0,0,0
2022/1/28,,,,0,0,0,0,0,0
2022/1/29,,,,0,0,0,0,0,0
2022/1/30,,,,0,0,0,0,0,0
2022/1/31,,,,0,0,0,0,0,0
2022/2/1,,,,0,0,0,0,0,0
2022/2/2,,,,0,0,0,0,0,0
2022/2/3,,,,0,0,0,0,0,0
2022/2/4,,,,0,0,0,0,0,0
2022/2/5,,,,0,0,0,0,0,0
2022/2/6,,,,0,0,0,0,0,0
2022/2/7,,,,0,0,0,0,0,0
2022/2/8,,,,0,0,0,0,0,0
2022/2/9,,,,0,0,0,0,0,0
2022/2/10,,,,0,0,0,0,0,0
2022/2/11,,,,0,0,0,0,0,0
2022/2/12,,,,0,0,0,0,0,0
2022/2/13,,,,0,0,0,0,0,0
2022/2/14,,,,0,0,0,0,0,0
2022/2/15,,,,0,0,0,0,0,0
2022/2/16,,,,0,0,0,0,0,0
2022/2/17,,,,0,0,0,0,0,0
2022/2/18,,,,0,0,0,0,0,0
2022/2/19,,,,0,0,0,0,0,0
2022/2/20,,,,0,0,0,0,0,0
2022/2/21,,,,0,0,0,0,0,0
2022/2/22,,,,0,0,0,0,0,0
2022/2/23,,,,0,0,0,0,0,0
2022/2/24,,,,0,0,0,0,0,0
2022/2/25,,,,0,0,0,0,0,0
2022/2/26,,,,0,0,0,0,0,0
2022/2/27,,,,0,0,0,0,0,0
2022/2/28,,,,0,0,0,0,0,0
2022/3/1,,,,0,0,0,0,0,0
2022/3/2,,,,0,0,0,0,0,0
2022/3/3,,,,0,0,0,0,0,0
2022/3/4,,,,0,0,0,0,0,0
2022/3/5,,,,0,0,0,0,0,0
2022/3/6,,,,0,0,0,0,0,0
2022/3/7,,,,0,0,0,0,0,0
2022/3/8,,,,0,0,0,0,0,0
2022/3/9,,,,0,0,0,0,0,0
2022/3/10,,,,0,0,0,0,0,0
2022/3/11,,,,0,0,0,0,0,0
2022/3/12,,,,0,0,0,0,0,0
2022/3/13,,,,0,0,0,0,0,0
2022/3/14,,,,0,0,0,0,0,0
2022/3/15,,,,0,0,0,0,0,0
2022/3/16,,,,0,0,0,0,0,0
2022/3/17,,,,0,0,0,0,0,0
2022/3/18,,,,0,0,0,0,0,0
2022/3/19,,,,0,0,0,0,0,0
2022/3/20,,,,0,0,0,0,0,0
2022/3/21,,,,0,0,0,0,0,0
2022/3/22,,,,0,0,0,0,0,0
2022/3/23,,,,0,0,0,0,0,0
2022/3/24,,,,0,0,0,0,0,0
2022/3/25,,,,0,0,0,0,0,0
2022/3/26,,,,0,0,0,0,0,0
2022/3/27,,,,0,0,0,0,0,0
2022/3/28,,,,0,0,0,0,0,0
2022/3/29,,,,0,0,0,0,0,0
2022/3/30,,,,0,0,0,0,0,0
2022/3/31,,,,0,0,0,0,0,0
2022/4/1,,,,0,0,0,0,0,0
2022/4/2,,,,0,0,0,0,0,0
2022/4/3,500,500,1943.501571,1,1,1,0,0,1
2022/4/4,,,,0,0,0,0,0,0
2022/4/5,500,7759.20365,2248.494938,1,1,1,0,1,1
2022/4/6,,,,0,0,0,0,0,0
2022/4/7,6517.235968,12803.8138,500,1,1,1,1,1,0
2022/4/8,,,,0,0,0,0,0,0
2022/4/9,,,,0,0,0,0,0,0
2022/4/10,500,500,8512.990517,1,1,1,0,0,1
2022/4/11,,,,0,0,0,0,0,0
2022/4/12,8491.893024,4782.797798,3010.856254,1,1,1,1,1,1
2022/4/13,,,,0,0,0,0,0,0
2022/4/14,2863.875122,500,7085.269078,1,1,1,1,0,1
2022/4/15,,,,0,0,0,0,0,0
2022/4/16,,,,0,0,0,0,0,0
2022/4/17,22096.62029,500,6977.550189,1,1,1,1,0,1
2022/4/18,,,,0,0,0,0,0,0
2022/4/19,5633.701473,500,2199.326209,1,1,1,1,0,1
2022/4/20,,,,0,0,0,0,0,0
2022/4/21,500,3581.196991,500,1,1,1,0,1,0
2022/4/22,,,,0,0,0,0,0,0
2022/4/23,,,,0,0,0,0,0,0
2022/4/24,500,4698.631528,500,1,1,1,0,1,0
2022/4/25,,,,0,0,0,0,0,0
2022/4/26,9989.297929,18979.54682,4560.797918,1,1,1,1,1,1
2022/4/27,,,,0,0,0,0,0,0
2022/4/28,5673.604094,6255.534631,500,1,1,1,1,1,0
2022/4/29,,,,0,0,0,0,0,0
2022/4/30,,,,0,0,0,0,0,0
2022/5/1,17255.71987,500,2481.91298,1,1,1,1,0,1
2022/5/2,,,,0,0,0,0,0,0
2022/5/3,7080.816353,8065.139175,5242.048166,1,1,1,1,1,1
2022/5/4,,,,0,0,0,0,0,0
2022/5/5,4998.071758,10738.24035,5043.617098,1,1,1,1,1,1
2022/5/6,,,,0,0,0,0,0,0
2022/5/7,,,,0,0,0,0,0,0
2022/5/8,500,8741.184076,500,1,1,1,0,1,0
2022/5/9,,,,0,0,0,0,0,0
2022/5/10,500,17802.93503,6206.26831,1,1,1,0,1,1
2022/5/11,,,,0,0,0,0,0,0
