collection_date,RSV_sunnyvale,RSV_oceanside,RSV_palo_alto,RSV_san_jose,RSV_silicon_valley,RSV_southeast_san_francisco,Test_sunny,Test_Oceanside,Test_Palo,Test_san,Test_silcon,Test_south,Positive_sunny,Positive_Oceanside,Positive_Palo,Positive_san,Positive_silcon,Positive_south,,,RSV_sunnyvale,RSV_oceanside,RSV_palo_alto,RSV_san_jose,RSV_silicon_valley,RSV_southeast_san_francisco
2022/1/1,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
2022/1/2,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
2022/1/3,,,19868.13,48229.67,,,0,0,1,1,0,0,0,0,1,1,0,0,,,,,19868.13,48229.67,,
2022/1/4,20040.4,18276.8,,,39757.58,,1,1,0,0,1,0,1,1,0,0,1,0,,,20040.4,18276.8,,,39757.58,
2022/1/5,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
2022/1/6,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
2022/1/7,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
2022/1/8,,,12683.27,18655.66,,,0,0,1,1,0,0,0,0,1,1,0,0,,,,,12683.27,18655.66,,
2022/1/9,33362.01,20169.88,34189.65,48365.26,18384.46,,1,1,1,1,1,0,1,1,1,1,1,0,,,33362.01,20169.88,34189.65,48365.26,18384.46,
2022/1/10,28608.6,13505.65,40855.78,20657.47,41466.07,,1,1,1,1,1,0,1,1,1,1,1,0,,,28608.6,13505.65,40855.78,20657.47,41466.07,
2022/1/11,34731.71,10680.66,14163.93,28051.57,40021.76,,1,1,1,1,1,0,1,1,1,1,1,0,,,34731.71,10680.66,14163.93,28051.57,40021.76,
2022/1/12,21480.8,,7279.839,27597.25,28047.06,,1,0,1,1,1,0,1,0,1,1,1,0,,,21480.8,,7279.839,27597.25,28047.06,
2022/1/13,14187.38,24170.88,10930.36,23116.13,22194.4,,1,1,1,1,1,0,1,1,1,1,1,0,,,14187.38,24170.88,10930.36,23116.13,22194.4,
2022/1/14,16358.19,,4486.809,22489.95,34334.78,,1,0,1,1,1,0,1,0,1,1,1,0,,,16358.19,,4486.809,22489.95,34334.78,
2022/1/15,16632.94,18161.92,5536,28756.34,4794.809,,1,1,1,1,1,0,1,1,1,1,1,0,,,16632.94,18161.92,5536,28756.34,4794.809,
2022/1/16,14868.69,31657.75,6213.757,31207.62,22946.78,,1,1,1,1,1,0,1,1,1,1,1,0,,,14868.69,31657.75,6213.757,31207.62,22946.78,
2022/1/17,27911.89,16561.4,8312.644,23555.56,18666.67,,1,1,1,1,1,0,1,1,1,1,1,0,,,27911.89,16561.4,8312.644,23555.56,18666.67,
2022/1/18,16740.74,18666.67,6404.103,23385.23,9679.012,,1,1,1,1,1,0,1,1,1,1,1,0,,,16740.74,18666.67,6404.103,23385.23,9679.012,
2022/1/19,13421.23,4141.921,11138.19,14532.08,50599.39,,1,1,1,1,1,0,1,1,1,1,1,0,,,13421.23,4141.921,11138.19,14532.08,50599.39,
2022/1/20,6989.973,7532.456,6708.858,13501.39,18264.86,,1,1,1,1,1,0,1,1,1,1,1,0,,,6989.973,7532.456,6708.858,13501.39,18264.86,
2022/1/21,7748.93,2724.241,6156.436,9224.775,12118.78,,1,1,1,1,1,0,1,1,1,1,1,0,,,7748.93,2724.241,6156.436,9224.775,12118.78,
2022/1/22,4450.997,10183.29,2758.925,7232.817,10447.12,,1,1,1,1,1,0,1,1,1,1,1,0,,,4450.997,10183.29,2758.925,7232.817,10447.12,
2022/1/23,7550.545,5108.283,1552.643,8049.303,5595.135,,1,1,1,1,1,0,1,1,1,1,1,0,,,7550.545,5108.283,1552.643,8049.303,5595.135,
2022/1/24,4566.432,984.3703,1092.61,6486.603,5426.739,,1,1,1,1,1,0,1,1,1,1,1,0,,,4566.432,984.3703,1092.61,6486.603,5426.739,
2022/1/25,5868.623,3218.788,4442.478,11490.46,15052.03,,1,1,1,1,1,0,1,1,1,1,1,0,,,5868.623,3218.788,4442.478,11490.46,15052.03,
2022/1/26,8924.156,2851.866,7919.957,15975.35,7769.16,,1,1,1,1,1,0,1,1,1,1,1,0,,,8924.156,2851.866,7919.957,15975.35,7769.16,
2022/1/27,5875.601,7716.151,6168.472,7139.035,2902.978,,1,1,1,1,1,0,1,1,1,1,1,0,,,5875.601,7716.151,6168.472,7139.035,2902.978,
2022/1/28,4290.139,1286.94,5381.689,5681.049,9436.259,,1,1,1,1,1,0,1,1,1,1,1,0,,,4290.139,1286.94,5381.689,5681.049,9436.259,
2022/1/29,8177.517,9751.556,18761.91,21824.77,10878.9,,1,1,1,1,1,0,1,1,1,1,1,0,,,8177.517,9751.556,18761.91,21824.77,10878.9,
2022/1/30,7422.772,2135.298,1144.135,6959.43,19738.63,,1,1,1,1,1,0,1,1,1,1,1,0,,,7422.772,2135.298,1144.135,6959.43,19738.63,
2022/1/31,6848.295,,2975.286,2593.301,7749.939,,1,0,1,1,1,0,1,0,1,1,1,0,,,6848.295,,2975.286,2593.301,7749.939,
2022/2/1,4681.482,1460.543,10557.68,8366.489,1821.666,,1,1,1,1,1,0,1,1,1,1,1,0,,,4681.482,1460.543,10557.68,8366.489,1821.666,
2022/2/2,7189.165,3463.794,2763.412,6609.6,2922.72,,1,1,1,1,1,0,1,1,1,1,1,0,,,7189.165,3463.794,2763.412,6609.6,2922.72,
2022/2/3,3425.071,921.673,6799.732,5293.123,3338.322,,1,1,1,1,1,0,1,1,1,1,1,0,,,3425.071,921.673,6799.732,5293.123,3338.322,
2022/2/4,7114.973,4053.548,4840.906,6360.185,15754.79,,1,1,1,1,1,0,1,1,1,1,1,0,,,7114.973,4053.548,4840.906,6360.185,15754.79,
2022/2/5,12936.62,6401.761,6961.675,2313.219,500,,1,1,1,1,1,0,1,1,1,1,0,0,,,12936.62,6401.761,6961.675,2313.219,500,
2022/2/6,5621.615,2690.269,6132.687,4722.735,21233.54,,1,1,1,1,1,0,1,1,1,1,1,0,,,5621.615,2690.269,6132.687,4722.735,21233.54,
2022/2/7,8139.741,15749.07,4158.124,3339.911,4649.811,,1,1,1,1,1,0,1,1,1,1,1,0,,,8139.741,15749.07,4158.124,3339.911,4649.811,
2022/2/8,3971.309,896.4213,6933.412,7057.846,10305,,1,1,1,1,1,0,1,1,1,1,1,0,,,3971.309,896.4213,6933.412,7057.846,10305,
2022/2/9,10447.75,1935.955,4211.129,10498.41,3716.423,,1,1,1,1,1,0,1,1,1,1,1,0,,,10447.75,1935.955,4211.129,10498.41,3716.423,
2022/2/10,3570.081,3738.932,8413.748,5421.633,3723.217,,1,1,1,1,1,0,1,1,1,1,1,0,,,3570.081,3738.932,8413.748,5421.633,3723.217,
2022/2/11,7595.45,3045.288,500,4456.178,12642.05,,1,1,1,1,1,0,1,1,0,1,1,0,,,7595.45,3045.288,500,4456.178,12642.05,
2022/2/12,1780.209,500,3094.107,2628.809,3027.002,,1,1,1,1,1,0,1,0,1,1,1,0,,,1780.209,500,3094.107,2628.809,3027.002,
2022/2/13,2109.238,987.8981,500,4911.599,3683.659,,1,1,1,1,1,0,1,1,0,1,1,0,,,2109.238,987.8981,500,4911.599,3683.659,
2022/2/14,1927.857,1867.901,2753.203,7333.455,4957.745,,1,1,1,1,1,0,1,1,1,1,1,0,,,1927.857,1867.901,2753.203,7333.455,4957.745,
2022/2/15,5205.046,6044.562,7111.111,7818.182,25680.9,,1,1,1,1,1,0,1,1,1,1,1,0,,,5205.046,6044.562,7111.111,7818.182,25680.9,
2022/2/16,21661.54,,4684.395,6082.442,8492.308,,1,0,1,1,1,0,1,0,1,1,1,0,,,21661.54,,4684.395,6082.442,8492.308,
