collection_date,RSV_North,RSV_North,Test_North_1,Test_North_2,Positive_North_1,Positive_North_2
2022/1/1,,,0,0,0,0
2022/1/2,,,0,0,0,0
2022/1/3,,,0,0,0,0
2022/1/4,,,0,0,0,0
2022/1/5,,,0,0,0,0
2022/1/6,,,0,0,0,0
2022/1/7,,,0,0,0,0
2022/1/8,,,0,0,0,0
2022/1/9,,,0,0,0,0
2022/1/10,,,0,0,0,0
2022/1/11,,,0,0,0,0
2022/1/12,,,0,0,0,0
2022/1/13,,,0,0,0,0
2022/1/14,,,0,0,0,0
2022/1/15,,,0,0,0,0
2022/1/16,,,0,0,0,0
2022/1/17,,,0,0,0,0
2022/1/18,,,0,0,0,0
2022/1/19,,,0,0,0,0
2022/1/20,,,0,0,0,0
2022/1/21,,,0,0,0,0
2022/1/22,,,0,0,0,0
2022/1/23,,,0,0,0,0
2022/1/24,,,0,0,0,0
2022/1/25,,,0,0,0,0
2022/1/26,,,0,0,0,0
2022/1/27,,,0,0,0,0
2022/1/28,,,0,0,0,0
2022/1/29,,,0,0,0,0
2022/1/30,,,0,0,0,0
2022/1/31,,,0,0,0,0
2022/2/1,,,0,0,0,0
2022/2/2,,,0,0,0,0
2022/2/3,,,0,0,0,0
2022/2/4,,,0,0,0,0
2022/2/5,,,0,0,0,0
2022/2/6,,,0,0,0,0
2022/2/7,,,0,0,0,0
2022/2/8,,,0,0,0,0
2022/2/9,,,0,0,0,0
2022/2/10,,,0,0,0,0
2022/2/11,,,0,0,0,0
2022/2/12,,,0,0,0,0
2022/2/13,,,0,0,0,0
2022/2/14,,,0,0,0,0
2022/2/15,,,0,0,0,0
2022/2/16,,,0,0,0,0
2022/2/17,,,0,0,0,0
2022/2/18,,,0,0,0,0
2022/2/19,,,0,0,0,0
2022/2/20,,,0,0,0,0
2022/2/21,,,0,0,0,0
2022/2/22,,,0,0,0,0
2022/2/23,,,0,0,0,0
2022/2/24,,,0,0,0,0
2022/2/25,,,0,0,0,0
2022/2/26,,,0,0,0,0
2022/2/27,,,0,0,0,0
2022/2/28,,,0,0,0,0
2022/3/1,,,0,0,0,0
2022/3/2,,,0,0,0,0
2022/3/3,,,0,0,0,0
2022/3/4,,,0,0,0,0
2022/3/5,,,0,0,0,0
2022/3/6,,,0,0,0,0
2022/3/7,,,0,0,0,0
2022/3/8,,,0,0,0,0
2022/3/9,,,0,0,0,0
2022/3/10,,,0,0,0,0
2022/3/11,,,0,0,0,0
2022/3/12,,,0,0,0,0
2022/3/13,,,0,0,0,0
2022/3/14,,,0,0,0,0
2022/3/15,,,0,0,0,0
2022/3/16,,,0,0,0,0
2022/3/17,,,0,0,0,0
2022/3/18,,,0,0,0,0
2022/3/19,,,0,0,0,0
2022/3/20,,,0,0,0,0
2022/3/21,,,0,0,0,0
2022/3/22,,,0,0,0,0
2022/3/23,,,0,0,0,0
2022/3/24,,,0,0,0,0
2022/3/25,,,0,0,0,0
2022/3/26,,,0,0,0,0
2022/3/27,,,0,0,0,0
2022/3/28,,,0,0,0,0
2022/3/29,,,0,0,0,0
2022/3/30,,,0,0,0,0
2022/3/31,,,0,0,0,0
2022/4/1,,,0,0,0,0
2022/4/2,,,0,0,0,0
2022/4/3,,,0,0,0,0
2022/4/4,,,0,0,0,0
2022/4/5,,,0,0,0,0
2022/4/6,,,0,0,0,0
2022/4/7,,,0,0,0,0
2022/4/8,,,0,0,0,0
2022/4/9,,,0,0,0,0
2022/4/10,,,0,0,0,0
2022/4/11,,,0,0,0,0
2022/4/12,,,0,0,0,0
2022/4/13,,,0,0,0,0
2022/4/14,,,0,0,0,0
2022/4/15,,,0,0,0,0
2022/4/16,,,0,0,0,0
2022/4/17,,,0,0,0,0
2022/4/18,,,0,0,0,0
2022/4/19,,,0,0,0,0
2022/4/20,,,0,0,0,0
2022/4/21,,,0,0,0,0
2022/4/22,,,0,0,0,0
