date,concentration_ocean,low_ocean,med_ocean,upr_ocean,concentration_palo,low_palo,med_palo,upr_palo,concentration_san,low_san,med_san,upr_san,concentration_silicon,low_silicon,med_silicon,upr_silicon,concentration_south,low_south,med_south,upr_south,concentration_sunny,low_sunny,med_sunny,upr_sunny
2022/1/1,NA,2.63502716,3.066138936,3.460264354,NA,3.113899507,3.721165274,4.265070523,NA,3.104542718,3.446411155,3.809914498,NA,2.759056243,3.189910628,3.550143735,NA,2.654609342,3.487413745,4.343291728,NA,2.902170677,3.444809929,4.027366318
2022/1/2,NA,2.663593396,3.064579732,3.434742109,NA,3.183155652,3.725520164,4.216796992,NA,3.121303673,3.432042824,3.764543201,NA,2.806634065,3.20436344,3.539037928,NA,2.698515548,3.484717058,4.307775203,NA,2.928639788,3.413249149,3.931429084
2022/1/3,NA,2.690332348,3.063104477,3.404567848,NA,3.241501231,3.725688502,4.173811337,NA,3.138227181,3.418413764,3.719900064,NA,2.849177015,3.219085827,3.530612735,NA,2.733081498,3.481274456,4.271533615,NA,2.955198039,3.383578079,3.838011265
2022/1/4,NA,2.711749797,3.062140791,3.37797346,NA,3.301295942,3.725883941,4.131310552,NA,3.147423844,3.403609531,3.67715601,NA,2.888393785,3.233974384,3.523509562,NA,2.756995058,3.481461903,4.239311195,NA,2.975137083,3.353756328,3.751043559
2022/1/5,NA,2.733767962,3.061249001,3.351325871,NA,3.353101739,3.730951128,4.098805342,NA,3.159074172,3.390127766,3.633442272,NA,2.928665746,3.249995788,3.517829808,NA,2.789235309,3.482832577,4.208885111,NA,2.993307175,3.322703763,3.665750425
2022/1/6,NA,2.757030474,3.06054898,3.326019211,NA,3.410316691,3.734842448,4.064952003,NA,3.170508841,3.377385919,3.593152818,NA,2.969336339,3.263087704,3.512184171,NA,2.815147768,3.483728984,4.182027389,NA,3.007947608,3.293164262,3.584389547
2022/1/7,NA,2.776257438,3.059228888,3.305693735,NA,3.454014424,3.739447993,4.036449244,NA,3.177871383,3.363444726,3.554350698,NA,3.009098824,3.277325075,3.505366291,NA,2.846144067,3.481392262,4.150432193,NA,3.018550948,3.263966911,3.508265166
2022/1/8,NA,2.79516325,3.059501266,3.286243906,1334.963693,3.494569076,3.744554368,4.007194589,500,3.181834751,3.34990134,3.521322839,NA,3.042359876,3.291856932,3.502889716,NA,2.873941006,3.482692416,4.120985111,NA,3.023610843,3.232804026,3.435309625
2022/1/9,500,2.812642981,3.058228967,3.267917063,2819.189996,3.525660595,3.748933351,3.985689276,2417.222997,3.18479527,3.335788754,3.489178122,500,3.081009692,3.307139192,3.502076738,NA,2.895987692,3.484051357,4.096245951,917.9784387,3.021999009,3.200584656,3.375272949
2022/1/10,500,2.828922642,3.056876263,3.251548047,7002.469067,3.554671317,3.752560755,3.963910821,2039.904573,3.185167892,3.321240323,3.459701365,500,3.117423406,3.322285346,3.502701844,NA,2.921748343,3.484132187,4.068464326,1276.853851,3.007798266,3.170295459,3.322183076
