date,low_north_1,med_north_1,upr_north_1,low_north_2,med_north_2,upr_north_2
2022/1/8,0.784483024,1.019573811,1.312795216,0.782142152,1.026641032,1.325800888
2022/1/9,0.786984577,1.018115485,1.309215844,0.787626288,1.025545125,1.321040022
2022/1/10,0.791400425,1.019222455,1.307843246,0.792993821,1.025037883,1.311140553
2022/1/11,0.797609403,1.018510717,1.304698716,0.795729167,1.024538923,1.303018561
2022/1/12,0.803498513,1.019783385,1.295933134,0.803009981,1.024642247,1.297788753
2022/1/13,0.808645507,1.019840876,1.286523339,0.807538538,1.024774506,1.285296453
2022/1/14,0.809966318,1.019942161,1.280991235,0.812924587,1.024880145,1.277034048
2022/1/15,0.81555391,1.020380668,1.268957838,0.814517921,1.026469344,1.269528799
2022/1/16,0.819518257,1.02057656,1.260515912,0.820071382,1.026734801,1.265899195
2022/1/17,0.82332331,1.020027301,1.25468159,0.823723447,1.026891509,1.262046271
2022/1/18,0.826099472,1.020321879,1.25073462,0.825597697,1.026230981,1.254198784
2022/1/19,0.828593427,1.021608875,1.242899888,0.83123159,1.026852511,1.247397462
2022/1/20,0.833318302,1.021342836,1.237436238,0.833535785,1.025677249,1.240991834
2022/1/21,0.836648322,1.021359908,1.228956254,0.841166066,1.026109921,1.232911174
2022/1/22,0.842249716,1.0217073,1.222761976,0.845744459,1.025644687,1.229193256
2022/1/23,0.845900466,1.022661083,1.221092858,0.850341284,1.024947638,1.227060037
2022/1/24,0.849243008,1.022218334,1.219329154,0.852013013,1.025157037,1.226127467
2022/1/25,0.850517984,1.021723734,1.216945092,0.852374046,1.024301093,1.221238681
2022/1/26,0.85399519,1.021374426,1.215862512,0.85583453,1.024623412,1.217275004
2022/1/27,0.857763797,1.021828127,1.214231713,0.860022178,1.02545547,1.21219902
2022/1/28,0.861363595,1.022218913,1.209891883,0.861994955,1.025234987,1.212060477
2022/1/29,0.864512327,1.022383253,1.204493368,0.860394426,1.02581995,1.211322974
2022/1/30,0.866889289,1.022039797,1.200021816,0.864921476,1.026081605,1.208648358
2022/1/31,0.867769237,1.021576473,1.197755598,0.864552364,1.025649562,1.203124005
2022/2/1,0.86923158,1.02138103,1.195202164,0.866524198,1.025359788,1.203690316
2022/2/2,0.873542107,1.021307885,1.191218912,0.868033407,1.025056563,1.203645505
2022/2/3,0.875233418,1.020614858,1.188681783,0.871079822,1.025530475,1.199479733
2022/2/4,0.874808928,1.02197065,1.191297669,0.877648389,1.025800055,1.200106972
2022/2/5,0.8763544,1.021340233,1.187121038,0.879273581,1.026937301,1.196572355
2022/2/6,0.88095703,1.02192446,1.188739584,0.880628082,1.02653396,1.194039312
2022/2/7,0.88053064,1.022635328,1.183368333,0.883697034,1.026950383,1.19243292
2022/2/8,0.882827829,1.022845232,1.181307908,0.882628296,1.026968516,1.191591115
2022/2/9,0.883662383,1.022434698,1.180721307,0.885790213,1.025853636,1.189400296
2022/2/10,0.885389512,1.022518267,1.179633582,0.887742123,1.027040576,1.190018004
