date,concentration_north_1,low_north_1,med_north_1,upr_north_1,concentrationnorth_2,low_north_2,med_north_2,upr_north_2
2022/1/1,NA,2.821582195,3.534250875,4.220047899,NA,2.746637423,3.499185423,4.248516167
2022/1/2,NA,2.848122899,3.531902027,4.196986697,NA,2.770606619,3.497601702,4.219573417
2022/1/3,NA,2.869464432,3.529409406,4.168660048,NA,2.800230763,3.496394894,4.196612746
2022/1/4,NA,2.899267151,3.528667667,4.142642866,NA,2.818025181,3.495458211,4.175839239
2022/1/5,NA,2.920462925,3.526087258,4.121082085,NA,2.838713347,3.493961683,4.15217356
2022/1/6,NA,2.940110134,3.526443939,4.101930933,NA,2.858601993,3.496622139,4.133675239
2022/1/7,NA,2.96153212,3.525783781,4.075131431,NA,2.875480913,3.4958635,4.114200224
2022/1/8,NA,2.979776158,3.521404532,4.06068836,NA,2.888755577,3.496888273,4.094598796
2022/1/9,NA,2.995834227,3.518487235,4.035296808,NA,2.904248539,3.497582906,4.073950988
2022/1/10,NA,3.012190645,3.517930544,4.012580744,NA,2.915170235,3.496927368,4.05707897
2022/1/11,NA,3.029457931,3.515667497,3.995531382,NA,2.923943962,3.497622777,4.039112031
2022/1/12,NA,3.042157926,3.515215836,3.975574037,NA,2.937273308,3.498092961,4.018651899
2022/1/13,NA,3.049431422,3.512404572,3.966875228,NA,2.94846573,3.497245777,4.010431138
2022/1/14,NA,3.058741654,3.511109681,3.951402872,NA,2.957641817,3.495230978,4.004438354
2022/1/15,NA,3.068062129,3.509134973,3.941225917,NA,2.971793542,3.495329674,3.998879645
2022/1/16,NA,3.079405166,3.506202068,3.921795854,NA,2.980179323,3.494394291,3.986584844
2022/1/17,NA,3.086373929,3.506143008,3.912125577,NA,2.98655699,3.495488529,3.975164008
2022/1/18,NA,3.091414354,3.506811713,3.900699905,NA,2.998535791,3.494721288,3.970997007
2022/1/19,NA,3.095019665,3.505674842,3.89088228,NA,3.009382923,3.49373365,3.962321173
2022/1/20,NA,3.102361251,3.503401005,3.884500996,NA,3.015264899,3.494971064,3.954030266
2022/1/21,NA,3.107257854,3.502676821,3.879379378,NA,3.022271336,3.492894569,3.943804175
2022/1/22,NA,3.109477575,3.501146614,3.877052014,NA,3.025162192,3.492889208,3.944810256
2022/1/23,NA,3.110648937,3.500975455,3.871926392,NA,3.029294575,3.489769403,3.939120829
2022/1/24,NA,3.109193312,3.500273989,3.87165697,NA,3.034994774,3.488400427,3.937290142
2022/1/25,NA,3.108005346,3.499195581,3.868587272,NA,3.037009765,3.487330613,3.936941964
2022/1/26,NA,3.10962457,3.496823026,3.870368554,NA,3.040903795,3.48752627,3.931558848
2022/1/27,NA,3.110638889,3.497050029,3.865228488,NA,3.044470921,3.486114143,3.928653689
2022/1/28,NA,3.110072412,3.498168708,3.866630272,NA,3.045061912,3.483875119,3.928019427
2022/1/29,NA,3.107795038,3.494537042,3.863377209,NA,3.046564924,3.482743428,3.92851115
2022/1/30,NA,3.107419178,3.494040397,3.866874465,NA,3.051817346,3.480638876,3.923231597
2022/1/31,NA,3.107182874,3.492323041,3.868297588,NA,3.052764903,3.478587174,3.922550522
2022/2/1,NA,3.105594168,3.492874513,3.867391462,NA,3.057791549,3.478950307,3.914465257
