date,concentration_eastern,low_eastern,med_eastern,upr_eastern,concentration_north,low_north,med_north,upr_north,concentration_south,low_south,med_south,upr_south
2022/1/1,NA,2.754355477,3.468598071,4.232247312,NA,2.656721746,3.447845772,4.254773199,NA,2.74717261,3.445191218,4.168614198
2022/1/2,NA,2.775528499,3.468338903,4.204950083,NA,2.689366001,3.448874529,4.234872351,NA,2.778005706,3.445851154,4.144504888
2022/1/3,NA,2.798894741,3.466257828,4.178382531,NA,2.720167106,3.452678016,4.21588623,NA,2.797067484,3.447550411,4.125832122
2022/1/4,NA,2.822730822,3.466918324,4.15754007,NA,2.751739977,3.45561005,4.194476183,NA,2.810647007,3.447840952,4.110974874
2022/1/5,NA,2.845965843,3.467285777,4.133804548,NA,2.779162905,3.459580119,4.166983416,NA,2.830581594,3.448821866,4.094019295
2022/1/6,NA,2.869389851,3.46870367,4.114313838,NA,2.802008744,3.460362636,4.142671036,NA,2.852506357,3.448953197,4.069946818
2022/1/7,NA,2.888880239,3.470512255,4.105907904,NA,2.82761784,3.459014389,4.117475379,NA,2.870878777,3.450293061,4.058128081
2022/1/8,NA,2.90913476,3.469008443,4.08505946,NA,2.84923644,3.462770274,4.100481093,NA,2.887565043,3.451341599,4.037173723
2022/1/9,NA,2.927407816,3.468152197,4.072035446,NA,2.87088193,3.463072126,4.089708508,NA,2.911556631,3.453149928,4.020618679
2022/1/10,NA,2.947529266,3.466706352,4.053928515,NA,2.890196327,3.46439923,4.078271288,NA,2.928432868,3.453324315,4.003411136
2022/1/11,NA,2.965105626,3.466030969,4.040235846,NA,2.908429471,3.464272229,4.059640555,NA,2.946342921,3.455080978,3.987030703
2022/1/12,NA,2.981478979,3.466702022,4.026247913,NA,2.930007387,3.465144653,4.042809358,NA,2.956502959,3.456289361,3.976177681
2022/1/13,NA,2.998202113,3.46707761,4.007624543,NA,2.942506989,3.465386653,4.0262495,NA,2.974216576,3.456958138,3.965718442
2022/1/14,NA,3.00729888,3.469564804,3.995982205,NA,2.954974513,3.465473559,4.012988476,NA,2.981947866,3.456512262,3.955019824
2022/1/15,NA,3.022719159,3.469786111,3.98763164,NA,2.971802089,3.464771319,3.998861509,NA,2.990898058,3.456943863,3.940735674
2022/1/16,NA,3.032593649,3.46880089,3.976379562,NA,2.984058377,3.46687504,3.99003584,NA,2.996704307,3.457257433,3.929694231
2022/1/17,NA,3.039678718,3.468562856,3.962476482,NA,2.997485683,3.467951354,3.975159801,NA,3.003651092,3.457131489,3.923495998
2022/1/18,NA,3.048545232,3.467761424,3.950142038,NA,3.009787578,3.468368215,3.974071738,NA,3.014803112,3.457889963,3.91239032
2022/1/19,NA,3.057109015,3.4679286,3.941591745,NA,3.024342655,3.467821272,3.964821369,NA,3.028722992,3.457973566,3.901536189
2022/1/20,NA,3.069534711,3.46806201,3.937500164,NA,3.030654174,3.466464058,3.958220458,NA,3.038703058,3.45839702,3.897664437
2022/1/21,NA,3.070957704,3.468772173,3.932851659,NA,3.035631493,3.469591933,3.954114516,NA,3.048166238,3.459864001,3.897047611
2022/1/22,NA,3.081191914,3.471321207,3.925026721,NA,3.042485049,3.471723248,3.946111164,NA,3.053774025,3.45995359,3.893750391
2022/1/23,NA,3.087886448,3.474125247,3.916624332,NA,3.053800596,3.47328863,3.937205134,NA,3.060483905,3.460624214,3.886479317
2022/1/24,NA,3.092299059,3.477093523,3.909620467,NA,3.063981078,3.474945985,3.931437025,NA,3.068911917,3.460785733,3.886379844
2022/1/25,NA,3.090654974,3.476689111,3.900086179,NA,3.070901654,3.476424555,3.927181253,NA,3.076131816,3.461795256,3.882765615
2022/1/26,NA,3.095798338,3.47631735,3.894691388,NA,3.076200895,3.478399421,3.924728521,NA,3.076313334,3.4622112,3.879856374
2022/1/27,NA,3.097704968,3.477013445,3.88674446,NA,3.077228527,3.479406519,3.920739417,NA,3.082744022,3.463609803,3.877272211
2022/1/28,NA,3.100146341,3.478802803,3.878841323,NA,3.083070168,3.482057128,3.91928436,NA,3.087212753,3.465396248,3.876739428
2022/1/29,NA,3.103414676,3.479593495,3.871958331,NA,3.087322739,3.482657267,3.917618377,NA,3.089479534,3.466812729,3.876798936
2022/1/30,NA,3.108594669,3.480915403,3.87157727,NA,3.091130642,3.485560451,3.915515674,NA,3.098139788,3.465786658,3.876909525
2022/1/31,NA,3.111439149,3.48226045,3.866310201,NA,3.095415666,3.487004495,3.920280609,NA,3.10086607,3.466896346,3.878884677
2022/2/1,NA,3.114819558,3.484009914,3.864439782,NA,3.095676615,3.48759583,3.921863409,NA,3.104557681,3.467771067,3.875288694
2022/2/2,NA,3.116236536,3.486679498,3.859350392,NA,3.092115977,3.490484887,3.919361098,NA,3.108997495,3.46775576,3.878485063
2022/2/3,NA,3.116583972,3.48730903,3.860913188,NA,3.091215143,3.492951345,3.919203384,NA,3.111978489,3.469091679,3.878583636
2022/2/4,NA,3.115873501,3.489649481,3.85699964,NA,3.097175757,3.495485061,3.921441161,NA,3.115888375,3.469428895,3.876004009
2022/2/5,NA,3.115843822,3.489157052,3.856904106,NA,3.104188396,3.495881168,3.921482523,NA,3.118001781,3.471752089,3.872796204
2022/2/6,NA,3.119051307,3.488448486,3.855758824,NA,3.105511107,3.497259392,3.92395097,NA,3.121956383,3.47421037,3.871029694
2022/2/7,NA,3.123726122,3.490647793,3.855038938,NA,3.107213593,3.497408094,3.925999276,NA,3.122874734,3.476612154,3.868797043
2022/2/8,NA,3.126905884,3.491416059,3.853550851,NA,3.108715627,3.500578086,3.927267587,NA,3.125239956,3.478119139,3.869020878
2022/2/9,NA,3.132714084,3.492469377,3.855535803,NA,3.115183465,3.502414231,3.933331166,NA,3.124063723,3.47989901,3.867091371
2022/2/10,NA,3.135195638,3.493420409,3.85487597,NA,3.116771358,3.505357386,3.932058483,NA,3.12630538,3.48207847,3.865265733
2022/2/11,NA,3.137193773,3.494691641,3.85526141,NA,3.117535034,3.507160748,3.930912313,NA,3.123878723,3.48449058,3.865212759
2022/2/12,NA,3.141570996,3.495521679,3.857290198,NA,3.1187734,3.510160637,3.929007624,NA,3.12647633,3.485967184,3.871482516
2022/2/13,NA,3.143164412,3.498064126,3.853717064,NA,3.120411838,3.512839176,3.933180847,NA,3.129977269,3.487953544,3.868046525
2022/2/14,NA,3.145612364,3.499479156,3.85655071,NA,3.128077148,3.515688123,3.934051702,NA,3.125524186,3.489817453,3.869324395
2022/2/15,NA,3.146469465,3.50022269,3.857199852,NA,3.131436871,3.518821669,3.935921472,NA,3.127583258,3.492908623,3.867902027
2022/2/16,NA,3.150558293,3.501307788,3.857351032,NA,3.138521252,3.520581563,3.939048337,NA,3.133163715,3.496509308,3.864700361
2022/2/17,NA,3.154627863,3.503544107,3.858944331,NA,3.143716436,3.522096384,3.934578596,NA,3.135852451,3.499793423,3.86602126
2022/2/18,NA,3.15641294,3.505429701,3.862096465,NA,3.144925547,3.522122047,3.935544625,NA,3.140626697,3.50363579,3.866034158
2022/2/19,NA,3.162877742,3.507493208,3.860794111,NA,3.15179836,3.525486554,3.937875033,NA,3.144101217,3.506264639,3.866891358
2022/2/20,NA,3.166956241,3.508546202,3.857385688,NA,3.153706867,3.527728121,3.941326443,NA,3.146269132,3.509567971,3.862156064
2022/2/21,NA,3.17074394,3.510107454,3.85663678,NA,3.158253889,3.530806706,3.947352287,NA,3.145552167,3.512518516,3.862367427
2022/2/22,NA,3.17218954,3.512098272,3.860830257,NA,3.161436837,3.535198017,3.948928292,NA,3.145370092,3.514669129,3.86203465
2022/2/23,NA,3.174308206,3.513933207,3.856718917,NA,3.167156498,3.539484818,3.955280716,NA,3.147570718,3.517650391,3.862208128
2022/2/24,NA,3.178288508,3.516436984,3.858492878,NA,3.171149521,3.543048668,3.953473504,NA,3.153805031,3.519723431,3.863370132
2022/2/25,NA,3.186176758,3.519403756,3.861884001,NA,3.176444822,3.546030532,3.956584319,NA,3.157683951,3.522513412,3.861326659
2022/2/26,NA,3.190478682,3.521622374,3.862731973,NA,3.184660412,3.550332604,3.960287956,NA,3.158788654,3.52466304,3.863951639
2022/2/27,NA,3.196318878,3.524103397,3.86329351,NA,3.189442962,3.553825985,3.960516867,NA,3.160245787,3.526684698,3.864134924
2022/2/28,NA,3.201550334,3.526013398,3.865044176,NA,3.195129072,3.558130496,3.960067228,NA,3.165308922,3.52946451,3.86567114
2022/3/1,NA,3.205344504,3.529188503,3.862219229,NA,3.199370757,3.561696052,3.960809513,NA,3.170627387,3.531974945,3.865465877
2022/3/2,NA,3.211606552,3.531259139,3.864610788,NA,3.204947399,3.564911433,3.963000423,NA,3.174822098,3.536706468,3.866863978
2022/3/3,NA,3.214310809,3.535343963,3.862859355,NA,3.211620832,3.571076418,3.965703084,NA,3.182391412,3.539463594,3.867610712
2022/3/4,NA,3.222034315,3.538071842,3.863263877,NA,3.220460787,3.574880549,3.964442559,NA,3.190516012,3.542692807,3.869028373
2022/3/5,NA,3.230339776,3.540663589,3.863036073,NA,3.228235246,3.579835366,3.96925813,NA,3.196911453,3.545745807,3.867496342
2022/3/6,NA,3.234451737,3.545876702,3.86564888,NA,3.235889925,3.58344412,3.970123606,NA,3.205805088,3.549848596,3.872170218
2022/3/7,NA,3.237779796,3.547913376,3.866418819,NA,3.243114112,3.587782905,3.970903792,NA,3.210977044,3.553145962,3.873743621
2022/3/8,NA,3.241697043,3.552831468,3.865983059,NA,3.25138672,3.592842153,3.970675431,NA,3.221357552,3.556696942,3.868794927
2022/3/9,NA,3.250176585,3.557088001,3.863988875,NA,3.263922936,3.597567594,3.970458056,NA,3.230512243,3.55954768,3.869679053
2022/3/10,NA,3.258805121,3.56117004,3.864611196,NA,3.270236344,3.602844229,3.966954203,NA,3.24012935,3.563434778,3.866129151
2022/3/11,NA,3.26649868,3.565381239,3.865274663,NA,3.278279875,3.608172327,3.967371178,NA,3.250790638,3.567242588,3.865996574
2022/3/12,NA,3.276206963,3.570172088,3.86797488,NA,3.290120419,3.61416253,3.968596742,NA,3.254983901,3.571656409,3.866549669
2022/3/13,NA,3.284525332,3.575523089,3.869489192,NA,3.300344564,3.619702398,3.967373908,NA,3.2637613,3.574941434,3.862983098
2022/3/14,NA,3.292457742,3.581589894,3.868367863,NA,3.31133961,3.625969428,3.96831032,NA,3.27025806,3.577690487,3.865189514
2022/3/15,NA,3.300320123,3.586313518,3.871898636,NA,3.321133873,3.631850313,3.973143652,NA,3.279412498,3.581299002,3.863017429
2022/3/16,NA,3.308868636,3.592620869,3.873392917,NA,3.333116784,3.636998073,3.972861857,NA,3.289108738,3.585437638,3.86188491
2022/3/17,NA,3.319137369,3.598944423,3.875268736,NA,3.34507328,3.643470691,3.969129224,NA,3.299783825,3.589537198,3.858739074
2022/3/18,NA,3.330499367,3.605077244,3.87843526,NA,3.35490702,3.649311349,3.967781513,NA,3.308315458,3.593294087,3.860821416
2022/3/19,NA,3.341407769,3.612661507,3.881090568,NA,3.365815906,3.655899522,3.964781985,NA,3.316967736,3.597202426,3.861299575
2022/3/20,NA,3.354203078,3.618820845,3.883277682,NA,3.376400569,3.661910558,3.967117167,NA,3.326354753,3.601415061,3.857339107
2022/3/21,NA,3.367498564,3.625739461,3.883554597,NA,3.38902169,3.668586389,3.967955941,NA,3.339368955,3.605171971,3.856559401
2022/3/22,NA,3.382020619,3.63373009,3.887686798,NA,3.403326247,3.675405183,3.965294029,NA,3.348306264,3.609842053,3.858044729
