date,concentration_north_1,low_north_1,med_north_1,upr_north_1,concentrationnorth_2,low_north_2,med_north_2,upr_north_2
2022/1/1,NA,2.784734454,3.492728912,4.27718134,NA,2.774526002,3.513076045,4.289884405
2022/1/2,NA,2.807678916,3.49261174,4.248837474,NA,2.802917146,3.510909031,4.258041358
2022/1/3,NA,2.831586039,3.491276449,4.221902747,NA,2.826396249,3.511065025,4.232264902
2022/1/4,NA,2.852902732,3.490013703,4.190441353,NA,2.85186796,3.507725936,4.204628034
2022/1/5,NA,2.870587892,3.4897739,4.164891273,NA,2.870328833,3.505484499,4.179189446
2022/1/6,NA,2.891132079,3.491099524,4.145973,NA,2.893796724,3.502477201,4.159088165
2022/1/7,NA,2.913781951,3.490875991,4.127234637,NA,2.914035306,3.502727746,4.137286022
2022/1/8,NA,2.930414004,3.489750026,4.102959852,NA,2.930428444,3.503775232,4.113231381
2022/1/9,NA,2.942499762,3.490158234,4.079050012,NA,2.943340256,3.504252388,4.0945425
2022/1/10,NA,2.952280187,3.489628189,4.062874002,NA,2.953871283,3.503912377,4.071517208
2022/1/11,NA,2.959316224,3.488084928,4.045906187,NA,2.964808963,3.50176644,4.053809053
2022/1/12,NA,2.970348313,3.48890749,4.031684381,NA,2.976243359,3.500345681,4.035352137
2022/1/13,NA,2.982026361,3.488930411,4.019715739,NA,2.985234897,3.500354031,4.012349101
2022/1/14,NA,2.990441003,3.488078557,4.005900453,NA,2.993058767,3.498764565,3.992678333
2022/1/15,NA,3.004509924,3.489678399,3.994916988,NA,3.005895206,3.496909011,3.978343171
2022/1/16,NA,3.019078883,3.489817148,3.986150012,NA,3.015727451,3.495565855,3.968102639
2022/1/17,NA,3.028386565,3.490802933,3.971280499,NA,3.023368634,3.494301992,3.956626725
2022/1/18,NA,3.039051065,3.490514261,3.95881293,NA,3.03090637,3.495027891,3.946893938
2022/1/19,NA,3.050859196,3.490668627,3.94753005,NA,3.039717368,3.495820793,3.934886447
2022/1/20,NA,3.057380491,3.490973636,3.940346886,NA,3.047661885,3.492951195,3.924819861
2022/1/21,NA,3.066591673,3.492467559,3.931786353,NA,3.054546598,3.489706072,3.919846087
2022/1/22,NA,3.073485743,3.492793061,3.924080415,NA,3.059199453,3.489661775,3.91084288
2022/1/23,NA,3.077750063,3.494487163,3.914324417,NA,3.064115953,3.488493714,3.904662955
2022/1/24,NA,3.082577725,3.497136851,3.907816434,NA,3.067695273,3.487189166,3.899788807
2022/1/25,NA,3.089667814,3.497753418,3.904004798,NA,3.072139997,3.484756936,3.898345134
2022/1/26,NA,3.096864956,3.499438155,3.899040974,NA,3.077789124,3.483667711,3.895294288
2022/1/27,NA,3.108811467,3.499444952,3.895674487,NA,3.083841032,3.483057975,3.889258009
2022/1/28,NA,3.116006332,3.500090288,3.893570188,NA,3.085417829,3.480994887,3.885005353
2022/1/29,NA,3.122778125,3.501873974,3.890405253,NA,3.087421729,3.479700733,3.883400513
2022/1/30,NA,3.130321265,3.50279093,3.886348052,NA,3.092167623,3.47733755,3.88085785
2022/1/31,NA,3.13433028,3.503100648,3.883363223,NA,3.09591626,3.473707481,3.88533669
2022/2/1,NA,3.138034028,3.503095835,3.878704532,NA,3.095508786,3.47217435,3.879403202
2022/2/2,NA,3.142543134,3.503439962,3.877102922,NA,3.097615553,3.471762003,3.877275221
