date,low_eastern,med_eastern,upr_eastern,low_north,med_north,upr_north,low_south,med_south,upr_south
2022/1/8,0.812681728,1.01884586,1.262937875,0.820688073,1.024081446,1.266114131,0.81955212,1.038149474,1.305596354
2022/1/9,0.816878546,1.019618781,1.257743722,0.824582609,1.024025631,1.261314334,0.824789705,1.036581061,1.297524572
2022/1/10,0.820318218,1.020093841,1.250330136,0.827329585,1.024635903,1.259126401,0.828833481,1.036116711,1.29349753
2022/1/11,0.822242341,1.020720427,1.245237151,0.828396169,1.025756284,1.25363732,0.836089349,1.037179141,1.288491972
2022/1/12,0.822129376,1.021192297,1.239167241,0.831851876,1.025502624,1.250657539,0.84445468,1.037678057,1.281656649
2022/1/13,0.823682444,1.021038536,1.233985218,0.834513022,1.024456336,1.248092468,0.844001292,1.037215881,1.275811904
2022/1/14,0.822908499,1.021114885,1.231042363,0.838138963,1.023696869,1.239116234,0.847732349,1.037191121,1.26896003
2022/1/15,0.82998416,1.020339578,1.227330939,0.840555205,1.022782141,1.234635655,0.851010773,1.037120677,1.265134214
2022/1/16,0.8328937,1.021236525,1.224165702,0.844086547,1.022939473,1.231168831,0.853203631,1.03694696,1.257947275
2022/1/17,0.835124878,1.021104847,1.217222749,0.848177913,1.023229887,1.228766592,0.858655101,1.037630174,1.255259255
2022/1/18,0.839695873,1.021136171,1.21332772,0.852110438,1.022963776,1.22128221,0.861731872,1.036776408,1.249601148
2022/1/19,0.843769886,1.020592488,1.208956324,0.856213055,1.022905509,1.218497931,0.866022777,1.036585785,1.242356225
2022/1/20,0.847961072,1.021761466,1.203676583,0.858236097,1.022530911,1.216156432,0.868090293,1.03584869,1.233571121
2022/1/21,0.849224636,1.02170702,1.199208687,0.861606522,1.022721951,1.216742144,0.870919535,1.035671308,1.232039068
2022/1/22,0.852560222,1.021423556,1.198584328,0.866190294,1.022674647,1.20803784,0.873368275,1.036287117,1.228883349
2022/1/23,0.857335579,1.021565485,1.195895851,0.870085727,1.022591046,1.204107664,0.876301822,1.037044267,1.223253744
2022/1/24,0.861305196,1.021686683,1.193941644,0.8723706,1.022154698,1.19971036,0.879177004,1.037997222,1.218988438
2022/1/25,0.863806046,1.02092915,1.190983008,0.876100867,1.02187989,1.195899637,0.881019963,1.037987538,1.215196416
2022/1/26,0.865298575,1.020996425,1.185879517,0.879961542,1.023168952,1.195041124,0.883205319,1.037991983,1.214138221
2022/1/27,0.867457653,1.02128422,1.182650346,0.881863514,1.023370971,1.187055181,0.885731997,1.037261425,1.207402115
2022/1/28,0.868852145,1.021877406,1.181645739,0.884608657,1.023015747,1.183189956,0.887989305,1.037437632,1.203114059
2022/1/29,0.869706635,1.021974482,1.181184442,0.884789272,1.023169064,1.182172438,0.89061452,1.038444173,1.200158307
2022/1/30,0.872192223,1.021833044,1.177756645,0.887153629,1.023816853,1.177504094,0.89304316,1.039271134,1.196311272
2022/1/31,0.875055999,1.022499297,1.177266503,0.88852378,1.024018116,1.172080569,0.895809929,1.038522862,1.195058919
2022/2/1,0.878535058,1.022432308,1.17281838,0.88948082,1.024530124,1.16896989,0.897356868,1.039506583,1.19279541
2022/2/2,0.880166238,1.023244843,1.171652938,0.891762039,1.024727007,1.168889288,0.901221116,1.040429188,1.194843923
2022/2/3,0.881305312,1.023949269,1.171508427,0.89330209,1.025391851,1.165349571,0.902776574,1.040985488,1.193838723
2022/2/4,0.884708628,1.023444825,1.167490636,0.897839411,1.025494537,1.162839866,0.903215921,1.042415147,1.189989871
2022/2/5,0.887514216,1.023227947,1.167157353,0.898645647,1.025579693,1.161718594,0.904413093,1.042618048,1.189157982
2022/2/6,0.888306364,1.022797447,1.165960888,0.899388282,1.025614161,1.160091979,0.908438463,1.043083737,1.187811763
2022/2/7,0.890180651,1.022708049,1.164844598,0.901461331,1.025327709,1.157136715,0.91007018,1.043500041,1.18604238
2022/2/8,0.891854044,1.022868792,1.163569079,0.902435822,1.024977849,1.156887287,0.911039636,1.044767927,1.182239559
2022/2/9,0.892816999,1.022597246,1.163326236,0.904585659,1.025556476,1.154204524,0.913112307,1.044811542,1.184483387
2022/2/10,0.893770665,1.022731727,1.160326903,0.905613607,1.025160906,1.155579561,0.916309288,1.044921769,1.185383154
2022/2/11,0.897593793,1.02287573,1.159025643,0.905597557,1.025633875,1.154066561,0.916993558,1.04548233,1.184191485
2022/2/12,0.900092261,1.023420609,1.158271481,0.904390805,1.026703323,1.156097428,0.916665907,1.045361866,1.183767668
2022/2/13,0.901712732,1.024291628,1.156639587,0.906578124,1.026752958,1.155064251,0.917028333,1.044400447,1.182195962
2022/2/14,0.903295948,1.024593922,1.153243183,0.905842909,1.027093738,1.15321893,0.919043065,1.04383052,1.179026748
2022/2/15,0.906195098,1.023913462,1.151386619,0.9076282,1.027790361,1.153036785,0.919897615,1.044235787,1.178044041
2022/2/16,0.90709564,1.023952463,1.15084915,0.90816922,1.028535575,1.151874254,0.919483194,1.044824612,1.178000216
2022/2/17,0.906648013,1.023629161,1.150327219,0.911528302,1.028329057,1.15382726,0.921487393,1.045410017,1.179061333
2022/2/18,0.908806068,1.023180511,1.149619969,0.913332068,1.029103401,1.152963266,0.922605606,1.04676505,1.179530177
2022/2/19,0.909131329,1.023765125,1.149129998,0.915173234,1.028537206,1.152889695,0.922340096,1.046370043,1.179429069
2022/2/20,0.908844349,1.024733362,1.148947121,0.914401879,1.02857575,1.149339407,0.924624922,1.047330164,1.180697304
2022/2/21,0.909828586,1.025209645,1.151225554,0.91489985,1.028866161,1.149280566,0.926699939,1.047479683,1.18230023
2022/2/22,0.910190887,1.025087937,1.149716981,0.918262093,1.029269246,1.150108819,0.929942402,1.047909052,1.183854105
2022/2/23,0.912286467,1.024290967,1.149414191,0.918596329,1.030112803,1.150421169,0.930501705,1.048144578,1.183633622
2022/2/24,0.910887004,1.023984227,1.147839713,0.919477081,1.029549542,1.152829029,0.933863889,1.048733229,1.179989422
2022/2/25,0.911778514,1.024308182,1.148480402,0.919827356,1.029838926,1.153852569,0.93479431,1.049330794,1.17987069
2022/2/26,0.912658364,1.024398182,1.150242254,0.921201664,1.030959901,1.154327935,0.935654499,1.049742168,1.179979586
2022/2/27,0.914091381,1.024079989,1.14884302,0.922537587,1.030929016,1.154936581,0.933873464,1.050330107,1.181263795
2022/2/28,0.914504482,1.024745503,1.150485325,0.919332233,1.031773553,1.157226035,0.934578549,1.050403816,1.181618035
2022/3/1,0.912990998,1.024560391,1.150817701,0.921152803,1.032534404,1.155841229,0.935853673,1.050192667,1.180753634
2022/3/2,0.912158134,1.025192178,1.149761459,0.92236919,1.033648419,1.15478993,0.93999753,1.050846541,1.183144453
2022/3/3,0.913141005,1.025493814,1.149697107,0.923694072,1.035055603,1.155275921,0.940852432,1.050518086,1.179170572
2022/3/4,0.914722116,1.025482207,1.147926013,0.92582473,1.036158114,1.154204087,0.941394731,1.050555561,1.178809524
2022/3/5,0.913826605,1.024991943,1.149580906,0.92706275,1.037136195,1.155587106,0.940876437,1.051095778,1.177500014
2022/3/6,0.913422818,1.024925219,1.147338837,0.926877272,1.037950664,1.156160596,0.941708882,1.051782148,1.179081218
2022/3/7,0.913649707,1.025015762,1.14845203,0.927273333,1.038281557,1.157842991,0.943509923,1.051653828,1.176135073
2022/3/8,0.9129979,1.024666808,1.148462424,0.926769827,1.039147599,1.155372461,0.942650765,1.051464859,1.175143296
