date,concentration_eastern,low_eastern,med_eastern,upr_eastern,concentration_north,low_north,med_north,upr_north,concentration_south,low_south,med_south,upr_south
2022/1/1,NA,2.817435392,3.520430128,4.256312489,NA,2.856349509,3.534115389,4.264236994,NA,2.727102169,3.442433725,4.137845008
2022/1/2,NA,2.832345407,3.519896534,4.236050473,NA,2.873576242,3.53157203,4.244497757,NA,2.751264585,3.445291291,4.116385254
2022/1/3,NA,2.854515412,3.519356,4.21409994,NA,2.893861325,3.530528911,4.223737189,NA,2.773070696,3.445667209,4.097206279
2022/1/4,NA,2.878084725,3.517619878,4.193003004,NA,2.917194708,3.530944558,4.205345978,NA,2.794148986,3.447298158,4.073828579
2022/1/5,NA,2.888792827,3.517100628,4.173142801,NA,2.933545932,3.529511785,4.186567246,NA,2.817318544,3.44635357,4.054423155
2022/1/6,NA,2.899532077,3.516641486,4.156170792,NA,2.952597184,3.528917767,4.169368325,NA,2.8439069,3.448246277,4.033325452
2022/1/7,NA,2.911721421,3.515466339,4.134903523,NA,2.968066523,3.529079837,4.152708119,NA,2.860557948,3.448237507,4.016972354
2022/1/8,NA,2.926881313,3.51340174,4.118600284,NA,2.985559064,3.528784899,4.135310027,NA,2.873269286,3.4494809,4.002153903
2022/1/9,NA,2.946798089,3.51141094,4.103018968,NA,2.999580945,3.527232262,4.117737436,NA,2.888218692,3.450180164,3.988851774
2022/1/10,NA,2.958598397,3.510003886,4.084890896,NA,3.018196636,3.525343256,4.10410385,NA,2.909646408,3.451494066,3.973761544
2022/1/11,NA,2.9690598,3.509645007,4.067284259,NA,3.035456352,3.523927481,4.087545563,NA,2.923040574,3.453856125,3.955917972
2022/1/12,NA,2.983453239,3.508274551,4.045667359,NA,3.049221519,3.523299492,4.071476383,NA,2.938548843,3.455033627,3.946554461
2022/1/13,NA,2.996346128,3.506577494,4.027553853,NA,3.061610555,3.523194162,4.052086403,NA,2.949864609,3.453872018,3.935219442
2022/1/14,NA,3.003877605,3.504747497,4.015169279,NA,3.06964093,3.522095742,4.037383857,NA,2.963344715,3.454790976,3.928400652
2022/1/15,NA,3.011355369,3.502113583,4.001870695,NA,3.082219252,3.523060305,4.026539103,NA,2.971202988,3.457561616,3.918168236
2022/1/16,NA,3.022017232,3.501621927,3.991259439,NA,3.091898913,3.523554504,4.013126902,NA,2.984598526,3.458555419,3.907634835
2022/1/17,NA,3.025825569,3.50030581,3.976116056,NA,3.099242041,3.524335516,3.99956807,NA,3.000468694,3.460726106,3.903152404
2022/1/18,NA,3.033583609,3.500140495,3.96428442,NA,3.102358473,3.522330639,3.98688587,NA,3.0068021,3.459976735,3.894442761
2022/1/19,NA,3.040658561,3.497723429,3.951112283,NA,3.109448089,3.523450692,3.979152363,NA,3.02053856,3.462084885,3.886583019
2022/1/20,NA,3.052170423,3.496474289,3.939146566,NA,3.114959868,3.523851467,3.968877424,NA,3.028198083,3.461978582,3.882554537
2022/1/21,NA,3.059765311,3.495280717,3.927217473,NA,3.116530967,3.524257621,3.954618124,NA,3.034510046,3.463422695,3.876257225
2022/1/22,NA,3.060941115,3.495030766,3.912305896,NA,3.12301444,3.523335133,3.95143327,NA,3.041053636,3.465753519,3.872090376
2022/1/23,NA,3.060411039,3.493156205,3.906529737,NA,3.127283496,3.522468327,3.942837856,NA,3.050616864,3.466697631,3.865502385
2022/1/24,NA,3.063684627,3.492155334,3.900441753,NA,3.133523167,3.521423836,3.931469325,NA,3.059231949,3.470120114,3.861599224
2022/1/25,NA,3.068337778,3.491277023,3.892520645,NA,3.132762456,3.521867705,3.928754409,NA,3.068484852,3.47187006,3.856604444
2022/1/26,NA,3.071106867,3.488815645,3.887899166,NA,3.13551352,3.521929479,3.92219974,NA,3.074416468,3.473873525,3.851727203
2022/1/27,NA,3.075314991,3.487419382,3.881803092,NA,3.134506213,3.522078477,3.916324316,NA,3.076039847,3.474322487,3.849184524
2022/1/28,NA,3.076748567,3.486102341,3.876615938,NA,3.136323887,3.522049787,3.911562019,NA,3.081427096,3.47621882,3.845853323
2022/1/29,NA,3.079325888,3.485417643,3.872299731,NA,3.136905508,3.522770611,3.905510185,NA,3.08487921,3.476359312,3.843266203
2022/1/30,NA,3.07997832,3.484364331,3.867317768,NA,3.136271145,3.521921145,3.900289963,NA,3.084464845,3.478607884,3.841218027
2022/1/31,NA,3.079916739,3.482143753,3.863903399,NA,3.13882193,3.521579236,3.892351454,NA,3.090641087,3.478775691,3.841889076
2022/2/1,NA,3.078372237,3.480524845,3.857084086,NA,3.140631512,3.520945745,3.886255157,NA,3.09414081,3.48002881,3.840539731
2022/2/2,NA,3.08031097,3.479444501,3.856359133,NA,3.144740084,3.520250164,3.877970299,NA,3.094661203,3.481048997,3.839012233
2022/2/3,NA,3.083015119,3.479643518,3.856357649,NA,3.140931276,3.519590124,3.871853911,NA,3.094421741,3.481909196,3.837984313
2022/2/4,NA,3.083813978,3.477421583,3.856280439,NA,3.137684771,3.519137091,3.869656142,NA,3.101369769,3.481545377,3.833234562
2022/2/5,NA,3.084519575,3.47679919,3.855173105,NA,3.137779355,3.517322605,3.866184783,NA,3.105213511,3.482946629,3.833718838
2022/2/6,NA,3.085155203,3.477021204,3.85392408,NA,3.13788538,3.517137321,3.865741698,NA,3.110812306,3.484957077,3.832567737
2022/2/7,NA,3.08703014,3.476549538,3.855083033,NA,3.143178993,3.515423521,3.865563338,NA,3.112052152,3.484507193,3.829369159
2022/2/8,NA,3.088779038,3.475540573,3.854455337,NA,3.146250435,3.513812882,3.865668647,NA,3.117509902,3.484998812,3.826654564
2022/2/9,NA,3.088406085,3.474091846,3.852547975,NA,3.148577112,3.514052763,3.863516678,NA,3.122702851,3.486054095,3.824287483
2022/2/10,NA,3.09096136,3.472725567,3.850492053,NA,3.150826799,3.513536381,3.859085051,NA,3.121375127,3.488335679,3.823689062
2022/2/11,NA,3.091627621,3.47132657,3.847372037,NA,3.155069185,3.511605632,3.860823941,NA,3.12531703,3.49090403,3.824801333
2022/2/12,NA,3.091951726,3.470650196,3.846794445,NA,3.159965073,3.50933019,3.858489753,NA,3.128695566,3.493083558,3.828718693
2022/2/13,NA,3.094075651,3.46949713,3.846242466,NA,3.161083935,3.510575545,3.860267526,NA,3.131870752,3.496190049,3.831929202
2022/2/14,NA,3.091769891,3.469681048,3.84445077,NA,3.162019671,3.509693445,3.857841848,NA,3.13279979,3.497241749,3.827932263
2022/2/15,NA,3.092731213,3.467119246,3.84252768,NA,3.163110273,3.509368943,3.859199652,NA,3.134918996,3.500439025,3.827774724
2022/2/16,NA,3.091509519,3.466321621,3.838522536,NA,3.165540129,3.509318859,3.860902438,NA,3.133544914,3.503085243,3.829909679
2022/2/17,NA,3.087266675,3.466096302,3.835751111,NA,3.16703492,3.508224886,3.860202092,NA,3.135611662,3.506007956,3.833967847
2022/2/18,NA,3.090164037,3.464758845,3.836046096,NA,3.171084722,3.508577755,3.862963703,NA,3.13691543,3.507881438,3.834535884
2022/2/19,NA,3.090164224,3.463855102,3.834911397,NA,3.167384374,3.507737188,3.86178909,NA,3.139135443,3.511200743,3.836153715
2022/2/20,NA,3.094433146,3.463988553,3.833070735,NA,3.167124121,3.507207721,3.860469992,NA,3.142050041,3.513147928,3.835581203
2022/2/21,NA,3.093681293,3.463233119,3.828956674,NA,3.168318941,3.506525182,3.860112324,NA,3.147682257,3.515207631,3.840645032
2022/2/22,NA,3.095637026,3.461747395,3.829402155,NA,3.173587295,3.505018219,3.862782666,NA,3.147590394,3.517508074,3.843509852
2022/2/23,NA,3.099466432,3.459800957,3.827885531,NA,3.175739248,3.504249261,3.857637713,NA,3.151127215,3.520377706,3.845279025
2022/2/24,NA,3.102634309,3.459944001,3.829154682,NA,3.180238005,3.504110597,3.856340942,NA,3.15534399,3.523370607,3.847160822
2022/2/25,NA,3.101942426,3.458894432,3.826514495,NA,3.181809631,3.503060452,3.857104058,NA,3.15815836,3.524704728,3.850738949
2022/2/26,NA,3.101821056,3.458125086,3.826184115,NA,3.183412384,3.503512907,3.854638481,NA,3.162342053,3.526925295,3.851310374
2022/2/27,NA,3.105458285,3.456783807,3.825102548,NA,3.185408755,3.502620107,3.855130284,NA,3.16955995,3.529872712,3.853010826
2022/2/28,NA,3.110176306,3.455312086,3.824613836,NA,3.18955614,3.503226023,3.854442698,NA,3.172292142,3.533086314,3.856618977
2022/3/1,NA,3.110642838,3.456059774,3.824421211,NA,3.195603423,3.503666325,3.851506437,NA,3.174262923,3.536595772,3.857257678
2022/3/2,NA,3.112228103,3.453955453,3.822468977,NA,3.197469875,3.50434015,3.848507904,NA,3.179788367,3.539651752,3.864151598
2022/3/3,NA,3.113503647,3.453142208,3.82175959,NA,3.196394354,3.50414843,3.84888771,NA,3.185917906,3.541717935,3.86543089
2022/3/4,NA,3.118353792,3.451486116,3.814935215,NA,3.197590436,3.505780858,3.844614694,NA,3.189088262,3.54392794,3.860449754
2022/3/5,NA,3.120096345,3.450980651,3.809928976,NA,3.202527209,3.504760493,3.841621265,NA,3.195100915,3.547865148,3.862374224
2022/3/6,NA,3.121105791,3.449919527,3.803913523,NA,3.20553264,3.505581717,3.841635069,NA,3.199135769,3.548964874,3.864536751
2022/3/7,NA,3.124995335,3.448714873,3.797803703,NA,3.205976026,3.506715745,3.846209748,NA,3.205131055,3.55001561,3.863374355
2022/3/8,NA,3.128171987,3.447842913,3.793301499,NA,3.206154193,3.506706244,3.844307965,NA,3.211912268,3.551745844,3.862891129
2022/3/9,NA,3.13230761,3.447853989,3.785596671,NA,3.209181431,3.508540322,3.843743913,NA,3.21695324,3.554060165,3.860805398
2022/3/10,NA,3.134208158,3.448658028,3.780924828,NA,3.213077822,3.511132596,3.839040263,NA,3.223121653,3.556282159,3.860281845
2022/3/11,NA,3.137491701,3.447915539,3.781010298,NA,3.213501621,3.511671243,3.835160741,NA,3.231895193,3.559896398,3.858656822
2022/3/12,NA,3.140101204,3.447995547,3.777152523,NA,3.216319492,3.514193239,3.838882211,NA,3.234261121,3.563252701,3.856924205
2022/3/13,NA,3.144303481,3.447726415,3.771544759,NA,3.217700884,3.515100582,3.838046577,NA,3.239669964,3.566938195,3.858474201
2022/3/14,NA,3.146127304,3.447937171,3.767613721,NA,3.219105711,3.517038723,3.836976095,NA,3.245633207,3.569647312,3.855392932
2022/3/15,NA,3.148736615,3.447996619,3.76366191,NA,3.223702064,3.519456777,3.834136367,NA,3.248900746,3.571815132,3.852575637
2022/3/16,NA,3.149858933,3.447815779,3.75828573,NA,3.227130251,3.522149829,3.831699426,NA,3.25443077,3.575107655,3.846745403
2022/3/17,NA,3.15252485,3.447854878,3.755059364,NA,3.232400058,3.523945305,3.832207214,NA,3.260641358,3.576261781,3.848744844
2022/3/18,NA,3.152711815,3.447463099,3.750987923,NA,3.238819519,3.526370856,3.829871639,NA,3.266057479,3.578211029,3.847739991
2022/3/19,NA,3.155602668,3.447865761,3.748591538,NA,3.243350404,3.528712271,3.828217242,NA,3.272468009,3.580733801,3.847300847
2022/3/20,NA,3.161019327,3.449440122,3.746054671,NA,3.244655487,3.531139634,3.824550595,NA,3.279356613,3.582413136,3.845810622
2022/3/21,NA,3.166306155,3.449311886,3.740460984,NA,3.245560512,3.532754527,3.825778095,NA,3.286018046,3.584510024,3.843699932
2022/3/22,NA,3.169277635,3.449756524,3.738606165,NA,3.254458646,3.535953765,3.82321505,NA,3.292806295,3.586118766,3.844065018
2022/3/23,NA,3.172421252,3.450212705,3.733522741,NA,3.258186023,3.53884779,3.822063097,NA,3.299776779,3.589468914,3.840786245
2022/3/24,NA,3.174674497,3.45079398,3.73053474,NA,3.263222244,3.540972049,3.818706716,NA,3.307221381,3.590847027,3.839035845
