"","date","count","positive","concentration","substitution","low_7_a","med_7_a","upr_7_a"
"1","2022/5/16",2,1,3.761651312,3.230310658,3.37950676041689,3.71899582422655,3.99179819797712
"2","2022/5/17",2,1,3.995170758,3.347070381,3.37691497827231,3.69788546578651,3.95127396557961
"3","2022/5/18",2,0,NA,2.698970004,3.37473924521125,3.67773069070571,3.90988754767003
"4","2022/5/19",0,0,NA,NA,3.37182882478655,3.65648995701024,3.87573946467063
"5","2022/5/20",0,0,NA,NA,3.36557927090561,3.63518277878155,3.84378311133723
"6","2022/5/21",0,0,NA,NA,3.35311320823541,3.61499448565203,3.81990107399199
"7","2022/5/22",0,0,NA,NA,3.34197234138382,3.5930993893605,3.79689317545535
"8","2022/5/23",2,1,3.712721876,3.20584594,3.32600823882337,3.57257205873969,3.77634069763975
"9","2022/5/24",2,0,NA,2.698970004,3.3056353889449,3.55362655841113,3.75586474047603
"10","2022/5/25",2,0,NA,2.698970004,3.29063363798465,3.53491709651337,3.73709606819329
"11","2022/5/26",0,0,NA,NA,3.27021576137598,3.51849438146002,3.72303398340396
"12","2022/5/27",0,0,NA,NA,3.25107969292249,3.50193954869153,3.704382686896
"13","2022/5/28",0,0,NA,NA,3.22941020155728,3.48650167227731,3.68884779718521
"14","2022/5/29",0,0,NA,NA,3.20725636805906,3.4715807820061,3.67537295183625
"15","2022/5/30",0,0,NA,NA,3.18842176662492,3.45752185468933,3.66438356858892
"16","2022/5/31",2,0,NA,2.698970004,3.17064668081593,3.44378746479897,3.65316914519511
"17","2022/6/1",2,0,NA,2.698970004,3.15177649934072,3.43276045891476,3.64237133429934
"18","2022/6/2",2,0,NA,2.698970004,3.13479524447523,3.42124614382334,3.63540173068434
"19","2022/6/3",0,0,NA,NA,3.12072644497649,3.41120082762277,3.62521463187797
"20","2022/6/4",0,0,NA,NA,3.10930631943778,3.4017520459681,3.61932382092205
"21","2022/6/5",0,0,NA,NA,3.09967441372514,3.39445364033218,3.61499574714446
"22","2022/6/6",2,0,NA,2.698970004,3.0890458475415,3.38758356040342,3.60950050047764
"23","2022/6/7",2,0,NA,2.698970004,3.08174592501121,3.38204961919471,3.60287202052634
"24","2022/6/8",2,0,NA,2.698970004,3.07596577252282,3.37862393503645,3.59658045445673
"25","2022/6/9",0,0,NA,NA,3.07171723093185,3.37550195401169,3.59169601595938
"26","2022/6/10",0,0,NA,NA,3.07116782268338,3.37260499498962,3.5925005616991
"27","2022/6/11",0,0,NA,NA,3.06997935330937,3.37052528640304,3.59146703747883
"28","2022/6/12",0,0,NA,NA,3.07355490011473,3.37016852040776,3.5875134174838
"29","2022/6/13",2,0,NA,2.698970004,3.07753967725294,3.37079122841147,3.58905402469454
"30","2022/6/14",2,0,NA,2.698970004,3.08113810595773,3.37214148650477,3.590530042226
"31","2022/6/15",2,0,NA,2.698970004,3.08452928861488,3.3745739134937,3.59412237253204
"32","2022/6/16",0,0,NA,NA,3.09860291001734,3.37912251238825,3.59648802781771
"33","2022/6/17",0,0,NA,NA,3.10412904917672,3.38229559529828,3.60274466529839
"34","2022/6/18",0,0,NA,NA,3.11470017988907,3.38745337999031,3.60370089539672
"35","2022/6/19",0,0,NA,NA,3.12262040935566,3.39330044119664,3.60809156175919
"36","2022/6/20",2,0,NA,2.698970004,3.13113021507978,3.39854612141456,3.6145057048456
"37","2022/6/21",2,0,NA,2.698970004,3.14251175055616,3.40475553080445,3.61951626355141
"38","2022/6/22",2,0,NA,2.698970004,3.15190244049718,3.41039824327511,3.62780343640719
"39","2022/6/23",0,0,NA,NA,3.16460469331889,3.41793066803975,3.63278092021797
"40","2022/6/24",0,0,NA,NA,3.17192663537474,3.42471405396384,3.63779165137609
"41","2022/6/25",0,0,NA,NA,3.18183813230481,3.43248621948953,3.64626485785458
"42","2022/6/26",0,0,NA,NA,3.19060623270048,3.44082244075434,3.65336701040806
"43","2022/6/27",2,1,3.534809513,3.116889758,3.19480907104752,3.4464906172597,3.66011619681061
"44","2022/6/28",2,0,NA,2.698970004,3.20327644785256,3.4534570804653,3.66509591027412
"45","2022/6/29",2,0,NA,2.698970004,3.21293645217864,3.45948935703836,3.67034176063723
"46","2022/6/30",0,0,NA,NA,3.21864149680632,3.46651357620807,3.67422033422549
"47","2022/7/1",0,0,NA,NA,3.2255329141964,3.47136020555153,3.67639478519045
