"","date","count","positive","concentration","substitution","low_7_a","med_7_a","upr_7_a"
"1","2022/4/3",3,0,NA,2.698970004,3.15475384833796,3.42408290097986,3.65356373691766
"2","2022/4/4",0,0,NA,NA,3.17198682706127,3.42351156819881,3.63617375231533
"3","2022/4/5",3,1,3.351891914,2.916610641,3.18792993447423,3.42351459587151,3.61884560092038
"4","2022/4/6",0,0,NA,NA,3.20504602955867,3.42484755889955,3.60782063433852
"5","2022/4/7",3,2,3.763361567,3.408564379,3.21517287592616,3.42362957984834,3.59460152695377
"6","2022/4/8",0,0,NA,NA,3.22509431593867,3.42349264053405,3.58650351039948
"7","2022/4/9",0,0,NA,NA,3.23523896773928,3.42222397778348,3.57557272966796
"8","2022/4/10",3,0,NA,2.698970004,3.24195097098676,3.42085593841797,3.56775902151176
"9","2022/4/11",0,0,NA,NA,3.24869815645965,3.41958724582802,3.5614830942599
"10","2022/4/12",3,0,NA,2.698970004,3.25292780701994,3.41759520500114,3.55833549136372
"11","2022/4/13",0,0,NA,NA,3.2587109897556,3.41673196457434,3.55536796924028
"12","2022/4/14",3,1,3.482372271,2.960104093,3.26139763760143,3.41682610948589,3.55560784577302
"13","2022/4/15",0,0,NA,NA,3.26391843292396,3.41707894780896,3.55290726736625
"14","2022/4/16",0,0,NA,NA,3.26806752152087,3.41730217028244,3.55353597421595
"15","2022/4/17",3,1,3.742245734,3.046728581,3.26686169165339,3.4171465283231,3.55436446462314
"16","2022/4/18",0,0,NA,NA,3.26873152320938,3.41847535598708,3.55419292176191
"17","2022/4/19",3,1,3.113955288,2.837298432,3.26910119029254,3.41914203916523,3.55381444491678
"18","2022/4/20",0,0,NA,NA,3.26829283984935,3.41882915360606,3.55504785802676
"19","2022/4/21",3,0,NA,2.698970004,3.27009435974711,3.41960426088704,3.5553741800321
"20","2022/4/22",0,0,NA,NA,3.26876137043037,3.42072174053178,3.55732561065854
"21","2022/4/23",0,0,NA,NA,3.27217170903765,3.42202808093441,3.55639173829963
"22","2022/4/24",3,0,NA,2.698970004,3.27643867544272,3.42447672094032,3.5583724660099
"23","2022/4/25",0,0,NA,NA,3.27977307140203,3.42675092846033,3.56137744548164
"24","2022/4/26",3,1,4.278285838,3.225408616,3.28518039574366,3.42975421936458,3.56245644861436
"25","2022/4/27",0,0,NA,NA,3.28984845042232,3.43317175820993,3.56398120306979
"26","2022/4/28",3,0,NA,2.698970004,3.2944550456896,3.43738760536902,3.56590889157754
"27","2022/4/29",0,0,NA,NA,3.29995467078565,3.44107160269445,3.57062598673444
"28","2022/4/30",0,0,NA,NA,3.30766009656975,3.44591141456929,3.57416330299234
"29","2022/5/1",3,1,3.78975813,3.062566046,3.31463331591221,3.45057272887492,3.57992139518766
"30","2022/5/2",0,0,NA,NA,3.32167454206699,3.45627915466038,3.58524325461714
"31","2022/5/3",3,1,3.54340542,2.980448476,3.32912483276337,3.46166790542918,3.5904409201646
"32","2022/5/4",0,0,NA,NA,3.3338975594097,3.46679810812088,3.59400276393758
"33","2022/5/5",3,1,3.397766537,2.931902182,3.3401626234413,3.47166470184434,3.59822912255925
"34","2022/5/6",0,0,NA,NA,3.34451882050632,3.47676045281489,3.60446721920041
"35","2022/5/7",0,0,NA,NA,3.3472476199347,3.48246661931261,3.60833782695243
"36","2022/5/8",3,1,3.9324853,3.11014177,3.3532366522456,3.48725851913321,3.61206287207531
"37","2022/5/9",0,0,NA,NA,3.35844286514881,3.49189109523075,3.61583226250185
"38","2022/5/10",3,2,3.555525522,3.270007016,3.36526473860016,3.496970065425,3.62032814790523
"39","2022/5/11",0,0,NA,NA,3.36952411688137,3.50301308480163,3.62594339768383
"40","2022/5/12",3,0,NA,2.698970004,3.37410665181957,3.50810717761944,3.62974834194448
"41","2022/5/13",0,0,NA,NA,3.37782806441891,3.51309188793339,3.63410306512737
"42","2022/5/14",0,0,NA,NA,3.38378838641753,3.51900925760676,3.64049678785719
"43","2022/5/15",3,1,3.798009141,3.065316383,3.39153194669708,3.52391379288581,3.64494904608663
"44","2022/5/16",0,0,NA,NA,3.39847619444188,3.5299249111562,3.65033908389026
"45","2022/5/17",3,2,4.018069792,3.578369862,3.40486770137439,3.5358182926034,3.65569355898321
"46","2022/5/18",0,0,NA,NA,3.41064450697777,3.54258511552818,3.66192734494772
"47","2022/5/19",3,0,NA,2.698970004,3.41581162154604,3.55033876772229,3.66835829427414
"48","2022/5/20",0,0,NA,NA,3.4233658595693,3.55793307555349,3.67413878111538
"49","2022/5/21",0,0,NA,NA,3.43066456652654,3.56555240048646,3.68114386403459
"50","2022/5/22",3,1,3.766909749,3.054949919,3.44036489931933,3.57413775824136,3.69088754713712
"51","2022/5/23",0,0,NA,NA,3.45477267884764,3.5830649550266,3.69939953158731
"52","2022/5/24",3,0,NA,2.698970004,3.46566548851231,3.59285641355857,3.71083303194401
"53","2022/5/25",0,0,NA,NA,3.47838865883434,3.60374145233366,3.72167227888025
"54","2022/5/26",3,0,NA,2.698970004,3.49138903809257,3.614855106696,3.73412779478097
"55","2022/5/27",0,0,NA,NA,3.50264532176835,3.62683801865992,3.74697562076319
"56","2022/5/28",0,0,NA,NA,3.51684430373522,3.63750565453176,3.75939237334224
"57","2022/5/29",3,2,4.018522214,3.578671477,3.52953549931826,3.64775536504291,3.77237843423914
"58","2022/5/30",0,0,NA,NA,3.53953887078108,3.65837081979801,3.7859534177641
"59","2022/5/31",3,2,3.777396453,3.41792097,3.54910410956858,3.6676206471786,3.79696712972594
"60","2022/6/1",0,0,NA,NA,3.55573977774451,3.67496839573824,3.80944561947544
"61","2022/6/2",3,3,3.768315553,3.768315553,3.56150964596213,3.68113210101862,3.81875725412677
"62","2022/6/3",0,0,NA,NA,3.56581925822471,3.68561816338288,3.82744001333387
"63","2022/6/4",0,0,NA,NA,3.56830324598653,3.68833784034937,3.83485292923426
"64","2022/6/5",3,2,4.10593743,3.636948288,3.56864586829244,3.68931930429475,3.83562712768329
"65","2022/6/6",0,0,NA,NA,3.56857260906422,3.68832502055175,3.83450498861018
"66","2022/6/7",3,3,4.385740352,4.385740352,3.56413824178253,3.68543503264128,3.8314585612413
"67","2022/6/8",0,0,NA,NA,3.56113892681033,3.67984023935714,3.82651551121461
"68","2022/6/9",3,2,3.613378615,3.308575745,3.55514713936857,3.67304266262426,3.81720016216202
"69","2022/6/10",0,0,NA,NA,3.54756392143552,3.66401106111603,3.80470817403485
"70","2022/6/11",0,0,NA,NA,3.54038729739382,3.65358785361766,3.78990175802695
"71","2022/6/12",3,3,4.433914593,4.433914593,3.5298722284967,3.64227544826896,3.7719530884074
