,ww,lower,median,upper,
1,2,3.77E-13,2.51E-09,1.58E-06,
2,2.2,5.33E-13,3.21E-09,1.87E-06,
3,2.42,7.55E-13,4.10E-09,2.23E-06,
4,2.662,1.07E-12,5.24E-09,2.64E-06,
5,2.9282,1.50E-12,6.70E-09,3.14E-06,
6,3.22102,2.12E-12,8.55E-09,3.73E-06,
7,3.543122,3.00E-12,1.09E-08,4.43E-06,
8,3.8974342,4.24E-12,1.40E-08,5.26E-06,
9,4.28717762,6.00E-12,1.79E-08,6.24E-06,
10,4.715895382,8.47E-12,2.29E-08,7.41E-06,
11,5.18748492,1.20E-11,2.92E-08,8.80E-06,
12,5.706233412,1.69E-11,3.73E-08,1.04E-05,
13,6.276856753,2.39E-11,4.77E-08,1.24E-05,
14,6.904542429,3.37E-11,6.10E-08,1.47E-05,
15,7.594996672,4.77E-11,7.80E-08,1.75E-05,
16,8.354496339,6.74E-11,9.96E-08,2.07E-05,
17,9.189945973,9.52E-11,1.27E-07,2.46E-05,
18,10.10894057,1.35E-10,1.63E-07,2.92E-05,
19,11.11983463,1.90E-10,2.08E-07,3.47E-05,
20,12.23181809,2.69E-10,2.66E-07,4.11E-05,
21,13.4549999,3.81E-10,3.40E-07,4.89E-05,
22,14.80049989,5.39E-10,4.34E-07,5.80E-05,
23,16.28054988,7.61E-10,5.55E-07,6.89E-05,
24,17.90860487,1.07E-09,7.09E-07,8.19E-05,
25,19.69946535,1.52E-09,9.07E-07,9.73E-05,
26,21.66941189,2.14E-09,1.16E-06,0.000115597,
27,23.83635308,3.03E-09,1.48E-06,0.000137291,
28,26.21998838,4.28E-09,1.89E-06,0.000162919,
29,28.84198722,6.03E-09,2.42E-06,0.000193343,
30,31.72618594,8.52E-09,3.09E-06,0.000229596,
31,34.89880454,1.20E-08,3.95E-06,0.000272641,
32,38.38868499,1.69E-08,5.05E-06,0.000323254,
33,42.22755349,2.39E-08,6.46E-06,0.000383739,
34,46.45030884,3.38E-08,8.26E-06,0.00045563,
35,51.09533972,4.77E-08,1.06E-05,0.000540629,
36,56.2048737,6.73E-08,1.35E-05,0.000641187,
37,61.82536107,9.51E-08,1.72E-05,0.0007619,
38,68.00789717,1.34E-07,2.20E-05,0.000905342,
39,74.80868689,1.90E-07,2.82E-05,0.001075112,
40,82.28955558,2.68E-07,3.60E-05,0.001277276,
41,90.51851114,3.78E-07,4.60E-05,0.001517193,
42,99.57036225,5.34E-07,5.88E-05,0.001800261,
43,109.5273985,7.56E-07,7.52E-05,0.002135895,
44,120.4801383,1.07E-06,9.61E-05,0.002537662,
45,132.5281522,1.51E-06,0.000122929,0.003012219,
46,145.7809674,2.13E-06,0.00015723,0.003579588,
47,160.3590641,3.01E-06,0.000200934,0.004251507,
48,176.3949705,4.25E-06,0.000256645,0.005056587,
49,194.0344676,5.99E-06,0.000327929,0.005999556,
50,213.4379143,8.46E-06,0.000419154,0.007123779,
51,234.7817058,1.19E-05,0.000535902,0.008447739,
52,258.2598763,1.68E-05,0.00068511,0.010025074,
53,284.085864,2.37E-05,0.000875457,0.011889877,
54,312.4944504,3.35E-05,0.00111874,0.014100659,
55,343.7438954,4.71E-05,0.001430453,0.016732296,
56,378.1182849,6.64E-05,0.001827751,0.019843416,
57,415.9301134,9.39E-05,0.002335256,0.023531106,
58,457.5231248,0.000132385,0.002983684,0.027830665,
59,503.2754373,0.000186411,0.003809703,0.032926928,
60,553.602981,0.00026256,0.004865139,0.038950786,
61,608.9632791,0.000369307,0.006209929,0.046018805,
62,669.859607,0.000519809,0.007925073,0.054363234,
63,736.8455677,0.000730118,0.010103734,0.063939116,
64,810.5301245,0.001026179,0.012875532,0.075318754,
65,891.5831369,0.001444288,0.016398026,0.088397974,
66,980.7414506,0.0020379,0.020864229,0.103519287,
67,1078.815596,0.002869208,0.026501332,0.120925619,
68,1186.697155,0.004029246,0.03362557,0.140800946,
69,1305.366871,0.005654078,0.042564407,0.163437737,
70,1435.903558,0.007914338,0.053774544,0.189214411,
71,1579.493914,0.011054446,0.067710007,0.21792198,
72,1737.443305,0.015333963,0.084907977,0.249935573,
73,1911.187635,0.021240686,0.106031331,0.285141193,
74,2102.306399,0.02930159,0.131543291,0.323288655,
75,2312.537039,0.040306869,0.162203399,0.364375039,
76,2543.790743,0.054947788,0.198360919,0.407854655,
77,2798.169817,0.074469795,0.240115431,0.453239838,
78,3077.986799,0.099956297,0.287687947,0.500058519,3.488266753
79,3385.785479,0.132937902,0.340244632,0.547637571,3.529659438
80,3724.364027,0.175096381,0.397250831,0.595358263,3.571052123
81,4096.800429,0.227163577,0.456875204,0.642191321,3.612444808
82,4506.480472,0.28820817,0.51777498,0.687326316,3.653837493
83,4957.128519,0.35769037,0.57807692,0.730455371,3.695230179
84,5452.841371,0.432489832,0.636151314,0.770903335,3.736622864
85,5998.125508,0.50846632,0.690365808,0.808319191,3.778015549
86,6597.938059,0.582456054,0.739728602,0.841846458,
87,7257.731865,0.650129387,0.783744077,0.871776499,
88,7983.505052,0.70983934,0.822167579,0.897695717,
89,8781.855557,0.760729492,0.855031377,0.919701094,
90,9660.041112,0.802967653,0.882764794,0.937995637,
91,10626.04522,0.837573352,0.905770997,0.952718367,
92,11688.64975,0.866259215,0.92475742,0.964343739,
93,12857.51472,0.889410382,0.940143768,0.97336575,
94,14143.26619,0.908190456,0.95257303,0.980258659,
95,15557.59281,0.923636197,0.962521221,0.985495266,
96,17113.35209,0.936227142,0.970437562,0.989410513,
97,18824.6873,0.946705987,0.976718133,0.992317847,
98,20707.15603,0.95532849,0.981691873,0.994449682,
99,22777.87164,0.962552818,0.985619483,0.996002,
100,25055.6588,0.968586349,0.988714177,0.99712683,
101,27561.22468,0.97366204,0.991154017,0.997941674,
102,30317.34715,0.97789625,0.993065285,0.998526599,
103,33349.08186,0.981460697,0.994571488,0.998946486,
104,36683.99005,0.984428714,0.995753565,0.999247104,
105,40352.38905,0.986942334,0.996679431,0.999463385,
106,44387.62796,0.9890435,0.997402162,0.999617169,
107,48826.39075,0.990796933,0.997969714,0.999727412,
108,53709.02983,0.992269897,0.998414459,0.999805969,
109,59079.93281,0.993505621,0.998761502,0.99986199,
110,64987.92609,0.994535991,0.999032225,0.999901957,
111,71486.7187,0.995409507,0.999243754,0.999930302,
112,78635.39057,0.99613619,0.999408468,0.999950433,
113,86498.92963,0.996752267,0.99953731,0.999964803,
114,95148.82259,0.99726655,0.999638047,0.99997503,
115,104663.7049,0.997699826,0.999717012,0.999982242,
116,115130.0753,0.998064706,0.999778568,0.999987385,
117,126643.0829,0.998372571,0.99982672,0.999991054,
118,139307.3912,0.99862928,0.999864466,0.999993652,
119,153238.1303,0.998847496,0.999893908,0.999995495,
120,168561.9433,0.999030369,0.99991701,0.999996803,
121,185418.1376,0.999184289,0.999935084,0.999997731,
122,203959.9514,0.999313513,0.999949218,0.999998388,
123,224355.9465,0.999422446,0.999960274,0.999998854,
124,246791.5412,0.999513304,0.999968923,0.999999186,
125,271470.6953,0.999590318,0.999975669,0.999999423,
126,298617.7648,0.99965546,0.999980958,0.999999591,
127,328479.5413,0.999710131,0.9999851,0.99999971,
128,361327.4955,0.999755871,0.999988347,0.999999794,
129,397460.245,0.999794522,0.999990881,0.999999854,
130,437206.2695,0.999826951,0.999992865,0.999999896,
131,480926.8965,0.999854403,0.999994413,0.999999926,
132,529019.5861,0.999877374,0.99999563,0.999999948,
133,581921.5447,0.999896833,0.999996581,0.999999963,
134,640113.6992,0.999913069,0.999997327,0.999999974,
135,704125.0691,0.999926914,0.999997908,0.999999981,
136,774537.576,0.999938417,0.999998364,0.999999987,
137,851991.3336,0.999948137,0.99999872,0.999999991,
138,937190.467,0.99995634,0.999998998,0.999999993,
139,1030909.514,0.999963239,0.999999216,0.999999995,
140,1134000.465,0.999969072,0.999999387,0.999999997,
