,ww,lower,median,upper,
1,2,2.34E-12,2.58E-10,1.23E-08,
2,2.2,3.35E-12,3.48E-10,1.59E-08,
3,2.42,4.81E-12,4.70E-10,2.04E-08,
4,2.662,6.91E-12,6.36E-10,2.62E-08,
5,2.9282,9.91E-12,8.59E-10,3.37E-08,
6,3.22102,1.42E-11,1.16E-09,4.34E-08,
7,3.543122,2.03E-11,1.57E-09,5.58E-08,
8,3.8974342,2.92E-11,2.12E-09,7.18E-08,
9,4.28717762,4.18E-11,2.86E-09,9.24E-08,
10,4.715895382,6.00E-11,3.87E-09,1.19E-07,
11,5.18748492,8.60E-11,5.22E-09,1.53E-07,
12,5.706233412,1.23E-10,7.06E-09,1.97E-07,
13,6.276856753,1.77E-10,9.54E-09,2.53E-07,
14,6.904542429,2.54E-10,1.29E-08,3.26E-07,
15,7.594996672,3.64E-10,1.74E-08,4.19E-07,
16,8.354496339,5.22E-10,2.35E-08,5.39E-07,
17,9.189945973,7.49E-10,3.18E-08,6.94E-07,
18,10.10894057,1.08E-09,4.29E-08,8.92E-07,
19,11.11983463,1.54E-09,5.80E-08,1.15E-06,
20,12.23181809,2.21E-09,7.84E-08,1.48E-06,
21,13.4549999,3.18E-09,1.06E-07,1.90E-06,
22,14.80049989,4.56E-09,1.43E-07,2.44E-06,
23,16.28054988,6.54E-09,1.94E-07,3.14E-06,
24,17.90860487,9.38E-09,2.62E-07,4.04E-06,
25,19.69946535,1.35E-08,3.53E-07,5.19E-06,
26,21.66941189,1.93E-08,4.78E-07,6.68E-06,
27,23.83635308,2.76E-08,6.45E-07,8.59E-06,
28,26.21998838,3.97E-08,8.72E-07,1.11E-05,
29,28.84198722,5.69E-08,1.18E-06,1.42E-05,
30,31.72618594,8.15E-08,1.59E-06,1.83E-05,
31,34.89880454,1.17E-07,2.15E-06,2.35E-05,
32,38.38868499,1.68E-07,2.90E-06,3.02E-05,
33,42.22755349,2.40E-07,3.92E-06,3.89E-05,
34,46.45030884,3.45E-07,5.30E-06,5.01E-05,
35,51.09533972,4.94E-07,7.17E-06,6.44E-05,
36,56.2048737,7.09E-07,9.68E-06,8.29E-05,
37,61.82536107,1.02E-06,1.31E-05,0.000106629,
38,68.00789717,1.46E-06,1.77E-05,0.000137056,
39,74.80868689,2.09E-06,2.39E-05,0.000176368,
40,82.28955558,3.00E-06,3.23E-05,0.000226847,
41,90.51851114,4.30E-06,4.36E-05,0.000291894,
42,99.57036225,6.17E-06,5.89E-05,0.000375606,
43,109.5273985,8.85E-06,7.96E-05,0.000483391,
44,120.4801383,1.27E-05,0.000107601,0.000622015,
45,132.5281522,1.82E-05,0.000145426,0.000799724,
46,145.7809674,2.61E-05,0.000196509,0.001028831,
