,ww,lower,median,upper,
1,2,4.71E-13,7.31E-09,6.97E-06,
2,2.2,6.51E-13,9.10E-09,8.05E-06,
3,2.42,9.01E-13,1.13E-08,9.28E-06,
4,2.662,1.24E-12,1.41E-08,1.07E-05,
5,2.9282,1.72E-12,1.76E-08,1.24E-05,
6,3.22102,2.38E-12,2.18E-08,1.43E-05,
7,3.543122,3.29E-12,2.72E-08,1.65E-05,
8,3.8974342,4.54E-12,3.38E-08,1.90E-05,
9,4.28717762,6.29E-12,4.21E-08,2.20E-05,
10,4.715895382,8.69E-12,5.24E-08,2.54E-05,
11,5.18748492,1.20E-11,6.52E-08,2.93E-05,
12,5.706233412,1.66E-11,8.11E-08,3.38E-05,
13,6.276856753,2.29E-11,1.01E-07,3.91E-05,
14,6.904542429,3.17E-11,1.26E-07,4.51E-05,
15,7.594996672,4.39E-11,1.56E-07,5.21E-05,
16,8.354496339,6.05E-11,1.95E-07,6.03E-05,
17,9.189945973,8.34E-11,2.42E-07,6.95E-05,
18,10.10894057,1.16E-10,3.02E-07,8.01E-05,
19,11.11983463,1.60E-10,3.76E-07,9.24E-05,
20,12.23181809,2.21E-10,4.67E-07,0.000106547,
21,13.4549999,3.05E-10,5.81E-07,0.000122914,
22,14.80049989,4.19E-10,7.23E-07,0.000141974,
23,16.28054988,5.80E-10,9.01E-07,0.000163854,
24,17.90860487,8.02E-10,1.12E-06,0.000189123,
25,19.69946535,1.11E-09,1.40E-06,0.000218408,
26,21.66941189,1.53E-09,1.74E-06,0.000252004,
27,23.83635308,2.11E-09,2.16E-06,0.000290646,
28,26.21998838,2.92E-09,2.69E-06,0.000335774,
29,28.84198722,4.02E-09,3.35E-06,0.000387614,
30,31.72618594,5.56E-09,4.17E-06,0.000447665,
31,34.89880454,7.66E-09,5.19E-06,0.000517692,
32,38.38868499,1.06E-08,6.45E-06,0.000597732,
33,42.22755349,1.46E-08,8.02E-06,0.00069022,
34,46.45030884,2.02E-08,9.98E-06,0.000796151,
35,51.09533972,2.79E-08,1.24E-05,0.000918998,
36,56.2048737,3.86E-08,1.55E-05,0.001059877,
37,61.82536107,5.33E-08,1.92E-05,0.001223167,
38,68.00789717,7.35E-08,2.39E-05,0.001413205,
39,74.80868689,1.01E-07,2.98E-05,0.001633976,
40,82.28955558,1.40E-07,3.70E-05,0.001887171,
41,90.51851114,1.94E-07,4.61E-05,0.002176692,
42,99.57036225,2.67E-07,5.73E-05,0.002516183,
43,109.5273985,3.69E-07,7.13E-05,0.002902516,
44,120.4801383,5.09E-07,8.88E-05,0.003355828,
45,132.5281522,7.04E-07,0.000110547,0.003877133,
46,145.7809674,9.71E-07,0.000137672,0.004480022,
47,160.3590641,1.34E-06,0.000171185,0.005177309,
48,176.3949705,1.86E-06,0.000213215,0.005981738,
49,194.0344676,2.55E-06,0.000265205,0.006907624,
50,213.4379143,3.50E-06,0.000330119,0.007977597,
51,234.7817058,4.83E-06,0.000411075,0.00921677,
52,258.2598763,6.67E-06,0.000511636,0.010637505,
53,284.085864,9.23E-06,0.000637112,0.0122751,
54,312.4944504,1.27E-05,0.000793008,0.014172521,
55,343.7438954,1.76E-05,0.000986671,0.016332479,
56,378.1182849,2.42E-05,0.001228055,0.018826536,
57,415.9301134,3.33E-05,0.001526585,0.021703199,
58,457.5231248,4.60E-05,0.001897643,0.025008315,
59,503.2754373,6.35E-05,0.002359763,0.028820338,
60,553.602981,8.73E-05,0.002935332,0.033177682,
61,608.9632791,0.000120607,0.003651717,0.038255446,
62,669.859607,0.000166478,0.004539786,0.044058967,
63,736.8455677,0.000229174,0.005640708,0.050720132,
64,810.5301245,0.000314109,0.0070119,0.058221067,
65,891.5831369,0.000432281,0.008710815,0.066762888,
66,980.7414506,0.00059339,0.010824409,0.076547382,
67,1078.815596,0.000815335,0.013439911,0.087641571,
68,1186.697155,0.001116217,0.016675615,0.100378318,
69,1305.366871,0.00153316,0.020671918,0.114724623,
70,1435.903558,0.002106381,0.025620784,0.130738306,
71,1579.493914,0.002880402,0.031713764,0.149029677,
72,1737.443305,0.003942512,0.039192596,0.169147454,
73,1911.187635,0.005387299,0.048306581,0.191633389,
74,2102.306399,0.007379614,0.059473059,0.21660515,
75,2312.537039,0.010027286,0.072905868,0.24413974,
76,2543.790743,0.01360168,0.089151699,0.273842055,
77,2798.169817,0.018445719,0.108532214,0.305851413,
78,3077.986799,0.024936187,0.131490674,0.340518117,
79,3385.785479,0.033584969,0.158553562,0.377669421,
80,3724.364027,0.045071567,0.18986511,0.417009617,
81,4096.800429,0.060099501,0.22571143,0.458156982,
