,ww,lower,median,upper,
1,2,3.39E-13,2.08E-08,4.04E-05,
2,2.2,4.73E-13,2.56E-08,4.57E-05,
3,2.42,6.59E-13,3.16E-08,5.18E-05,
4,2.662,9.19E-13,3.90E-08,5.87E-05,
5,2.9282,1.28E-12,4.81E-08,6.65E-05,
6,3.22102,1.79E-12,5.93E-08,7.54E-05,
7,3.543122,2.50E-12,7.31E-08,8.53E-05,
8,3.8974342,3.49E-12,9.02E-08,9.66E-05,
9,4.28717762,4.86E-12,1.11E-07,0.00010943,
10,4.715895382,6.78E-12,1.37E-07,0.000124014,
11,5.18748492,9.45E-12,1.69E-07,0.00014043,
12,5.706233412,1.32E-11,2.08E-07,0.000159065,
13,6.276856753,1.84E-11,2.57E-07,0.000180242,
14,6.904542429,2.57E-11,3.17E-07,0.000204626,
15,7.594996672,3.57E-11,3.91E-07,0.000231933,
16,8.354496339,4.99E-11,4.82E-07,0.000263261,
17,9.189945973,6.95E-11,5.94E-07,0.000298389,
18,10.10894057,9.68E-11,7.33E-07,0.000338716,
19,11.11983463,1.35E-10,9.04E-07,0.000383749,
20,12.23181809,1.87E-10,1.11E-06,0.000434973,
21,13.4549999,2.62E-10,1.37E-06,0.000493539,
22,14.80049989,3.65E-10,1.70E-06,0.000559252,
23,16.28054988,5.09E-10,2.09E-06,0.000634018,
24,17.90860487,7.11E-10,2.58E-06,0.000717826,
25,19.69946535,9.90E-10,3.18E-06,0.000813739,
26,21.66941189,1.38E-09,3.92E-06,0.00092167,
27,23.83635308,1.92E-09,4.83E-06,0.001043802,
28,26.21998838,2.68E-09,5.95E-06,0.001183869,
29,28.84198722,3.75E-09,7.34E-06,0.001342613,
30,31.72618594,5.24E-09,9.05E-06,0.001522072,
31,34.89880454,7.31E-09,1.12E-05,0.001723488,
32,38.38868499,1.02E-08,1.37E-05,0.00195149,
33,42.22755349,1.42E-08,1.70E-05,0.002213081,
34,46.45030884,1.98E-08,2.09E-05,0.002510808,
35,51.09533972,2.77E-08,2.58E-05,0.002847868,
36,56.2048737,3.85E-08,3.18E-05,0.003230776,
37,61.82536107,5.37E-08,3.92E-05,0.003663944,
38,68.00789717,7.49E-08,4.83E-05,0.004148247,
39,74.80868689,1.04E-07,5.96E-05,0.004705895,
40,82.28955558,1.45E-07,7.35E-05,0.005330893,
41,90.51851114,2.03E-07,9.06E-05,0.006042688,
42,99.57036225,2.83E-07,0.000111611,0.006857967,
43,109.5273985,3.95E-07,0.000137584,0.007766121,
44,120.4801383,5.50E-07,0.000169522,0.008800784,
45,132.5281522,7.66E-07,0.000208984,0.009966991,
46,145.7809674,1.07E-06,0.000257614,0.011302198,
47,160.3590641,1.49E-06,0.000317762,0.012799224,
48,176.3949705,2.07E-06,0.000391821,0.014499703,
49,194.0344676,2.89E-06,0.000482884,0.016419272,
50,213.4379143,4.02E-06,0.000595437,0.018595116,
51,234.7817058,5.61E-06,0.000733709,0.021070742,
52,258.2598763,7.81E-06,0.000904367,0.023821504,
53,284.085864,1.09E-05,0.00111439,0.026964364,
54,312.4944504,1.51E-05,0.00137303,0.030468141,
55,343.7438954,2.11E-05,0.001692538,0.034476252,
56,378.1182849,2.93E-05,0.002087691,0.038940581,
57,415.9301134,4.09E-05,0.002572058,0.043935155,
58,457.5231248,5.70E-05,0.003167944,0.049593707,
