date,count,positive,concentration,substitution,low_7_a,med_7_a,upr_7_a,low_7_s,med_7_s,upr_7_s,low_7_i,med_7_i,upr_7_i
2022/1/1,0,0,NA,NA,3.104253604,3.35803793,3.609887887,2.807340459,3.097091488,3.378229567,3.057924229,3.337709108,3.623199363
2022/1/2,0,0,NA,NA,3.118907265,3.352137267,3.583012245,2.830716625,3.093658374,3.349442113,3.076350972,3.331972937,3.591336755
2022/1/3,0,0,NA,NA,3.132456997,3.346254851,3.556393874,2.852915676,3.090256806,3.32141556,3.092424342,3.326061664,3.56193566
2022/1/4,0,0,NA,NA,3.144961453,3.340183593,3.531299661,2.873877233,3.086834692,3.29495431,3.106479913,3.320105909,3.533228442
2022/1/5,0,0,NA,NA,3.15637872,3.334389049,3.507792727,2.893031122,3.08341421,3.270446862,3.120156346,3.31394057,3.506472776
2022/1/6,0,0,NA,NA,3.166786097,3.328656431,3.484807775,2.910544818,3.080103215,3.247222258,3.130854388,3.307837004,3.480738951
2022/1/7,0,0,NA,NA,3.175797954,3.322803634,3.463060622,2.926875311,3.076768706,3.225280109,3.141466855,3.301658528,3.456236949
2022/1/8,2,1,3.125469454,2.912219729,3.183547902,3.316905788,3.443273569,2.940930797,3.073439112,3.205485338,3.150680101,3.295245173,3.433829176
2022/1/9,5,3,3.265424515,3.03884271,3.18910912,3.310822404,3.424495279,2.952830682,3.070167305,3.18785553,3.157856989,3.289310441,3.413868653
2022/1/10,5,3,3.42033408,3.13178845,3.193395454,3.304857857,3.407812958,2.961880369,3.066793552,3.172110581,3.163669051,3.28340853,3.396496291
2022/1/11,5,3,3.501309634,3.180373782,3.195865694,3.298959918,3.392898719,2.968189885,3.06324688,3.158301529,3.167348602,3.27745248,3.381444203
2022/1/12,4,3,3.332236914,3.173920187,3.197500081,3.293063659,3.37996016,2.97173051,3.059178993,3.146665243,3.168139077,3.271387778,3.36802733
2022/1/13,5,2,3.608339178,3.062717674,3.19731197,3.28740085,3.36861024,2.972982593,3.054657367,3.136443681,3.168015207,3.265620365,3.356885998
2022/1/14,4,1,4.129076516,3.056496632,3.196463739,3.28203254,3.359156974,2.972217003,3.049906668,3.127792224,3.167377801,3.260563034,3.347898175
