date,count,positive,concentration,substitution,low_7_a,med_7_a,upr_7_a,low_7_s,med_7_s,upr_7_s,low_7_i,med_7_i,upr_7_i
2022/4/3,3,1,3.288584896,2.895508302,3.375632073,3.660515168,3.897297423,2.937791494,3.201475194,3.46331723,3.454430548,3.673025026,3.887376171
2022/4/4,0,0,NA,NA,3.40445041,3.667813971,3.887004882,2.979628501,3.218532421,3.456639596,3.475279592,3.678963539,3.877312805
2022/4/5,3,2,3.620854532,3.31355969,3.430581941,3.675005343,3.878407859,3.017976184,3.235398065,3.452675423,3.493286809,3.684582373,3.869733047
2022/4/6,0,0,NA,NA,3.454481647,3.682110737,3.872459015,3.051428167,3.251774226,3.452069045,3.511075501,3.690537772,3.863761576
2022/4/7,3,2,3.960701398,3.540124267,3.47577249,3.688920167,3.868175043,3.08055208,3.267188271,3.453520995,3.527039249,3.696091708,3.860479695
2022/4/8,0,0,NA,NA,3.493894696,3.695635261,3.865266167,3.105247568,3.281601513,3.457568072,3.540670832,3.701242473,3.858026538
2022/4/9,0,0,NA,NA,3.510445193,3.702102215,3.864432719,3.126224287,3.295126491,3.463784196,3.552217362,3.706339032,3.858062697
2022/4/10,3,1,3.93008215,3.109340719,3.524832174,3.708508757,3.865009098,3.144492443,3.307549101,3.47080792,3.563223627,3.711197528,3.858085282
2022/4/11,0,0,NA,NA,3.537518321,3.714607415,3.86697558,3.160318208,3.31915268,3.47927128,3.571962039,3.716093596,3.859783166
2022/4/12,3,3,3.695792186,3.695792186,3.548836505,3.720593287,3.869716833,3.173357306,3.329770119,3.487381596,3.580562045,3.720547395,3.86124147
2022/4/13,0,0,NA,NA,3.557791529,3.72615996,3.872982312,3.184111824,3.338986595,3.495143778,3.587151178,3.724642345,3.863773528
2022/4/14,3,2,3.653655212,3.33542681,3.565721118,3.731476487,3.877741858,3.192890965,3.347046857,3.502707314,3.593497254,3.729075744,3.867273431
2022/4/15,0,0,NA,NA,3.572752594,3.736521206,3.882865337,3.201219507,3.354393755,3.509460141,3.599182976,3.732986852,3.870628866
2022/4/16,0,0,NA,NA,3.579565411,3.741448834,3.88750994,3.208133775,3.361124938,3.515695304,3.604739972,3.736732987,3.874028007
2022/4/17,3,2,4.094014411,3.628999609,3.585839024,3.746245481,3.891406107,3.214586933,3.367417982,3.521620182,3.609223836,3.740457816,3.87785983
2022/4/18,0,0,NA,NA,3.592028291,3.751025305,3.894958382,3.220354406,3.373239928,3.527389865,3.612925382,3.744474122,3.881411826
2022/4/19,3,2,3.54654174,3.264017828,3.598492486,3.755771324,3.898853982,3.226202414,3.379225206,3.533175074,3.61751769,3.748512912,3.884491719
2022/4/20,0,0,NA,NA,3.604893412,3.760797325,3.902150729,3.232421791,3.385581286,3.539243118,3.622203927,3.752791123,3.888179237
2022/4/21,3,1,3.554028211,2.983989407,3.611710786,3.766042034,3.906584655,3.239656082,3.392734062,3.54577561,3.62681136,3.756776702,3.891958981
2022/4/22,0,0,NA,NA,3.619018363,3.771341604,3.911134316,3.248215454,3.400793429,3.55388174,3.63163683,3.761651907,3.895745537
2022/4/23,0,0,NA,NA,3.626772124,3.777010184,3.91519857,3.257285786,3.410093665,3.562297831,3.636508912,3.767019927,3.899466036
2022/4/24,3,1,3.671971388,3.023303799,3.634904876,3.78264167,3.920235692,3.267288835,3.419983927,3.572266438,3.642215479,3.772711955,3.902945485
2022/4/25,0,0,NA,NA,3.642967451,3.788164484,3.925168635,3.27842195,3.430678829,3.582626618,3.647850662,3.778048463,3.907429547
2022/4/26,3,3,3.978953878,3.978953878,3.650692653,3.793801053,3.931030429,3.289655774,3.441598517,3.593515878,3.654386665,3.783491709,3.911622701
2022/4/27,0,0,NA,NA,3.657661032,3.799009048,3.936792686,3.300535587,3.452328103,3.604011761,3.660142289,3.788925797,3.915492703
2022/4/28,3,2,3.77506173,3.416364488,3.664371693,3.803790325,3.94089357,3.311521394,3.462948941,3.614074039,3.664884461,3.793856201,3.920557704
2022/4/29,0,0,NA,NA,3.670547142,3.808541829,3.944768497,3.322216225,3.473425135,3.624349763,3.670246663,3.798674911,3.924371856
2022/4/30,0,0,NA,NA,3.676624863,3.812941761,3.94850927,3.332485658,3.483680066,3.634545461,3.675146004,3.803634806,3.92791097
2022/5/1,3,2,3.815859816,3.443563212,3.682319169,3.817209528,3.95159751,3.342653983,3.49376331,3.644517309,3.679937387,3.808089833,3.932266075
2022/5/2,0,0,NA,NA,3.68762702,3.821492173,3.953084933,3.352546562,3.503547425,3.654227528,3.684182542,3.812308389,3.93617671
2022/5/3,3,3,3.825398735,3.825398735,3.692115044,3.825661486,3.954028199,3.362205364,3.513040524,3.663637313,3.688913687,3.817129475,3.941317647
2022/5/4,0,0,NA,NA,3.696339227,3.829723806,3.955379897,3.371004124,3.52205847,3.672397156,3.692561347,3.82179439,3.946781884
2022/5/5,3,3,3.810825905,3.810825905,3.69968062,3.833930771,3.959593457,3.379032548,3.531187396,3.681193809,3.696617591,3.826202321,3.95250551
2022/5/6,0,0,NA,NA,3.702734997,3.83839093,3.96409539,3.387283595,3.539971596,3.690401536,3.700099634,3.830777684,3.958681371
2022/5/7,0,0,NA,NA,3.706123446,3.843341884,3.969303933,3.395381325,3.549319452,3.700369365,3.703618658,3.835647904,3.964669201
2022/5/8,3,1,3.941570266,3.113170092,3.710115499,3.849046811,3.975263169,3.404420805,3.559659706,3.711705124,3.708657498,3.841181558,3.970727542
2022/5/9,0,0,NA,NA,3.715984269,3.855800786,3.982042142,3.414520543,3.571398748,3.724188838,3.713889115,3.847421624,3.977642599
2022/5/10,3,2,4.021661077,3.580764053,3.722953694,3.863429143,3.989879593,3.426975714,3.584653737,3.73807067,3.720720298,3.854245235,3.985620395
2022/5/11,0,0,NA,NA,3.731700297,3.87197595,3.998389499,3.44046533,3.599639131,3.753142487,3.728171061,3.862132122,3.993927582
2022/5/12,3,2,3.823204069,3.448459381,3.741681899,3.881641983,4.00768645,3.455503919,3.616194569,3.769644062,3.737132173,3.870838681,4.003256109
2022/5/13,0,0,NA,NA,3.753229551,3.892289869,4.017693792,3.472367984,3.633998328,3.78801143,3.746586444,3.880004409,4.011252956
2022/5/14,0,0,NA,NA,3.766750287,3.903926431,4.027733416,3.49206021,3.653507609,3.808107656,3.756346319,3.889805839,4.020773005
2022/5/15,3,3,3.85164654,3.85164654,3.781652863,3.916400942,4.039100821,3.512601781,3.674664865,3.82916627,3.766989758,3.899845842,4.02999969
2022/5/16,0,0,NA,NA,3.79722924,3.929764204,4.050812603,3.535047405,3.697002585,3.850952453,3.779012621,3.910109862,4.03957048
2022/5/17,3,3,3.992513441,3.992513441,3.813837685,3.943874196,4.063204693,3.559464351,3.720695275,3.874291506,3.790105787,3.921115835,4.04876785
2022/5/18,0,0,NA,NA,3.830982697,3.958854133,4.076848055,3.585943032,3.7456014,3.898659524,3.802091867,3.932320462,4.058768246
2022/5/19,3,0,NA,2.698970004,3.84978031,3.974655519,4.091037048,3.614137445,3.772400206,3.924414602,3.815390336,3.944063027,4.069700162
2022/5/20,0,0,NA,NA,3.870061654,3.991496946,4.106385868,3.644303187,3.801210379,3.952023592,3.828566336,3.95600394,4.080565639
2022/5/21,0,0,NA,NA,3.890856922,4.009058925,4.121878875,3.676974624,3.831401447,3.981282789,3.842446454,3.968492548,4.091223866
2022/5/22,3,3,3.911740274,3.911740274,3.911943328,4.02705446,4.138386145,3.710048201,3.862296195,4.011933447,3.856672364,3.980950753,4.103291602
2022/5/23,0,0,NA,NA,3.932469686,4.044842433,4.155240351,3.742235153,3.893228866,4.043582663,3.869064365,3.993118498,4.115142122
2022/5/24,3,3,3.926884131,3.926884131,3.951788144,4.06270432,4.172834987,3.773149895,3.923677125,4.075043258,3.880843874,4.004781318,4.126103043
2022/5/25,0,0,NA,NA,3.96991968,4.080065109,4.190798963,3.801779005,3.952494854,4.105443443,3.891632872,4.015786445,4.138280246
2022/5/26,3,3,4.069519411,4.069519411,3.98582124,4.096195234,4.208484468,3.827027852,3.979321735,4.135409805,3.900174788,4.025452037,4.148548337
2022/5/27,0,0,NA,NA,3.999650357,4.110713828,4.225082774,3.849610404,4.003732397,4.162851168,3.90763096,4.033912427,4.159552198
2022/5/28,0,0,NA,NA,4.010774414,4.123305443,4.240206597,3.867614855,4.024816252,4.187614677,3.913400651,4.040456727,4.167469431
2022/5/29,3,3,4.414576009,4.414576009,4.019074013,4.133280417,4.252785344,3.881443347,4.042065021,4.208427041,3.91658675,4.044781271,4.173547759
