date,count,positive,concentration,substitution,low_7_a,med_7_a,upr_7_a,low_7_s,med_7_s,upr_7_s
2022/1/1,0,0,NA,NA,3.104253604,3.35803793,3.609887887,2.807340459,3.097091488,3.378229567
2022/1/2,0,0,NA,NA,3.118907265,3.352137267,3.583012245,2.830716625,3.093658374,3.349442113
2022/1/3,0,0,NA,NA,3.132456997,3.346254851,3.556393874,2.852915676,3.090256806,3.32141556
2022/1/4,0,0,NA,NA,3.144961453,3.340183593,3.531299661,2.873877233,3.086834692,3.29495431
2022/1/5,0,0,NA,NA,3.15637872,3.334389049,3.507792727,2.893031122,3.08341421,3.270446862
2022/1/6,0,0,NA,NA,3.166786097,3.328656431,3.484807775,2.910544818,3.080103215,3.247222258
2022/1/7,0,0,NA,NA,3.175797954,3.322803634,3.463060622,2.926875311,3.076768706,3.225280109
2022/1/8,2,1,3.125469454,2.912219729,3.183547902,3.316905788,3.443273569,2.940930797,3.073439112,3.205485338
2022/1/9,5,3,3.265424515,3.03884271,3.18910912,3.310822404,3.424495279,2.952830682,3.070167305,3.18785553
2022/1/10,5,3,3.42033408,3.13178845,3.193395454,3.304857857,3.407812958,2.961880369,3.066793552,3.172110581
2022/1/11,5,3,3.501309634,3.180373782,3.195865694,3.298959918,3.392898719,2.968189885,3.06324688,3.158301529
2022/1/12,4,3,3.332236914,3.173920187,3.197500081,3.293063659,3.37996016,2.97173051,3.059178993,3.146665243
2022/1/13,5,2,3.608339178,3.062717674,3.19731197,3.28740085,3.36861024,2.972982593,3.054657367,3.136443681
2022/1/14,4,1,4.129076516,3.056496632,3.196463739,3.28203254,3.359156974,2.972217003,3.049906668,3.127792224
2022/1/15,5,1,3.947629747,2.948701953,3.194988541,3.277066464,3.351302408,2.969861445,3.045015446,3.120187657
2022/1/16,5,2,3.549492824,3.039179132,3.193315135,3.272842539,3.344855779,2.966278289,3.039740202,3.113501208
2022/1/17,5,1,4.006539808,2.960483965,3.19145596,3.269205745,3.339848997,2.961970731,3.034418095,3.107277325
2022/1/18,5,1,3.849925998,2.929161203,3.189878357,3.266241297,3.335898695,2.956971572,3.02904474,3.101517281
2022/1/19,5,2,3.636028582,3.073793435,3.188143391,3.26370409,3.333003636,2.951350581,3.023418495,3.095847292
2022/1/20,5,2,3.516935757,3.026156305,3.186501628,3.261399176,3.330311187,2.945645367,3.017522694,3.089749104
2022/1/21,5,2,3.5473089,3.038305563,3.184302515,3.259228352,3.327844886,2.939617379,3.011382073,3.083809467
2022/1/22,5,4,3.363188491,3.230344794,3.181846091,3.256805566,3.32527185,2.932684832,3.004714639,3.077087635
2022/1/23,5,2,3.644984591,3.077375839,3.178794988,3.253887155,3.32272444,2.925572005,2.997592944,3.069715127
2022/1/24,5,2,3.235985458,2.913776186,3.174922497,3.250520592,3.3197972,2.917862298,2.990026966,3.061979668
2022/1/25,5,2,3.431490903,2.991978364,3.170419136,3.246660689,3.31617682,2.910159249,2.982241233,3.053873379
2022/1/26,5,4,3.505308336,3.34404067,3.165314482,3.242139576,3.312268144,2.902346346,2.974472275,3.045779731
2022/1/27,5,1,3.614083035,2.881992611,3.159212379,3.237092506,3.307800228,2.894305014,2.966687161,3.037925927
2022/1/28,5,2,3.304974048,2.941371622,3.152936397,3.231699282,3.303174797,2.886834474,2.959296329,3.030686305
2022/1/29,5,1,3.134440112,2.786064026,3.146292688,3.226224483,3.29842176,2.880169332,2.95285463,3.024154401
2022/1/30,5,1,2.757444238,2.710664851,3.13977269,3.220876682,3.293901256,2.875022202,2.947712569,3.01885708
2022/1/31,4,1,3.047555065,2.78611627,3.133533376,3.215830573,3.289743393,2.871209472,2.944005556,3.01498336
2022/2/1,5,1,3.260468668,2.811269737,3.127816932,3.211231132,3.28582106,2.869317003,2.941725084,3.012616444
2022/2/2,5,1,2.975272355,2.754230474,3.12237166,3.207017017,3.282491435,2.869087036,2.94086876,3.011583926
2022/2/3,5,1,3.024725504,2.764121104,3.117718763,3.203276506,3.2795058,2.869873713,2.941251273,3.011739451
2022/2/4,5,1,5.512420958,3.261660195,3.113226839,3.199982349,3.277028336,2.871558251,2.942403642,3.013102949
2022/2/5,5,2,3.171126526,2.887832613,3.109266943,3.197052441,3.274954423,2.87321972,2.943888001,3.014843162
2022/2/6,5,3,3.216715195,3.009617119,3.105697681,3.194276944,3.27271287,2.875053659,2.945465515,3.016612988
2022/2/7,5,0,NA,2.698970004,3.101939154,3.191617386,3.270970233,2.876584863,2.946839774,3.018293339
2022/2/8,5,3,3.54942843,3.20924506,3.098311143,3.189023183,3.268832261,2.877556055,2.94784211,3.019580632
2022/2/9,5,2,3.952126072,3.200232431,3.094690907,3.186387008,3.266504071,2.877602988,2.947961387,3.019851625
2022/2/10,5,2,3.780392214,3.131538888,3.091188043,3.183632699,3.264279007,2.876481204,2.946968436,3.019032622
2022/2/11,5,2,3.624866986,3.069328797,3.087598921,3.180715776,3.261731512,2.874301236,2.944921408,3.016757761
2022/2/12,5,2,3.441521984,2.995990796,3.084076745,3.177794524,3.25917022,2.871633675,2.941830369,3.013285966
2022/2/13,5,2,3.264886115,2.925336449,3.080712947,3.174965558,3.256532381,2.867882409,2.938063367,3.009225877
2022/2/14,5,1,4.032808421,2.965737688,3.077735871,3.172324909,3.254032357,2.863567508,2.933731901,3.004827897
2022/2/15,5,1,3.549245362,2.869025076,3.074907454,3.170074348,3.252049976,2.858788779,2.92923926,2.999873849
2022/2/16,4,2,3.325063355,3.01201668,3.072975474,3.168320695,3.250406527,2.854565779,2.924963521,2.995363431
2022/2/17,5,0,NA,2.698970004,3.071765186,3.167109585,3.249272764,2.85053818,2.920901737,2.991167997
2022/2/18,5,1,3.322224138,2.823620831,3.071533161,3.166757024,3.249025725,2.847306925,2.917594246,2.987810896
2022/2/19,5,0,NA,2.698970004,3.071827505,3.167266092,3.249746103,2.844561915,2.915044866,2.985175849
2022/2/20,5,1,3.798358248,2.918847653,3.073288995,3.16872066,3.251186733,2.842681692,2.913363986,2.983444334
2022/2/21,5,0,NA,2.698970004,3.075865993,3.171091251,3.253424878,2.841735446,2.91243575,2.982771678
2022/2/22,5,1,3.548736685,2.868923341,3.079015304,3.174123924,3.256330732,2.841500008,2.912138071,2.982408953
2022/2/23,5,3,3.628800855,3.256868515,3.08283786,3.177681769,3.259551027,2.84122489,2.912175567,2.982309277
2022/2/24,4,2,3.394977661,3.046973832,3.087059182,3.181548014,3.263047975,2.841407059,2.912202777,2.982311754
2022/2/25,5,2,3.190789097,2.895697641,3.091652058,3.185572968,3.266857988,2.841446536,2.912164757,2.982503021
2022/2/26,5,0,NA,2.698970004,3.096342754,3.189594299,3.270479194,2.84159124,2.912179551,2.982923772
2022/2/27,5,3,3.180640209,2.987972127,3.101392362,3.193598465,3.274112158,2.841665779,2.912311128,2.982987423
2022/2/28,4,2,3.52977434,3.114372172,3.105904595,3.197563788,3.277616725,2.841480419,2.912311158,2.982975811
2022/3/1,5,3,3.344082257,3.086037356,3.110743819,3.201371669,3.280980511,2.841380134,2.912173062,2.982848528
2022/3/2,5,2,3.236636957,2.914036786,3.115604476,3.205050913,3.283944448,2.841417614,2.912035539,2.98271432
2022/3/3,5,1,2.955726108,2.750321225,3.120413798,3.20869107,3.286759972,2.841474389,2.91217578,2.982834777
2022/3/4,5,2,3.349935192,2.959356079,3.125206608,3.212516963,3.289670579,2.842068098,2.912865945,2.983252367
2022/3/5,5,2,3.149262316,2.879086929,3.130591497,3.216447864,3.292679109,2.843294508,2.914152263,2.984490792
2022/3/6,5,0,NA,2.698970004,3.136190602,3.220689996,3.296171901,2.845238797,2.91621905,2.986474002
2022/3/7,5,2,2.992426379,2.816352554,3.142578112,3.225405678,3.299805198,2.848323605,2.919157645,2.989477853
2022/3/8,5,2,3.635047318,3.07340093,3.148796556,3.230369024,3.303767696,2.851965292,2.922879743,2.99318456
2022/3/9,5,3,3.481770423,3.168650256,3.155731753,3.235769667,3.308035686,2.856459564,2.927330921,2.997535768
2022/3/10,5,1,3.247749699,2.808725943,3.16287133,3.24170632,3.312917706,2.861327046,2.932522073,3.002863095
2022/3/11,5,4,2.994205223,2.935158179,3.170535435,3.248018923,3.318200778,2.8671991,2.938575703,3.00908789
2022/3/12,5,2,3.077425339,2.850352138,3.178464971,3.254759715,3.323993127,2.874267929,2.945636983,3.016237123
2022/3/13,5,2,3.250974256,2.919771705,3.186937434,3.262171416,3.33039338,2.882354614,2.953756731,3.024175424
2022/3/14,5,1,3.072150521,2.773606108,3.196059703,3.269828057,3.337169294,2.891529975,2.962928347,3.033332816
2022/3/15,5,3,3.346341037,3.087392624,3.205678852,3.277985301,3.344312246,2.9014958,2.973126354,3.043717971
2022/3/16,5,4,3.280310826,3.164042662,3.215191188,3.286448142,3.351902954,2.912555096,2.984291618,3.054580901
2022/3/17,5,2,3.360864419,2.96372777,3.225106923,3.294997628,3.359698853,2.924356483,2.996269587,3.066803443
2022/3/18,5,3,3.314936563,3.068549939,3.235110826,3.303902551,3.367819981,2.93745266,3.009249614,3.079808154
2022/3/19,5,3,3.302974402,3.061372643,3.245513649,3.313071015,3.37619155,2.951260802,3.023108028,3.09365792
2022/3/20,5,1,3.148292496,2.788834503,3.256214939,3.322588286,3.384822458,2.965991156,3.038062221,3.108210945
2022/3/21,5,3,3.270943186,3.042153913,3.267407254,3.332529979,3.393741078,2.98233372,3.054251477,3.124303535
2022/3/22,5,2,3.295866342,2.93772854,3.27898986,3.342845134,3.40304916,2.999835941,3.07141036,3.141535709
2022/3/23,5,4,3.32609323,3.200668585,3.291268816,3.353577653,3.412936522,3.018275433,3.08971082,3.159684225
2022/3/24,5,3,3.158545422,2.974715255,3.303841028,3.364543307,3.422851428,3.037656646,3.108921988,3.178903963
2022/3/25,5,2,3.494246582,3.017080636,3.316407592,3.375729757,3.433294477,3.057815068,3.128714685,3.198888353
2022/3/26,5,4,3.180855162,3.084478131,3.329101441,3.38721191,3.443971322,3.078648879,3.149119959,3.21955833
2022/3/27,5,4,3.243615433,3.134686347,3.341685726,3.398686672,3.454879098,3.099294864,3.169808078,3.240441874
2022/3/28,5,3,3.409810183,3.125474112,3.354022355,3.410108337,3.46577492,3.120013769,3.190405345,3.261442372
2022/3/29,5,5,3.615164738,3.615164738,3.365814496,3.421218711,3.476269795,3.140124303,3.210428348,3.281660782
2022/3/30,5,4,3.355562449,3.22424396,3.376970904,3.431605619,3.486431911,3.159366751,3.229625556,3.301240997
2022/3/31,4,4,3.569508768,3.569508768,3.387050271,3.441253656,3.495884864,3.177245506,3.247754419,3.319398645
2022/4/1,5,5,3.435938543,3.435938543,3.396433366,3.450346222,3.504603385,3.19449909,3.264804516,3.336320938
2022/4/2,5,4,3.338697947,3.210752358,3.40497761,3.458677414,3.512862893,3.210453565,3.280848246,3.352200307
2022/4/3,4,3,3.224136833,3.092845125,3.412969497,3.466599889,3.520823534,3.22577325,3.296200245,3.367425418
2022/4/4,5,5,3.345507526,3.345507526,3.420495173,3.474236923,3.528377237,3.240608126,3.311130319,3.382293395
2022/4/5,5,4,3.379219312,3.24316945,3.4280117,3.481754992,3.535922845,3.255151438,3.325567662,3.396609427
2022/4/6,4,3,3.635564552,3.401415915,3.435374284,3.489189929,3.543389639,3.269314771,3.339759492,3.410809504
2022/4/7,5,4,3.357512162,3.22580373,3.442909327,3.496727931,3.55101643,3.283250192,3.353627611,3.424677094
2022/4/8,5,5,3.501074507,3.501074507,3.450750209,3.504354378,3.558608675,3.296906667,3.367208474,3.438166556
2022/4/9,5,5,3.256441431,3.256441431,3.458482379,3.512039722,3.566128185,3.310369628,3.380567557,3.451357644
2022/4/10,5,3,3.622676776,3.253194068,3.466444127,3.519974751,3.573820754,3.323771313,3.393789848,3.464513983
2022/4/11,5,4,3.631806294,3.445239036,3.474514701,3.527903477,3.581579264,3.336809937,3.406814786,3.47773437
2022/4/12,5,5,3.506442559,3.506442559,3.482466031,3.535707517,3.589286089,3.349416385,3.419418894,3.490293608
2022/4/13,5,4,3.542947318,3.374151855,3.490343598,3.543300218,3.596912887,3.361594126,3.431538618,3.502369008
2022/4/14,5,5,3.654138829,3.654138829,3.497819942,3.550696731,3.604241315,3.373098491,3.443116154,3.513809967
2022/4/15,5,5,3.55906116,3.55906116,3.504934844,3.557839863,3.611181942,3.383891611,3.454072542,3.524752185
2022/4/16,5,4,3.370422016,3.236131613,3.512021226,3.564740518,3.618026126,3.394387674,3.464469928,3.535477453
2022/4/17,5,4,3.4870228,3.329412241,3.518825345,3.571511847,3.624830405,3.404497295,3.474553357,3.545750765
2022/4/18,5,5,3.682368277,3.682368277,3.525498932,3.578149144,3.631405952,3.414011573,3.484285077,3.555455765
2022/4/19,5,5,3.496776418,3.496776418,3.531787856,3.584504527,3.637763674,3.42319009,3.493297379,3.564630581
2022/4/20,5,4,3.65916425,3.467125401,3.537787973,3.590545233,3.644035996,3.431691438,3.501854009,3.573261856
2022/4/21,5,5,3.460469456,3.460469456,3.543507393,3.596240145,3.649858922,3.439870923,3.509816648,3.581013164
2022/4/22,5,5,3.618412988,3.618412988,3.548913153,3.60162692,3.65530844,3.447265645,3.517376415,3.588282482
2022/4/23,5,5,3.624072567,3.624072567,3.553951422,3.606674314,3.660537221,3.454155021,3.524234144,3.595146427
2022/4/24,5,4,3.581640038,3.405106031,3.558501611,3.611365641,3.665418806,3.460338307,3.530593285,3.601488392
2022/4/25,5,5,3.409520183,3.409520183,3.562713999,3.615645184,3.669851995,3.46612915,3.53650641,3.60738755
2022/4/26,5,4,3.588515007,3.410606007,3.566683364,3.619625982,3.673920986,3.471346662,3.541954683,3.612685576
2022/4/27,5,5,3.63182447,3.63182447,3.569944206,3.6230735,3.677447013,3.476121882,3.546640608,3.617494329
2022/4/28,5,5,3.787532808,3.787532808,3.572731148,3.625904684,3.680387059,3.479935823,3.550544218,3.621330994
2022/4/29,5,5,3.722268827,3.722268827,3.574960741,3.627904383,3.682575905,3.482893744,3.553496519,3.624318521
2022/4/30,5,4,3.698489933,3.498585947,3.576136393,3.629210681,3.683911012,3.484899433,3.555605744,3.626259083
2022/5/1,5,5,3.664296671,3.664296671,3.576765861,3.629846985,3.684489311,3.486309969,3.55698776,3.627207
2022/5/2,5,5,3.462297993,3.462297993,3.576899793,3.629824037,3.684644353,3.487038377,3.557686506,3.628006731
2022/5/3,5,4,3.649290313,3.459226252,3.576394733,3.629483948,3.684252538,3.487330077,3.558060423,3.628178148
2022/5/4,5,4,3.726065328,3.520646263,3.575692017,3.628879989,3.683385707,3.487595736,3.558153635,3.628001757
2022/5/5,4,4,3.731877757,3.731877757,3.574612082,3.627924423,3.682462738,3.487181109,3.558047712,3.627800146
2022/5/6,5,5,3.686420153,3.686420153,3.573276444,3.626838602,3.681420648,3.48678159,3.557726385,3.627524121
2022/5/7,5,5,3.619375033,3.619375033,3.571988272,3.625744009,3.680548379,3.486140835,3.557433985,3.627475745
2022/5/8,5,5,3.527285272,3.527285272,3.570616178,3.624842919,3.679734643,3.485580171,3.55741291,3.627656543
2022/5/9,5,5,3.47868001,3.47868001,3.569841573,3.624465003,3.679633922,3.485757778,3.558037573,3.628283084
2022/5/10,5,4,3.476812521,3.321244017,3.570050513,3.624921108,3.679944652,3.487183375,3.559590121,3.630083296
2022/5/11,5,4,3.513703148,3.350756519,3.571100382,3.626266448,3.68150111,3.489566169,3.562298039,3.633102233
2022/5/12,5,5,3.428626716,3.428626716,3.573317837,3.628655645,3.683860225,3.493379911,3.566126702,3.636832421
2022/5/13,5,5,3.550575964,3.550575964,3.5765754,3.631988091,3.687174333,3.498363262,3.571172294,3.641789106
2022/5/14,5,5,3.629679298,3.629679298,3.580826464,3.636173199,3.691445611,3.504397239,3.577010449,3.647574494
2022/5/15,5,5,3.812747582,3.812747582,3.585720804,3.640917718,3.696255611,3.511015975,3.583301693,3.653894452
2022/5/16,5,5,3.466944713,3.466944713,3.591185542,3.646031727,3.701247905,3.517996969,3.589978976,3.660521998
2022/5/17,5,5,3.504331506,3.504331506,3.596915629,3.651686426,3.706808495,3.525469906,3.596907263,3.667386793
2022/5/18,5,5,3.70452101,3.70452101,3.603090472,3.657707984,3.712644882,3.532763755,3.604064546,3.6746153
2022/5/19,5,5,3.766894406,3.766894406,3.609512313,3.663813044,3.718848724,3.5400436,3.611256513,3.681588767
2022/5/20,6,6,3.745194439,3.745194439,3.615833581,3.670009296,3.724998614,3.547238399,3.618254265,3.688832931
2022/5/21,6,6,3.509983661,3.509983661,3.622366263,3.676356467,3.731422346,3.554301793,3.625065295,3.695892068
2022/5/22,6,5,3.349191574,3.240821312,3.628813058,3.682818514,3.737979017,3.561312277,3.631938987,3.702958996
2022/5/23,6,6,3.589561882,3.589561882,3.635352183,3.689413153,3.74469395,3.568141314,3.638836535,3.709812251
2022/5/24,6,6,3.664513366,3.664513366,3.641683991,3.695868147,3.75146238,3.574688787,3.645376605,3.716872061
2022/5/25,6,6,3.752424876,3.752424876,3.647529695,3.701882606,3.757869829,3.580593488,3.651234391,3.723234258
2022/5/26,6,6,3.82378848,3.82378848,3.652524826,3.707048756,3.763444837,3.585297541,3.655898019,3.728425402
2022/5/27,6,5,3.948427612,3.740184678,3.656644094,3.711210224,3.767930365,3.588684071,3.659419598,3.732278423
2022/5/28,6,6,3.822560419,3.822560419,3.659513465,3.714290419,3.771234297,3.590827766,3.661614038,3.734647286
2022/5/29,6,6,3.799709209,3.799709209,3.66100054,3.716068161,3.773280134,3.591498279,3.66239569,3.735419551
2022/5/30,5,4,3.792146868,3.573511495,3.661468817,3.71658698,3.773897549,3.591132215,3.661772931,3.734669089
2022/5/31,6,6,3.535496338,3.535496338,3.661030499,3.716112189,3.773360487,3.58922704,3.660026344,3.732666764
2022/6/1,6,6,3.674655208,3.674655208,3.659621437,3.714671741,3.771846115,3.586369095,3.657055439,3.729627566
2022/6/2,6,6,3.765440616,3.765440616,3.657233836,3.712377939,3.769379462,3.582325556,3.653009483,3.725296647
2022/6/3,6,5,3.820900232,3.63391186,3.654157941,3.709155145,3.766163574,3.577300496,3.64781376,3.72003959
2022/6/4,6,5,3.840686374,3.650400312,3.650112131,3.705107849,3.761934328,3.571311843,3.64165467,3.713449432
2022/6/5,6,6,3.836857832,3.836857832,3.645170559,3.700310293,3.756938936,3.564234804,3.634618185,3.706014094
2022/6/6,6,6,3.484317636,3.484317636,3.639765617,3.694878959,3.751480727,3.556332405,3.62683675,3.697837108
2022/6/7,6,6,3.587828434,3.587828434,3.633811704,3.689142445,3.745619215,3.547766318,3.618460031,3.689154678
2022/6/8,6,6,3.686246999,3.686246999,3.627621897,3.683112112,3.739796876,3.53897821,3.609669734,3.680180767
2022/6/9,6,6,3.744271149,3.744271149,3.621374178,3.676974195,3.733790848,3.529567819,3.600617926,3.670974497
