date,count,positive,concentration,substitution,low_7_a,med_7_a,upr_7_a,low_7_s,med_7_s,upr_7_s
2022/5/16,2,2,4.108282262,4.108282262,3.923951859,4.162866983,4.413292606,3.546104551,3.876695719,4.206788165
2022/5/17,2,2,4.171620833,4.171620833,3.930586038,4.152207917,4.385141601,3.54816257,3.855189894,4.162889647
2022/5/18,2,0,NA,2.698970004,3.935310719,4.141556044,4.35957261,3.547190094,3.833892553,4.121383189
2022/5/19,0,0,NA,NA,3.937554381,4.131152227,4.336051137,3.543765318,3.812737625,4.082546379
2022/5/20,0,0,NA,NA,3.937728263,4.120852391,4.314689133,3.536635702,3.791684665,4.046822777
2022/5/21,0,0,NA,NA,3.935371902,4.110611001,4.296281458,3.527498088,3.770364808,4.013913354
2022/5/22,0,0,NA,NA,3.931234787,4.100231771,4.278184073,3.51528892,3.74867975,3.982740629
2022/5/23,2,2,3.661765535,3.661765535,3.924898814,4.089459923,4.261529805,3.500881703,3.726437597,3.952768791
2022/5/24,2,2,3.744291752,3.744291752,3.915974058,4.078206713,4.246127535,3.484653011,3.703674317,3.924709298
2022/5/25,2,2,4.361289727,4.361289727,3.90486313,4.066325974,4.231644967,3.465487371,3.680000281,3.897360246
2022/5/26,0,0,NA,NA,3.892030248,4.053543932,4.217975366,3.444174753,3.654901723,3.869904716
2022/5/27,0,0,NA,NA,3.877479157,4.039860322,4.204933491,3.420835332,3.628679062,3.842789349
2022/5/28,0,0,NA,NA,3.861689395,4.025362093,4.19067966,3.395714188,3.601495283,3.814884253
2022/5/29,0,0,NA,NA,3.844102827,4.009938839,4.176382488,3.369300386,3.572995933,3.785857788
2022/5/30,0,0,NA,NA,3.824632784,3.993563241,4.159714889,3.341550127,3.543497584,3.755522262
2022/5/31,2,2,3.804987624,3.804987624,3.804264722,3.975975515,4.143664181,3.312311335,3.512789048,3.72303005
2022/6/1,2,2,4.269970052,4.269970052,3.781332209,3.957424646,4.126999631,3.28230746,3.481044932,3.688971229
2022/6/2,2,1,4.184662034,3.441816019,3.757072683,3.937967466,4.109390084,3.250685838,3.447924582,3.653929101
2022/6/3,0,0,NA,NA,3.731486132,3.917381901,4.091277625,3.21790998,3.413969453,3.618008308
2022/6/4,0,0,NA,NA,3.704415135,3.895721579,4.072081088,3.183764447,3.379414238,3.581548864
2022/6/5,0,0,NA,NA,3.67667234,3.873505557,4.052639799,3.149141392,3.344718677,3.544684756
2022/6/6,2,1,4.064973324,3.381971664,3.64743679,3.850640031,4.033109618,3.1144988,3.309743491,3.508053036
2022/6/7,2,1,3.593621002,3.146295503,3.617361729,3.827244625,4.013283053,3.079358559,3.274985194,3.471318036
2022/6/8,2,0,NA,2.698970004,3.5866006,3.803475493,3.99324102,3.044843611,3.240546753,3.436349784
2022/6/9,0,0,NA,NA,3.555545698,3.779479379,3.973447804,3.010872838,3.20689045,3.40247325
2022/6/10,0,0,NA,NA,3.52334381,3.755396682,3.954103668,2.977565478,3.174185033,3.369035959
2022/6/11,0,0,NA,NA,3.490975923,3.73133939,3.935165443,2.9443029,3.142551106,3.337183182
2022/6/12,0,0,NA,NA,3.458152317,3.70721366,3.915754279,2.912573837,3.11157937,3.30623377
2022/6/13,2,0,NA,2.698970004,3.425550604,3.683087226,3.89659966,2.881764392,3.081693327,3.276423381
2022/6/14,2,1,4.146940047,3.422955026,3.392242972,3.659044823,3.877595814,2.852151259,3.053113613,3.247746074
2022/6/15,2,0,NA,2.698970004,3.359669048,3.634824746,3.859540323,2.823910114,3.025349369,3.219908036
2022/6/16,0,0,NA,NA,3.326306275,3.610882722,3.841123014,2.796507568,2.998795822,3.193770278
2022/6/17,0,0,NA,NA,3.293303197,3.586903691,3.823080961,2.770768502,2.973320914,3.168429016
2022/6/18,0,0,NA,NA,3.259901376,3.563272389,3.805489184,2.74649996,2.949062977,3.144220897
2022/6/19,0,0,NA,NA,3.225423285,3.539538401,3.787789108,2.723492829,2.925965126,3.120906046
2022/6/20,2,0,NA,2.698970004,3.191513104,3.515994149,3.770077907,2.701481568,2.904205446,3.098883262
2022/6/21,2,1,3.726625468,3.212797736,3.157907928,3.492993275,3.752843375,2.68098173,2.883510912,3.078461554
2022/6/22,2,0,NA,2.698970004,3.124124637,3.469959116,3.736221102,2.661617071,2.863983746,3.059088412
2022/6/23,0,0,NA,NA,3.090179773,3.446892272,3.720368833,2.642661031,2.845634787,3.040734868
2022/6/24,0,0,NA,NA,3.05642127,3.424111246,3.704604037,2.625303123,2.82839714,3.023177716
2022/6/25,0,0,NA,NA,3.023542934,3.401813844,3.689105509,2.609236035,2.812282955,3.007311981
2022/6/26,0,0,NA,NA,2.990991847,3.379800548,3.674171181,2.594528583,2.79733132,2.992116402
2022/6/27,2,0,NA,2.698970004,2.958171893,3.358255547,3.659232068,2.581208316,2.783453948,2.978609255
2022/6/28,2,0,NA,2.698970004,2.926374052,3.337360282,3.644750071,2.569305681,2.770801005,2.965651523
2022/6/29,2,0,NA,2.698970004,2.895118875,3.317004907,3.630894684,2.558175153,2.759115612,2.954164487
2022/6/30,0,0,NA,NA,2.864564816,3.297111856,3.617466554,2.548242661,2.748775171,2.943779311
2022/7/1,0,0,NA,NA,2.835901509,3.278152181,3.604892637,2.539273557,2.739282728,2.934531544
2022/7/2,0,0,NA,NA,2.806808569,3.259305972,3.592287878,2.531813342,2.730940006,2.92604468
2022/7/3,0,0,NA,NA,2.778280067,3.241178919,3.579993853,2.524912452,2.723313193,2.918162322
2022/7/4,0,0,NA,NA,2.751196273,3.224030983,3.56795753,2.519459058,2.716709597,2.911138246
2022/7/5,2,0,NA,2.698970004,2.724777522,3.20744117,3.556875353,2.514687759,2.710747105,2.904377341
2022/7/6,2,0,NA,2.698970004,2.699651079,3.191538176,3.546573518,2.510369188,2.705425993,2.89888209
2022/7/7,2,0,NA,2.698970004,2.675817199,3.176525149,3.536887276,2.506825807,2.700941206,2.893858934
2022/7/8,0,0,NA,NA,2.651618456,3.162403372,3.527836996,2.503746732,2.697070706,2.889625494
2022/7/9,0,0,NA,NA,2.63017895,3.148455275,3.519579568,2.501078243,2.693912322,2.88613649
2022/7/10,0,0,NA,NA,2.609251193,3.135418828,3.51134968,2.498613371,2.691253657,2.883171535
2022/7/11,2,0,NA,2.698970004,2.589418171,3.12318964,3.504135735,2.497011982,2.689094304,2.880999143
2022/7/12,2,0,NA,2.698970004,2.569977114,3.111473982,3.497460636,2.495799396,2.687394749,2.879432226
2022/7/13,2,0,NA,2.698970004,2.552449516,3.100796158,3.491022682,2.494888303,2.686226902,2.878237416
2022/7/14,0,0,NA,NA,2.535715044,3.090664361,3.485055655,2.493813363,2.685455846,2.877119684
2022/7/15,0,0,NA,NA,2.521379128,3.081575483,3.479919631,2.492984735,2.684871819,2.876970462
2022/7/16,0,0,NA,NA,2.507713547,3.073170531,3.475124315,2.492735533,2.68480702,2.877180069
2022/7/17,0,0,NA,NA,2.496038618,3.06528716,3.471237864,2.492712738,2.684813693,2.876992589
2022/7/18,2,0,NA,2.698970004,2.485003748,3.058480618,3.467178294,2.492961293,2.685141814,2.876795397
2022/7/19,2,0,NA,2.698970004,2.474374158,3.052328724,3.463706418,2.492999123,2.685518412,2.877779322
2022/7/20,2,0,NA,2.698970004,2.465294953,3.047160447,3.461524776,2.494159522,2.686008919,2.879082781
2022/7/21,0,0,NA,NA,2.457729518,3.042435846,3.459383828,2.494885252,2.686897526,2.880521968
2022/7/22,0,0,NA,NA,2.451959775,3.038286116,3.456783474,2.495343469,2.687873496,2.882210688
2022/7/23,0,0,NA,NA,2.445786136,3.035105559,3.455524349,2.496290557,2.689171724,2.883422402
2022/7/24,0,0,NA,NA,2.441885199,3.032591171,3.454712032,2.497666395,2.690452332,2.884696478
2022/7/25,2,0,NA,2.698970004,2.438810525,3.030788949,3.45404343,2.498933809,2.691805673,2.886098751
2022/7/26,1,0,NA,2.698970004,2.43782918,3.029959462,3.454029718,2.500644815,2.693289741,2.887659598
2022/7/27,2,0,NA,2.698970004,2.437149032,3.029393753,3.454357727,2.501941488,2.69497315,2.889023466
2022/7/28,0,0,NA,NA,2.436939347,3.028707907,3.454747881,2.503683145,2.69669083,2.891223277
