date,count,positive,concentration,substitution,low_7_a,med_7_a,upr_7_a,low_7_s,med_7_s,upr_7_s
2022/1/1,0,0,NA,NA,4.384516711,4.547661594,4.713977127,4.348820785,4.544817092,4.745086813
2022/1/2,0,0,NA,NA,4.369626554,4.519257874,4.671246261,4.336068641,4.516014822,4.699546546
2022/1/3,2,2,4.49073564,4.49073564,4.354294543,4.490573313,4.629618172,4.322317223,4.487090755,4.654929927
2022/1/4,3,3,4.387742201,4.387742201,4.337400816,4.462065292,4.589216762,4.307174357,4.458256602,4.611941975
2022/1/5,0,0,NA,NA,4.319251853,4.43352201,4.549942255,4.29063058,4.429338379,4.570002872
2022/1/6,0,0,NA,NA,4.299694703,4.405083422,4.511913406,4.27282718,4.40041816,4.529606055
2022/1/7,0,0,NA,NA,4.279117351,4.376517217,4.474839556,4.25364919,4.371400259,4.490630229
2022/1/8,2,2,4.187020944,4.187020944,4.257240433,4.347800356,4.438850785,4.232903173,4.342285803,4.453041737
2022/1/9,5,5,4.462166944,4.462166944,4.234218437,4.318811161,4.403800056,4.210692146,4.31300824,4.416281842
2022/1/10,5,5,4.42620712,4.42620712,4.210127145,4.289556803,4.36945738,4.187135531,4.28339081,4.380598638
2022/1/11,5,5,4.354152281,4.354152281,4.184938943,4.259988913,4.3358559,4.162132007,4.2533611,4.345525884
2022/1/12,4,4,4.270731317,4.270731317,4.158883304,4.230156607,4.302487722,4.136037624,4.222980513,4.311268393
2022/1/13,5,5,4.256797492,4.256797492,4.131700846,4.20001901,4.269517014,4.108749142,4.192414876,4.277403623
2022/1/14,4,4,4.188348919,4.188348919,4.103627215,4.169740112,4.237019929,4.080443896,4.161513834,4.243882797
2022/1/15,5,5,4.072566379,4.072566379,4.075039665,4.139320139,4.204860998,4.051503372,4.130540051,4.21090183
2022/1/16,5,5,4.264217863,4.264217863,4.045749898,4.108825513,4.172874051,4.02176062,4.099533971,4.178267999
2022/1/17,5,5,4.245557148,4.245557148,4.016210889,4.078416312,4.141326465,3.991739819,4.068445475,4.145710235
2022/1/18,5,5,4.131214486,4.131214486,3.986476078,4.048210956,4.110266211,3.961220162,4.037461862,4.113588717
2022/1/19,5,5,4.131656352,4.131656352,3.95692042,4.018347302,4.07966279,3.930485654,4.006709481,4.082052945
2022/1/20,5,5,3.988011076,3.988011076,3.927555933,3.989113281,4.050022517,3.900319923,3.976427747,4.051513582
2022/1/21,5,5,3.832446238,3.832446238,3.898765056,3.960759894,4.021469701,3.870345784,3.946878525,4.021695352
2022/1/22,5,5,3.795077823,3.795077823,3.871139291,3.933607105,3.994343206,3.84118971,3.918310174,3.993385057
2022/1/23,5,5,3.686178721,3.686178721,3.844928498,3.907883392,3.968673707,3.813465973,3.891071376,3.966229827
2022/1/24,5,5,3.44755138,3.44755138,3.820555795,3.883770487,3.944622789,3.787068161,3.865170569,3.94051554
2022/1/25,5,5,3.832357286,3.832357286,3.798145017,3.861358543,3.922237666,3.762223438,3.840855782,3.916309615
2022/1/26,5,5,3.879648676,3.879648676,3.777285388,3.840583256,3.901295255,3.73932036,3.817885844,3.893497253
2022/1/27,5,5,3.752622776,3.752622776,3.758561582,3.821294069,3.88176835,3.717704319,3.796249587,3.871989029
2022/1/28,5,5,3.640435301,3.640435301,3.741359138,3.803604456,3.863595705,3.697690646,3.776045826,3.851643054
2022/1/29,5,5,4.11010144,4.11010144,3.7257048,3.787217245,3.846571209,3.678854307,3.757003541,3.832627707
2022/1/30,5,5,3.679278495,3.679278495,3.711400813,3.772159924,3.831021023,3.661086734,3.739147669,3.814580772
2022/1/31,4,4,3.653065624,3.653065624,3.698350953,3.758377832,3.816864877,3.644536501,3.722558533,3.797801606
2022/2/1,5,5,3.608295602,3.608295602,3.686507801,3.745771602,3.803922258,3.629608814,3.707070209,3.782118204
2022/2/2,5,5,3.624727701,3.624727701,3.676016971,3.734542685,3.792097865,3.615592853,3.69276921,3.767671796
2022/2/3,5,5,3.515795693,3.515795693,3.666545228,3.724420676,3.781576349,3.602814085,3.679605878,3.754577393
2022/2/4,5,5,3.829163542,3.829163542,3.658105045,3.715264665,3.772018464,3.591141559,3.667547966,3.742187631
2022/2/5,5,4,3.781262709,3.564804168,3.650203215,3.706939602,3.763506741,3.580267417,3.656371487,3.730626309
2022/2/6,5,5,3.79370469,3.79370469,3.643113398,3.699368616,3.755712795,3.570085873,3.646016295,3.720073729
2022/2/7,5,5,3.783586666,3.783586666,3.636614195,3.692282359,3.748393106,3.560304584,3.636284903,3.710072033
2022/2/8,5,5,3.650822621,3.650822621,3.630423106,3.685832136,3.741876267,3.551500666,3.627255834,3.700928973
2022/2/9,5,5,3.704313026,3.704313026,3.624701997,3.679867414,3.735786801,3.543256141,3.61878645,3.692536299
2022/2/10,5,5,3.671092736,3.671092736,3.619382268,3.674354497,3.730226266,3.535702939,3.611047292,3.684747701
2022/2/11,5,4,3.778740452,3.562786362,3.614561021,3.669408116,3.725171163,3.528879042,3.603884679,3.677624446
2022/2/12,5,4,3.410444478,3.268149583,3.610356863,3.665054309,3.72077928,3.522692346,3.597569897,3.671221001
2022/2/13,5,4,3.394085043,3.255062035,3.606791414,3.661363833,3.716957354,3.517212216,3.592179313,3.665752717
2022/2/14,5,5,3.511371922,3.511371922,3.603808072,3.658253469,3.713872627,3.512671885,3.587360882,3.660606369
2022/2/15,5,5,3.930488568,3.930488568,3.600969094,3.655497152,3.711052253,3.508437601,3.58315244,3.656322061
2022/2/16,4,4,3.929861621,3.929861621,3.598314585,3.652825204,3.708520969,3.504531521,3.579099799,3.652204658
2022/2/17,5,5,3.774488748,3.774488748,3.595501172,3.650128001,3.705821482,3.500719606,3.575247905,3.648238881
