date,count,positive,concentration,substitution,low_7_a,med_7_a,upr_7_a,low_7_s,med_7_s,upr_7_s
2022/5/16,2,1,3.761651312,3.230310658,3.124898224,3.636123658,3.983534569,2.672135836,3.035838596,3.410055391
2022/5/17,2,1,3.995170758,3.347070381,3.118533863,3.616059934,3.949414414,2.677108027,3.016785954,3.361675007
2022/5/18,2,0,NA,2.698970004,3.110564705,3.595449442,3.918686963,2.678981766,2.997708039,3.317689259
2022/5/19,0,0,NA,NA,3.100021374,3.574894243,3.891283705,2.679828226,2.978234708,3.277320301
2022/5/20,0,0,NA,NA,3.087779365,3.554504078,3.866400327,2.678702912,2.959347053,3.240534881
2022/5/21,0,0,NA,NA,3.072713169,3.534306509,3.844185609,2.674621631,2.940415525,3.207094652
2022/5/22,0,0,NA,NA,3.05755069,3.514332337,3.824436669,2.667839502,2.922158469,3.177720265
2022/5/23,2,1,3.712721876,3.20584594,3.040742413,3.494736396,3.805806614,2.659196913,2.904264966,3.150400602
2022/5/24,2,0,NA,2.698970004,3.021569055,3.475898693,3.788392676,2.648554047,2.886861881,3.126234115
2022/5/25,2,0,NA,2.698970004,3.000524716,3.457758433,3.77250886,2.635573324,2.870212348,3.104516867
2022/5/26,0,0,NA,NA,2.978444798,3.44027862,3.757791448,2.622072799,2.854481464,3.085130941
2022/5/27,0,0,NA,NA,2.956567551,3.423314412,3.744641825,2.60863536,2.839708847,3.066940745
2022/5/28,0,0,NA,NA,2.932374767,3.40707169,3.732139324,2.595780254,2.825600095,3.050438021
2022/5/29,0,0,NA,NA,2.908565468,3.392002062,3.720933112,2.583366074,2.812688524,3.035614775
2022/5/30,0,0,NA,NA,2.886542745,3.377471543,3.711086711,2.570795743,2.800640811,3.021698678
2022/5/31,2,0,NA,2.698970004,2.86475751,3.363941383,3.701468074,2.559744771,2.789394386,3.009214809
2022/6/1,2,0,NA,2.698970004,2.843458937,3.351160459,3.692252978,2.550302983,2.779255032,2.99792433
2022/6/2,2,0,NA,2.698970004,2.824472525,3.3395523,3.683750491,2.541278632,2.770086646,2.988215407
2022/6/3,0,0,NA,NA,2.806668592,3.329245126,3.676242728,2.532830839,2.762208692,2.979161664
2022/6/4,0,0,NA,NA,2.790789456,3.319056404,3.669557918,2.526461351,2.755148011,2.971643232
2022/6/5,0,0,NA,NA,2.778078458,3.310494755,3.663154351,2.521223633,2.748993334,2.96558148
2022/6/6,2,0,NA,2.698970004,2.764605525,3.302555342,3.657817929,2.516610965,2.743699647,2.960360435
2022/6/7,2,0,NA,2.698970004,2.753595957,3.295609785,3.652970505,2.513285364,2.739505127,2.955686646
2022/6/8,2,0,NA,2.698970004,2.744578451,3.289882136,3.648674172,2.510779692,2.736315057,2.952045234
2022/6/9,0,0,NA,NA,2.737047304,3.285151249,3.645361106,2.508848356,2.733895564,2.949806809
2022/6/10,0,0,NA,NA,2.732694401,3.280970868,3.642434825,2.507281993,2.73242031,2.947371935
2022/6/11,0,0,NA,NA,2.729521111,3.277966284,3.640204797,2.507288501,2.73152272,2.946315136
2022/6/12,0,0,NA,NA,2.7268123,3.275712078,3.638450487,2.508112199,2.731575644,2.945547181
2022/6/13,2,0,NA,2.698970004,2.72615605,3.274356646,3.637228778,2.509848971,2.732290243,2.945932562
2022/6/14,2,0,NA,2.698970004,2.727625235,3.274112336,3.636778996,2.512277538,2.733899722,2.947489572
2022/6/15,2,0,NA,2.698970004,2.729565725,3.274550625,3.636546693,2.515566409,2.736040093,2.949471452
2022/6/16,0,0,NA,NA,2.733743961,3.275938015,3.636996996,2.519508015,2.738758647,2.952119109
2022/6/17,0,0,NA,NA,2.738679055,3.277882552,3.638231891,2.523168315,2.742010324,2.955673896
2022/6/18,0,0,NA,NA,2.743120257,3.280752411,3.639916547,2.528099556,2.745675299,2.959220683
2022/6/19,0,0,NA,NA,2.750314563,3.28418821,3.641995071,2.533184134,2.749868602,2.964202099
2022/6/20,2,0,NA,2.698970004,2.757443183,3.288070949,3.644911393,2.53897813,2.75455739,2.969447451
