date,count,positive,concentration,substitution,low_7_a,med_7_a,upr_7_a,low_7_s,med_7_s,upr_7_s
2022/4/3,3,0,NA,2.698970004,3.041666221,3.496890344,3.778926584,2.554556083,2.846523883,3.134263652
2022/4/4,0,0,NA,NA,3.054642089,3.500208575,3.776723284,2.570513129,2.851583597,3.128071112
2022/4/5,3,1,3.351891914,2.916610641,3.06633924,3.503487514,3.774668124,2.58606824,2.856504765,3.122914556
2022/4/6,0,0,NA,NA,3.077283874,3.506833125,3.773409552,2.600933896,2.861580521,3.118134788
2022/4/7,3,2,3.763361567,3.408564379,3.086229033,3.510259454,3.771868686,2.615236146,2.866474251,3.113240855
2022/4/8,0,0,NA,NA,3.095575881,3.513629498,3.770691885,2.628357941,2.871432192,3.1094442
2022/4/9,0,0,NA,NA,3.104117079,3.516935475,3.770083394,2.64146675,2.876501226,3.105871626
2022/4/10,3,0,NA,2.698970004,3.112239101,3.520242969,3.769881719,2.653915015,2.881375032,3.10290254
2022/4/11,0,0,NA,NA,3.119697936,3.523637222,3.769735512,2.665734372,2.886469095,3.100996764
2022/4/12,3,0,NA,2.698970004,3.125851769,3.527054358,3.769680299,2.677563524,2.891693953,3.09929851
2022/4/13,0,0,NA,NA,3.133619462,3.530513213,3.770009354,2.688874052,2.896825305,3.09791417
2022/4/14,3,1,3.482372271,2.960104093,3.139862276,3.534036243,3.770467225,2.699401661,2.902102176,3.097718372
2022/4/15,0,0,NA,NA,3.145931109,3.537549558,3.771323082,2.709009876,2.907328651,3.097926479
2022/4/16,0,0,NA,NA,3.15322397,3.541211606,3.772047859,2.718575697,2.912712347,3.09878748
2022/4/17,3,1,3.742245734,3.046728581,3.160005838,3.544808529,3.772912902,2.727543741,2.918044488,3.099975052
2022/4/18,0,0,NA,NA,3.167109859,3.548610327,3.774012581,2.736313956,2.923426137,3.101622788
2022/4/19,3,1,3.113955288,2.837298432,3.173310859,3.552226903,3.775378262,2.74466844,2.928762862,3.103602551
2022/4/20,0,0,NA,NA,3.179379605,3.556126389,3.776761273,2.753178412,2.934288294,3.106046042
2022/4/21,3,0,NA,2.698970004,3.186019622,3.560149357,3.778220874,2.761064802,2.939899284,3.108649967
2022/4/22,0,0,NA,NA,3.193604612,3.564133907,3.77991653,2.76903335,2.945477787,3.111860127
2022/4/23,0,0,NA,NA,3.200830968,3.568175806,3.781657122,2.77659657,2.951252933,3.115165283
2022/4/24,3,0,NA,2.698970004,3.208757298,3.572338352,3.783616499,2.784492765,2.95704839,3.119073711
2022/4/25,0,0,NA,NA,3.217627876,3.576631099,3.785675679,2.791795327,2.96297295,3.123147508
2022/4/26,3,1,4.278285838,3.225408616,3.226861062,3.58098611,3.787793135,2.799151411,2.968912408,3.127730154
2022/4/27,0,0,NA,NA,3.235170347,3.585383382,3.790106417,2.806383796,2.974900613,3.132401237
2022/4/28,3,0,NA,2.698970004,3.243100615,3.589867742,3.792266268,2.813734972,2.980956851,3.137264798
2022/4/29,0,0,NA,NA,3.251202104,3.594504558,3.794548034,2.821133792,2.987087508,3.142477222
2022/4/30,0,0,NA,NA,3.259888036,3.59913239,3.797297437,2.828509919,2.993273674,3.147675791
2022/5/1,3,1,3.78975813,3.062566046,3.268641246,3.603846778,3.800078642,2.835583304,2.999566162,3.153447877
2022/5/2,0,0,NA,NA,3.277196776,3.608490743,3.802794963,2.842807867,3.00580834,3.159180457
2022/5/3,3,1,3.54340542,2.980448476,3.285636957,3.613340359,3.805499424,2.849853359,3.012177309,3.165177126
2022/5/4,0,0,NA,NA,3.293707085,3.618182273,3.808429879,2.856852248,3.018545855,3.171447197
2022/5/5,3,1,3.397766537,2.931902182,3.302378137,3.622976508,3.811252448,2.863799569,3.024930356,3.177604823
2022/5/6,0,0,NA,NA,3.31139553,3.62777875,3.814499893,2.870762376,3.031242484,3.183962312
2022/5/7,0,0,NA,NA,3.319937024,3.632580183,3.81734585,2.87801577,3.037683917,3.190432209
2022/5/8,3,1,3.9324853,3.11014177,3.329733058,3.637414601,3.820513751,2.885190443,3.044068285,3.19698897
2022/5/9,0,0,NA,NA,3.338688159,3.642185474,3.823581684,2.892479202,3.05056421,3.203769305
2022/5/10,3,2,3.555525522,3.270007016,3.347382392,3.64702184,3.826699185,2.899589819,3.057021764,3.210584567
2022/5/11,0,0,NA,NA,3.356072088,3.651859052,3.829896544,2.906536025,3.063489604,3.216994625
2022/5/12,3,0,NA,2.698970004,3.365502641,3.656732779,3.833161063,2.914245073,3.069982234,3.2236204
2022/5/13,0,0,NA,NA,3.374686764,3.661611474,3.836253681,2.921571733,3.076482857,3.230496493
2022/5/14,0,0,NA,NA,3.384112754,3.666493139,3.839676915,2.928595323,3.083117088,3.237537853
2022/5/15,3,1,3.798009141,3.065316383,3.393358167,3.671438042,3.843119425,2.935798151,3.089635017,3.244612606
2022/5/16,0,0,NA,NA,3.402708769,3.676299226,3.846515059,2.942663415,3.09606795,3.25161396
2022/5/17,3,2,4.018069792,3.578369862,3.41204363,3.681208343,3.850075574,2.949674632,3.102533934,3.25849832
2022/5/18,0,0,NA,NA,3.421833129,3.686113779,3.853578203,2.956233528,3.109024648,3.265216895
2022/5/19,3,0,NA,2.698970004,3.43193817,3.691105479,3.857212349,2.962845418,3.115440647,3.272339435
