date,T_low,T_med,T_upper,R_low,R_med,R_upper
2022/1/8,0.833844943,0.984712917,1.150798532,0.826418872,1.003940506,1.220439941
2022/1/9,0.841147079,0.984495921,1.141286727,0.836262151,1.004070571,1.206982985
2022/1/10,0.848760369,0.984342858,1.13139929,0.845986715,1.004008322,1.192817551
2022/1/11,0.85669418,0.984392357,1.121492584,0.855506208,1.003049587,1.176684613
2022/1/12,0.865299231,0.984545765,1.111585753,0.864440124,1.001550131,1.16030681
2022/1/13,0.873892491,0.98520079,1.102724211,0.872272909,0.999256193,1.14449925
2022/1/14,0.883365887,0.986599627,1.095545814,0.879485384,0.996862652,1.128744442
2022/1/15,0.893331253,0.988784069,1.089445702,0.886127499,0.99449564,1.114757788
2022/1/16,0.903424123,0.992196057,1.085894592,0.892342154,0.992561469,1.103068725
2022/1/17,0.913510703,0.996005548,1.083728916,0.89729316,0.991084231,1.09347664
2022/1/18,0.922860725,1.000179208,1.083049762,0.901738598,0.989861474,1.085887225
2022/1/19,0.931457643,1.004336271,1.083428218,0.904864968,0.988736912,1.079661268
2022/1/20,0.938343561,1.007917709,1.083338994,0.906819213,0.98737949,1.074049291
2022/1/21,0.943162559,1.010213154,1.083288622,0.907171832,0.985572376,1.06889764
2022/1/22,0.945667849,1.010980068,1.08231686,0.906311206,0.983269791,1.064200817
2022/1/23,0.946064939,1.010173259,1.07976078,0.904202124,0.980394964,1.059357606
2022/1/24,0.944991781,1.008123208,1.076250541,0.901295882,0.977228257,1.054549441
2022/1/25,0.942694829,1.005152217,1.071790967,0.89833633,0.974623359,1.05118728
2022/1/26,0.93954841,1.001555216,1.066999358,0.896054096,0.972759111,1.048700829
2022/1/27,0.935380093,0.997513733,1.061841645,0.894423432,0.971594353,1.047492013
2022/1/28,0.931466542,0.993962074,1.05752873,0.894701417,0.97225032,1.0479565
2022/1/29,0.92838343,0.991327513,1.05417431,0.897468181,0.974915481,1.050792264
2022/1/30,0.926803495,0.990056372,1.052578046,0.90287972,0.980098534,1.056308786
2022/1/31,0.926840919,0.990105643,1.052506613,0.911383502,0.987554249,1.064980978
2022/2/1,0.928150948,0.991308304,1.05390306,0.921737963,0.996804401,1.075828959
2022/2/2,0.930490886,0.993537812,1.05647549,0.932340429,1.006948681,1.08846858
2022/2/3,0.933514468,0.9963472,1.059995563,0.942548624,1.017216723,1.100965747
2022/2/4,0.936745772,0.999500127,1.063860627,0.951573985,1.026380228,1.112581932
2022/2/5,0.939674047,1.002569216,1.067160769,0.958435304,1.033288088,1.121963144
2022/2/6,0.942295484,1.005087059,1.070256802,0.963193088,1.037651457,1.127333611
2022/2/7,0.94417905,1.006879349,1.072474003,0.965172771,1.039892714,1.129683945
2022/2/8,0.945598549,1.00824479,1.074081654,0.965041241,1.03966895,1.129170513
2022/2/9,0.946151926,1.008809797,1.074686934,0.962572674,1.037070351,1.124596768
2022/2/10,0.946110597,1.008966514,1.07451977,0.957598707,1.031952394,1.117351874
2022/2/11,0.9455304,1.008809798,1.074200411,0.951184334,1.025330573,1.108450144
2022/2/12,0.944750453,1.008477517,1.073533686,0.943283263,1.018037881,1.099087129
2022/2/13,0.944405028,1.008389778,1.073075327,0.935293833,1.011020141,1.090471027
2022/2/14,0.944503654,1.008907082,1.073536484,0.928590015,1.005228232,1.083437324
2022/2/15,0.945529137,1.010224259,1.074707161,0.923905758,1.001054681,1.078758987
2022/2/16,0.947828864,1.012475329,1.077451638,0.920907962,0.998708618,1.076228229
2022/2/17,0.951364146,1.015827465,1.08137616,0.920471519,0.998340276,1.075754347
2022/2/18,0.955968605,1.020327839,1.086556268,0.922315632,1.000052703,1.077460754
2022/2/19,0.961610275,1.025762063,1.092460524,0.926640785,1.00361862,1.081406955
2022/2/20,0.967956961,1.031870531,1.09948331,0.932578745,1.008541984,1.086893252
2022/2/21,0.974443018,1.03843962,1.106864136,0.938818158,1.014170696,1.093348815
2022/2/22,0.9810222,1.044901535,1.114431589,0.944470463,1.019713079,1.100413597
2022/2/23,0.986720872,1.050656865,1.121107226,0.94925239,1.024244971,1.106080112
2022/2/24,0.991381489,1.055167249,1.125944639,0.952127273,1.027254343,1.109771913
2022/2/25,0.994900977,1.058416287,1.129704226,0.953801579,1.029016505,1.11174706
2022/2/26,0.997105085,1.060541682,1.131318479,0.954575475,1.029880152,1.111908937
2022/2/27,0.998223429,1.061885505,1.13278682,0.954893874,1.030397802,1.112268878
2022/2/28,0.99849231,1.062384571,1.132510544,0.955164791,1.030680138,1.112110302
2022/3/1,0.998005517,1.062167893,1.131748167,0.954175306,1.030522863,1.111110054
2022/3/2,0.997400011,1.061535057,1.130460075,0.953583714,1.030290436,1.110696835
2022/3/3,0.996412367,1.06091232,1.12952284,0.953397654,1.030731703,1.11060124
2022/3/4,0.996107738,1.060778621,1.129166053,0.954465924,1.032420252,1.111989534
2022/3/5,0.996535003,1.06130073,1.129725131,0.957038072,1.035273179,1.11478021
2022/3/6,0.997760284,1.062418557,1.130847095,0.960558255,1.039564098,1.119588358
2022/3/7,0.999812367,1.064374234,1.13258247,0.96563922,1.04493022,1.125450892
2022/3/8,1.002255434,1.067089846,1.13522917,0.971627856,1.050959542,1.132482854
2022/3/9,1.004907051,1.070095967,1.138398029,0.977863773,1.057302584,1.139225397
2022/3/10,1.008116878,1.073137773,1.14165143,0.983664278,1.063408676,1.145898177
2022/3/11,1.011412842,1.076375619,1.145733781,0.989467623,1.069794424,1.152542054
2022/3/12,1.014911811,1.079940058,1.149694082,0.995911527,1.076714348,1.159874015
2022/3/13,1.019044257,1.083705282,1.153794197,1.003330712,1.084482189,1.16822351
2022/3/14,1.022851186,1.087527318,1.157646209,1.0115893,1.092660851,1.177303712
2022/3/15,1.026722911,1.091283854,1.161290416,1.019835846,1.101315549,1.187094069
2022/3/16,1.030050662,1.094557907,1.164578688,1.028075742,1.109865905,1.196102729
