date,T_low,T_med,T_upper,R_low,R_med,R_upper
2022/5/23,0.797299061,0.94736897,1.130611578,0.692877166,0.86734438,1.10645334
2022/5/24,0.801599407,0.945607939,1.119937775,0.698563531,0.864819848,1.089319565
2022/5/25,0.804637347,0.943110168,1.10861318,0.702067787,0.861030774,1.072436547
2022/5/26,0.806174216,0.939517884,1.09561117,0.704238691,0.855970499,1.053178798
2022/5/27,0.806841874,0.935066681,1.082328617,0.704934369,0.849909528,1.034124967
2022/5/28,0.806353026,0.929605646,1.06841445,0.704630539,0.843597774,1.015668763
2022/5/29,0.804346525,0.923608161,1.055707216,0.702546076,0.836478442,0.998157747
2022/5/30,0.800842829,0.917092148,1.042912271,0.699800315,0.829125938,0.981162032
2022/5/31,0.796229704,0.910205921,1.030059289,0.695923987,0.821596093,0.966513883
2022/6/1,0.789792814,0.903093887,1.018298184,0.690800064,0.81432166,0.952362515
2022/6/2,0.781960683,0.895767438,1.007701046,0.684052479,0.806966103,0.940043261
2022/6/3,0.774272541,0.888408306,0.998023907,0.677223973,0.800116964,0.929569402
2022/6/4,0.765762953,0.881608398,0.989590795,0.670173365,0.794395184,0.920877565
2022/6/5,0.758380838,0.875466622,0.982069664,0.664226007,0.790112578,0.914310483
2022/6/6,0.751421445,0.870117762,0.975689683,0.66004459,0.787392041,0.909999602
2022/6/7,0.745116026,0.865739827,0.97106355,0.65733288,0.785984823,0.908058297
2022/6/8,0.739671204,0.86224142,0.967416325,0.657932188,0.786260097,0.90712108
2022/6/9,0.735135781,0.859469539,0.964703002,0.65946293,0.788120913,0.908501857
2022/6/10,0.732207807,0.857332613,0.963263764,0.663132507,0.791207169,0.911705354
2022/6/11,0.729081333,0.855757733,0.962383097,0.668644148,0.795486252,0.916448542
2022/6/12,0.726855664,0.854783004,0.962131978,0.674634408,0.800540188,0.921325013
2022/6/13,0.725304323,0.854204443,0.962223549,0.681968554,0.806160331,0.927360594
2022/6/14,0.724012493,0.854083211,0.963521417,0.689592326,0.812431806,0.934183966
2022/6/15,0.722861846,0.854183011,0.964880609,0.69653965,0.819074527,0.942220267
2022/6/16,0.722033521,0.85453432,0.966512743,0.704103751,0.826200925,0.950619993
2022/6/17,0.720940434,0.855128133,0.968415577,0.711871036,0.833563347,0.959770671
2022/6/18,0.720305946,0.855719657,0.970541273,0.719770442,0.841313347,0.96934423
2022/6/19,0.719874044,0.856326898,0.972524925,0.727530029,0.849101394,0.978535488
2022/6/20,0.719678672,0.857317032,0.974493982,0.735756809,0.857101322,0.98763955
2022/6/21,0.719273046,0.858344619,0.97656356,0.743558843,0.865039068,0.997372848
2022/6/22,0.718666271,0.859504746,0.978736549,0.751022429,0.872880228,1.006677282
2022/6/23,0.717923016,0.860813968,0.980964536,0.758676798,0.880768103,1.016416019
2022/6/24,0.717648545,0.862231436,0.983778836,0.766460381,0.888704656,1.026206642
2022/6/25,0.718231103,0.864175493,0.986474143,0.773996337,0.896626611,1.036232654
2022/6/26,0.719562083,0.866301628,0.989535123,0.781334894,0.904768471,1.045447112
2022/6/27,0.720684265,0.868716029,0.992990146,0.789159022,0.912796315,1.05500704
2022/6/28,0.722824597,0.871442972,0.997315813,0.796600878,0.920883369,1.064674014
2022/6/29,0.725878619,0.874400015,1.001902582,0.80416648,0.928810186,1.074502269
2022/6/30,0.728493604,0.877915908,1.006786281,0.812022712,0.936869775,1.083814765
2022/7/1,0.731705318,0.881683055,1.011422653,0.819795193,0.944849603,1.093504079
2022/7/2,0.735174691,0.885645239,1.017137129,0.828054809,0.952473045,1.102557879
2022/7/3,0.739059986,0.889854808,1.022374787,0.83457259,0.960012735,1.111411865
2022/7/4,0.743055562,0.89418627,1.027532371,0.840622291,0.967070575,1.1200291
2022/7/5,0.747974315,0.898660988,1.034073438,0.846944622,0.973761108,1.127840134
2022/7/6,0.752818429,0.903374205,1.040322705,0.852487027,0.97986478,1.135437942
2022/7/7,0.758211294,0.908087291,1.046848955,0.857515936,0.986031117,1.142667899
2022/7/8,0.763624705,0.913131409,1.053575054,0.862432714,0.991658097,1.148706511
2022/7/9,0.76904755,0.918368576,1.06098751,0.866631027,0.996901378,1.154850439
2022/7/10,0.77425932,0.923665148,1.068101677,0.870553894,1.001796807,1.159856785
2022/7/11,0.780087964,0.928848272,1.075507066,0.874539616,1.006350314,1.165008109
2022/7/12,0.785450341,0.934172863,1.082565902,0.877976613,1.01059253,1.168760617
