date,T_low,T_med,T_upper,R_low,R_med,R_upper
2022/4/10,0.918066503,1.084309495,1.294845172,0.93144499,1.144131988,1.405123344
2022/4/11,0.926509819,1.082873862,1.279904654,0.937639201,1.136386036,1.377351849
2022/4/12,0.933312606,1.081396797,1.266101599,0.940844888,1.1282032,1.350851854
2022/4/13,0.938888785,1.079442833,1.253264479,0.941788776,1.119426587,1.326383964
2022/4/14,0.943363495,1.077300785,1.240928128,0.941326196,1.110709175,1.304429927
2022/4/15,0.947187515,1.075016489,1.230404103,0.939859918,1.102474343,1.285380645
2022/4/16,0.950430589,1.073057338,1.220336032,0.936956086,1.095200321,1.270275668
2022/4/17,0.953087395,1.071146663,1.212397802,0.933858688,1.08914844,1.257464938
2022/4/18,0.955238115,1.069487525,1.206146771,0.930630048,1.084666918,1.248878497
2022/4/19,0.957702211,1.068888475,1.201808177,0.929757778,1.081823888,1.243251384
2022/4/20,0.959450478,1.068869252,1.199067285,0.930553783,1.081201554,1.241019259
2022/4/21,0.96156041,1.069554984,1.197859689,0.933420384,1.083471763,1.241664221
2022/4/22,0.964144174,1.07072318,1.198125998,0.940031374,1.088014863,1.247423298
2022/4/23,0.966533062,1.072215792,1.199642123,0.947158551,1.094279476,1.254495638
2022/4/24,0.968308628,1.073620982,1.201328748,0.954582835,1.101046115,1.262780891
2022/4/25,0.968979694,1.075037439,1.202519598,0.961575362,1.107707078,1.272561712
2022/4/26,0.968722999,1.075717329,1.202250693,0.966999596,1.112974088,1.280527636
2022/4/27,0.966871532,1.074938968,1.199744033,0.970083049,1.115921846,1.284520494
2022/4/28,0.964698859,1.07326275,1.196699122,0.9710216,1.117049711,1.284175821
2022/4/29,0.961958278,1.071312693,1.192672983,0.971340317,1.116644883,1.282885892
2022/4/30,0.959287962,1.069435846,1.189348227,0.96933452,1.115766757,1.280824948
2022/5/1,0.955987885,1.06751501,1.18632637,0.967474523,1.114787524,1.278399276
2022/5/2,0.95334082,1.066320321,1.184322287,0.964780996,1.113335975,1.274824835
2022/5/3,0.950777877,1.06540856,1.18247871,0.960913791,1.111544795,1.272536142
2022/5/4,0.948290039,1.064921804,1.181525585,0.957138564,1.109349042,1.269378725
2022/5/5,0.946183509,1.064631478,1.181171699,0.95407108,1.107220314,1.266694341
2022/5/6,0.94501933,1.065237142,1.181479092,0.950904232,1.106077432,1.264342868
2022/5/7,0.946605613,1.067244627,1.182845838,0.948911013,1.106761058,1.264692768
2022/5/8,0.950641045,1.070445649,1.185766325,0.949937738,1.110064022,1.267862244
2022/5/9,0.957055298,1.075219199,1.189881988,0.955489182,1.116509535,1.274981391
2022/5/10,0.964718578,1.081706191,1.196394812,0.964483225,1.125498033,1.28509813
2022/5/11,0.973897382,1.089000021,1.203691644,0.976114953,1.136586525,1.297478527
2022/5/12,0.983551723,1.096835605,1.213151408,0.988699724,1.148825257,1.3114723
2022/5/13,0.993926167,1.104895321,1.223717801,1.002245567,1.161821822,1.32701172
2022/5/14,1.003072867,1.113016935,1.234110881,1.016365547,1.175058141,1.342224199
2022/5/15,1.01167262,1.120768816,1.245499801,1.03114554,1.188365532,1.358263803
2022/5/16,1.019822115,1.128350166,1.256182028,1.044391112,1.200681145,1.374336696
2022/5/17,1.027306718,1.135651344,1.266200322,1.056819087,1.213004662,1.390071275
2022/5/18,1.034407907,1.142616989,1.277349126,1.068837841,1.225425035,1.407035639
2022/5/19,1.041329738,1.149514591,1.288104357,1.082381929,1.238572032,1.426899442
2022/5/20,1.049142355,1.156838034,1.300219594,1.096249395,1.253883259,1.450135876
2022/5/21,1.055754658,1.163808466,1.31316667,1.109145003,1.268913494,1.475446596
2022/5/22,1.060476244,1.169377927,1.324660184,1.118229356,1.280965395,1.498734269
2022/5/23,1.063016706,1.173191908,1.334389704,1.122661011,1.288862427,1.516289622
2022/5/24,1.063159929,1.174445687,1.341500999,1.12171352,1.290846583,1.526374239
2022/5/25,1.061165213,1.173013349,1.344475468,1.11648438,1.286691808,1.526559758
2022/5/26,1.056611572,1.168420552,1.342285152,1.106817396,1.276719285,1.51793097
2022/5/27,1.049374684,1.160208831,1.333177687,1.093169381,1.260477107,1.498633968
2022/5/28,1.039292226,1.148413709,1.317003809,1.0754998,1.238691424,1.470454424
2022/5/29,1.0266003,1.133173833,1.294658482,1.054081736,1.211957207,1.43328801
2022/5/30,1.010780546,1.114409298,1.266349322,1.028636417,1.180433186,1.389847992
2022/5/31,0.992513509,1.092997301,1.233620603,0.999335075,1.145342595,1.341306508
2022/6/1,0.971347582,1.069721336,1.198718934,0.967384995,1.107837471,1.291046155
2022/6/2,0.948106626,1.045854375,1.16439836,0.933791808,1.06949786,1.240614285
2022/6/3,0.923542215,1.021904589,1.132212385,0.899595099,1.031019607,1.191562731
2022/6/4,0.898159073,0.998496704,1.102922528,0.865611628,0.993971423,1.144328527
2022/6/5,0.87308346,0.976256291,1.07639005,0.831940902,0.958676545,1.100480398
2022/6/6,0.849155903,0.955412852,1.053139961,0.799094395,0.9256534,1.062321248
2022/6/7,0.827699348,0.936351698,1.03306929,0.769083786,0.894574024,1.026151379
2022/6/8,0.808920071,0.919014567,1.015119297,0.741173014,0.866101924,0.993449777
2022/6/9,0.79201427,0.903407502,0.998503582,0.715567065,0.839728926,0.963842694
2022/6/10,0.777039593,0.889120524,0.984287159,0.692035052,0.815383973,0.936706739
2022/6/11,0.763324774,0.876219033,0.971482672,0.671322654,0.793233512,0.912716686
2022/6/12,0.752126273,0.86486588,0.960041927,0.652984464,0.773521202,0.89065475
2022/6/13,0.741890419,0.854860263,0.949753069,0.63707355,0.756188187,0.87196174
2022/6/14,0.733661799,0.845993624,0.940967741,0.623416206,0.741182792,0.856325418
2022/6/15,0.725893694,0.838796485,0.933915016,0.612608811,0.728748265,0.842876439
2022/6/16,0.719873769,0.832634156,0.92813654,0.603932958,0.718703447,0.831885989
2022/6/17,0.71373509,0.827446884,0.92336797,0.597659774,0.711159526,0.822950112
2022/6/18,0.70858582,0.823149986,0.919697673,0.593551551,0.705269576,0.816661534
2022/6/19,0.703254649,0.819474747,0.916827167,0.590071822,0.700716547,0.811200189
2022/6/20,0.697862764,0.816259453,0.914856535,0.587339383,0.69733807,0.807277554
2022/6/21,0.692772966,0.813765359,0.913448519,0.585551046,0.695177907,0.804794081
2022/6/22,0.689382201,0.812370839,0.91284107,0.584462989,0.694335593,0.804061192
2022/6/23,0.687187492,0.812130901,0.913102733,0.58554231,0.695746215,0.805669481
2022/6/24,0.687674261,0.813382973,0.914607414,0.58945427,0.699732208,0.809844895
2022/6/25,0.688783631,0.81595962,0.918054034,0.596291211,0.70641199,0.816892485
2022/6/26,0.692447121,0.819832814,0.922842632,0.606416408,0.716007648,0.827056281
2022/6/27,0.697517214,0.824751298,0.928334387,0.619618993,0.728098153,0.840767183
2022/6/28,0.703761742,0.830840196,0.935994408,0.633707698,0.742357482,0.857461707
2022/6/29,0.710470092,0.837437734,0.944417617,0.64979511,0.758195298,0.877003654
2022/6/30,0.717261802,0.844467037,0.953395742,0.666174358,0.774868072,0.897195397
2022/7/1,0.724297986,0.851880326,0.962420942,0.683197448,0.792399789,0.918483462
2022/7/2,0.731853731,0.85916414,0.972257828,0.699656519,0.809976484,0.940296554
2022/7/3,0.738927136,0.86617789,0.9814067,0.715259904,0.826888468,0.961503411
2022/7/4,0.745272712,0.872991346,0.989586988,0.730106058,0.842633224,0.980716584
2022/7/5,0.75145977,0.879212712,0.997700656,0.743470303,0.857231508,0.998794825
2022/7/6,0.757031912,0.885269502,1.004673439,0.755795015,0.870919683,1.015045505
2022/7/7,0.762335904,0.891058924,1.012070169,0.767217561,0.883966489,1.030448626
2022/7/8,0.768223636,0.897125436,1.019067507,0.778146685,0.896730327,1.044277949
2022/7/9,0.774044299,0.903124776,1.026249306,0.789293991,0.90899984,1.057368371
2022/7/10,0.779808749,0.909306748,1.034329655,0.800001892,0.92102652,1.070587704
2022/7/11,0.785732434,0.915467806,1.041404946,0.810112291,0.932429996,1.082887677
2022/7/12,0.791405874,0.921311622,1.048471107,0.819273083,0.942700795,1.093972445
2022/7/13,0.796932449,0.92715249,1.055611256,0.827052435,0.95194371,1.102784668
2022/7/14,0.802567723,0.932968725,1.062684987,0.834984015,0.960361095,1.111107359
2022/7/15,0.807828482,0.938758249,1.070461472,0.842394621,0.968559149,1.119695763
2022/7/16,0.813665576,0.944368187,1.07792336,0.849012492,0.976525103,1.127187457
2022/7/17,0.819211085,0.950135925,1.085605573,0.855620084,0.984795648,1.135427899
2022/7/18,0.824731254,0.956092968,1.093732553,0.86247462,0.993266427,1.144593831
2022/7/19,0.830721117,0.962126745,1.10164332,0.86964966,1.001566177,1.154172898
2022/7/20,0.836848791,0.967934515,1.110032866,0.876858513,1.009625212,1.162940102
2022/7/21,0.842297667,0.973679762,1.118624637,0.883857464,1.017540117,1.171522107
2022/7/22,0.847797198,0.979108785,1.126807424,0.890580349,1.025133071,1.179602748
2022/7/23,0.853019194,0.984366284,1.133981302,0.897054478,1.031861129,1.187478291
2022/7/24,0.857475711,0.988912686,1.140257554,0.902533137,1.037796876,1.194580904
2022/7/25,0.860939965,0.993134906,1.145853849,0.907027166,1.042999203,1.200984615
2022/7/26,0.863533979,0.996496047,1.150654928,0.910772344,1.047160418,1.20524212
2022/7/27,0.866167384,0.999241912,1.15465655,0.913541991,1.050271987,1.208953734
2022/7/28,0.867853036,1.00149362,1.156972916,0.914949329,1.052419809,1.211284451
2022/7/29,0.869585022,1.003439847,1.159525136,0.917248101,1.05450749,1.213959404
2022/7/30,0.871011975,1.004868191,1.161567776,0.919296554,1.056605471,1.215692477
2022/7/31,0.872162609,1.006194293,1.163929735,0.920997056,1.058454017,1.217925836
2022/8/1,0.873585623,1.007337744,1.166208685,0.92310993,1.060346205,1.220323553
2022/8/2,0.874287188,1.008545668,1.168013876,0.924687171,1.062106116,1.222353951
2022/8/3,0.87501237,1.009574081,1.169055035,0.926036091,1.063546918,1.225307013
2022/8/4,0.875210285,1.010280188,1.170257139,0.927218325,1.064214341,1.227885623
2022/8/5,0.875228268,1.010804667,1.170991285,0.927197417,1.063969416,1.227428862
2022/8/6,0.874459597,1.010720784,1.170899394,0.925640861,1.062720451,1.22646536
2022/8/7,0.873301382,1.010313901,1.169546732,0.923502526,1.059759291,1.222580305
2022/8/8,0.870866901,1.008787143,1.166940622,0.919629106,1.055368488,1.216226297
2022/8/9,0.867453046,1.006922735,1.162522548,0.913547274,1.048836862,1.20826579
2022/8/10,0.863044981,1.004490737,1.157610467,0.904910016,1.040198958,1.19731439
2022/8/11,0.858173681,1.001564094,1.15222652,0.894764735,1.030194105,1.183892145
2022/8/12,0.85277773,0.998338004,1.145785097,0.883968255,1.019392401,1.169899831
2022/8/13,0.847280444,0.994943575,1.141127307,0.873051613,1.009053866,1.156616073
2022/8/14,0.842681601,0.992106659,1.137161001,0.863023905,1.000265015,1.145740314
2022/8/15,0.838632403,0.989966027,1.133689655,0.855158218,0.992887853,1.137131205
2022/8/16,0.836016196,0.988517294,1.131472072,0.849458066,0.987235645,1.130679506
2022/8/17,0.834720917,0.987979592,1.13102843,0.844847832,0.983196008,1.12586854
2022/8/18,0.834101711,0.988058429,1.131609142,0.842363259,0.980896902,1.12327014
2022/8/19,0.83474982,0.988816909,1.132833194,0.84189294,0.979975847,1.122935358
2022/8/20,0.836331478,0.990246852,1.134635204,0.842355606,0.980406118,1.123295814
2022/8/21,0.838937899,0.992477295,1.137752096,0.844243637,0.981602239,1.124355419
2022/8/22,0.842473471,0.99552065,1.140976021,0.84673285,0.983431545,1.126967325
2022/8/23,0.846485373,0.999134068,1.145082217,0.849694835,0.986116488,1.131108188
2022/8/24,0.851404732,1.003164393,1.150523662,0.853648011,0.989303618,1.134836724
2022/8/25,0.856704174,1.007919394,1.156440792,0.857293963,0.992832858,1.138899659
2022/8/26,0.863053252,1.013217694,1.162895271,0.862139552,0.996786359,1.14373752
2022/8/27,0.869098092,1.018753332,1.17052491,0.866789328,1.000988936,1.148745632
2022/8/28,0.876009043,1.024688089,1.178026323,0.871466044,1.005486184,1.153870744
2022/8/29,0.883346059,1.03080852,1.185146133,0.875709739,1.010260725,1.159455854
2022/8/30,0.890627131,1.03689828,1.193277793,0.880144192,1.015156669,1.165503086
2022/8/31,0.897512658,1.043430116,1.201532582,0.884666974,1.020111008,1.171248833
2022/9/1,0.905486387,1.049970749,1.210736189,0.889399385,1.024815707,1.177739588
2022/9/2,0.913930343,1.056822658,1.220149647,0.894136636,1.030095818,1.184653452
2022/9/3,0.921804846,1.063692713,1.229101616,0.898660927,1.035270735,1.191100001
2022/9/4,0.928856924,1.070550657,1.238623919,0.903550845,1.04042338,1.197123378
2022/9/5,0.936681292,1.077605194,1.24914881,0.908457599,1.045575156,1.203446453
2022/9/6,0.944795713,1.084481677,1.258695848,0.913102481,1.050908578,1.210372741
2022/9/7,0.951901791,1.091255142,1.268150064,0.918551386,1.056288103,1.216735096
