date,T_low,T_med,T_upper,R_low,R_med,R_upper
2022/1/15,0.503309857,0.606949027,0.723306779,0.480622662,0.60186162,0.74365409
2022/1/16,0.506963993,0.604962975,0.713630631,0.484821295,0.599700523,0.731411489
2022/1/17,0.510105354,0.603279983,0.705097541,0.48839993,0.597655828,0.720472011
2022/1/18,0.512927693,0.602028662,0.698202605,0.491550353,0.595971484,0.71146813
2022/1/19,0.515456755,0.601703505,0.693460794,0.494228316,0.595134406,0.704911257
2022/1/20,0.518376131,0.602544289,0.690833915,0.497170419,0.595238763,0.700237266
2022/1/21,0.521964965,0.604828047,0.690379987,0.500660186,0.596541748,0.697591401
2022/1/22,0.526987932,0.608993871,0.692184338,0.505121084,0.599628486,0.697996571
2022/1/23,0.534072114,0.615297505,0.696548976,0.511010794,0.604530699,0.700548053
2022/1/24,0.543562915,0.623930854,0.703677688,0.518508117,0.611429704,0.705875556
2022/1/25,0.555474019,0.634771037,0.713586944,0.528149359,0.620351867,0.713556805
2022/1/26,0.569282808,0.647735261,0.725351853,0.539490033,0.631136295,0.723595096
2022/1/27,0.584942728,0.66248216,0.739635373,0.552752877,0.64332371,0.735881552
2022/1/28,0.602297847,0.67850543,0.756244194,0.567018615,0.656894718,0.750164877
2022/1/29,0.620292103,0.69570854,0.774712164,0.581956548,0.671543088,0.766176845
2022/1/30,0.638283098,0.713628933,0.794776063,0.597038137,0.686703832,0.783168712
2022/1/31,0.656161165,0.731810964,0.815481139,0.611937794,0.702374685,0.801013595
2022/2/1,0.673920012,0.750235326,0.837418234,0.627341234,0.718256424,0.819546146
2022/2/2,0.691374775,0.768749894,0.858885814,0.642776366,0.734360244,0.838610267
2022/2/3,0.708606496,0.78714987,0.880286565,0.657919481,0.750363316,0.857875719
2022/2/4,0.72528984,0.805040887,0.90165035,0.672613863,0.766397321,0.87690986
2022/2/5,0.741058877,0.822128726,0.921362536,0.686755758,0.782053767,0.895269422
