date,T_low,T_med,T_upper,R_low,R_med,R_upper
2022/5/30,0.449378915,0.772445445,1.092116176,0.490454636,0.785749561,1.163715758
2022/5/31,0.465051893,0.779957489,1.089943172,0.50954056,0.796354974,1.159876668
2022/6/1,0.480275334,0.788218433,1.089938985,0.52912618,0.80798552,1.160136357
2022/6/2,0.49622466,0.797382289,1.091786653,0.547175195,0.820588104,1.165562779
2022/6/3,0.512271723,0.808048786,1.095290075,0.564528586,0.833912985,1.172699124
2022/6/4,0.529259864,0.819056719,1.10113256,0.581033358,0.847829824,1.18517523
2022/6/5,0.546785907,0.830845176,1.109343948,0.596860098,0.86221386,1.19933041
2022/6/6,0.564786505,0.843466473,1.119639208,0.612169033,0.876803035,1.216809516
2022/6/7,0.583595174,0.85647455,1.131022666,0.626301474,0.891462466,1.236252739
2022/6/8,0.602206239,0.869995735,1.146420142,0.640586993,0.906393915,1.256327499
2022/6/9,0.620119567,0.883730318,1.16462852,0.654788343,0.921321229,1.277665943
2022/6/10,0.639121582,0.897781419,1.18464173,0.669126105,0.935596934,1.300105221
2022/6/11,0.657461985,0.912020481,1.206648508,0.683418294,0.950078723,1.321564943
2022/6/12,0.675209635,0.926075122,1.23307676,0.697361487,0.964479867,1.344732569
2022/6/13,0.693028055,0.94001372,1.261303493,0.709922627,0.978733096,1.366332446
2022/6/14,0.709865247,0.953831612,1.291437173,0.723655766,0.992018203,1.387316744
2022/6/15,0.725373545,0.967572363,1.320570093,0.735143313,1.005011904,1.408788999
2022/6/16,0.740844075,0.981244041,1.351516347,0.746342463,1.017673929,1.427525761
2022/6/17,0.75532036,0.994693884,1.381874682,0.756871937,1.029688024,1.447132346
2022/6/18,0.768706224,1.007419931,1.415094648,0.76673286,1.041207855,1.463829068
2022/6/19,0.780902341,1.019505194,1.445030018,0.776906972,1.052090731,1.481301482
2022/6/20,0.792523125,1.030994857,1.474763983,0.786529966,1.062927636,1.497559751
2022/6/21,0.80278021,1.042250933,1.502643409,0.795168204,1.072833522,1.514080457
2022/6/22,0.812569222,1.052623126,1.528885332,0.802640813,1.081627453,1.53250024
2022/6/23,0.821054824,1.062064373,1.553102016,0.808958025,1.089179259,1.544183
2022/6/24,0.829536515,1.07059015,1.573466142,0.814376977,1.095887091,1.555290264
2022/6/25,0.835878821,1.07836569,1.589519334,0.819258546,1.101605993,1.564309428
2022/6/26,0.840698054,1.085035333,1.602134806,0.822922494,1.105664322,1.571439673
2022/6/27,0.845518911,1.089777642,1.607498119,0.82564514,1.10842416,1.574202091
2022/6/28,0.848819628,1.093894725,1.608961562,0.825902903,1.109570693,1.574027994
2022/6/29,0.851969143,1.096339198,1.60698234,0.825345405,1.10930134,1.571214432
2022/6/30,0.853198896,1.09772983,1.603847873,0.823947433,1.107336163,1.564746477
2022/7/1,0.854010102,1.098140845,1.595039399,0.821933347,1.104852025,1.557322409
2022/7/2,0.853356456,1.097377948,1.584708132,0.818219428,1.100803841,1.545491353
2022/7/3,0.851196467,1.096260848,1.568942143,0.81359183,1.096060048,1.532577353
2022/7/4,0.848547071,1.094606605,1.553695906,0.808234293,1.089735734,1.517566887
2022/7/5,0.84469845,1.091919341,1.538948624,0.801662894,1.082446086,1.502524437
2022/7/6,0.84082427,1.08873778,1.525910876,0.79311841,1.074129907,1.484774797
2022/7/7,0.835845495,1.084782628,1.511418735,0.782521283,1.064548242,1.466273327
2022/7/8,0.829314881,1.08047138,1.493771583,0.771749785,1.054459919,1.446468175
2022/7/9,0.82294075,1.075523322,1.47724462,0.759626991,1.043921447,1.426799885
2022/7/10,0.81592466,1.070699418,1.460519736,0.748015437,1.033540876,1.408684126
2022/7/11,0.808527781,1.065555902,1.445777035,0.736273914,1.023228611,1.390119093
2022/7/12,0.801082775,1.060809363,1.430377451,0.725888951,1.01369283,1.373401609
2022/7/13,0.792551643,1.055750722,1.416111294,0.715226835,1.004833171,1.357971859
2022/7/14,0.784017581,1.050894596,1.401787954,0.705246277,0.997392335,1.344917034
2022/7/15,0.776161776,1.046595599,1.388512746,0.699346096,0.991031277,1.335069244
2022/7/16,0.769272084,1.042666698,1.377469804,0.692431222,0.985666057,1.325763364
2022/7/17,0.762869014,1.039097977,1.369137018,0.688097928,0.981332767,1.31680287
2022/7/18,0.758336885,1.036604716,1.361196306,0.685276127,0.978270063,1.311768217
2022/7/19,0.755071231,1.034807556,1.35542418,0.683679445,0.976751835,1.308944908
2022/7/20,0.753200888,1.033341752,1.351958822,0.682918432,0.976467488,1.307549118
2022/7/21,0.751743983,1.032626425,1.348463194,0.684540559,0.977131394,1.30933679
2022/7/22,0.750674819,1.032833042,1.346234567,0.686738734,0.978471885,1.310887102
2022/7/23,0.75144985,1.033426779,1.345340795,0.689782044,0.980564197,1.315337867
2022/7/24,0.752053253,1.034144542,1.344741487,0.692951816,0.983838014,1.320031028
2022/7/25,0.752905069,1.035242755,1.344259592,0.697025887,0.986733426,1.327113563
2022/7/26,0.755243672,1.036402875,1.344801297,0.700543456,0.990513719,1.332291118
2022/7/27,0.757292003,1.038025817,1.343898063,0.703622055,0.994421807,1.338482731
2022/7/28,0.760706299,1.03988554,1.34529601,0.707487239,0.999224527,1.346363515
2022/7/29,0.764007388,1.042339734,1.348860813,0.711844795,1.004458998,1.353948921
2022/7/30,0.768280051,1.045110677,1.352832259,0.71705116,1.010705894,1.362695937
2022/7/31,0.773695389,1.048486812,1.358418176,0.723168593,1.017366939,1.373687549
2022/8/1,0.77966527,1.052593862,1.364234327,0.730890967,1.024951625,1.385262993
2022/8/2,0.787283364,1.057379433,1.372009222,0.738714239,1.033789114,1.40109123
2022/8/3,0.796198187,1.063100751,1.381377974,0.748599034,1.044250862,1.418413452
2022/8/4,0.806111735,1.069319901,1.393986171,0.760501469,1.055659915,1.438121856
2022/8/5,0.816487235,1.076513988,1.407032701,0.772578428,1.068331935,1.459390372
2022/8/6,0.826817578,1.083946632,1.421978869,0.786614456,1.081461277,1.482140999
2022/8/7,0.837616355,1.091825768,1.438907244,0.80178256,1.095692526,1.508493847
2022/8/8,0.848359277,1.099872271,1.455600704,0.817186591,1.110407261,1.538794987
2022/8/9,0.859655047,1.108387679,1.476771617,0.831592735,1.125519289,1.569266199
2022/8/10,0.870758675,1.11702335,1.496716309,0.846055008,1.141056426,1.604089097
2022/8/11,0.881577088,1.125412504,1.516662518,0.859895418,1.156114373,1.639144691
2022/8/12,0.891689302,1.133780334,1.539420866,0.872893736,1.171098981,1.672138992
2022/8/13,0.900101113,1.141440258,1.56039112,0.884616049,1.185416411,1.708521853
2022/8/14,0.908061694,1.148877703,1.582259726,0.894961055,1.197895462,1.743421591
2022/8/15,0.914255445,1.155148115,1.598870499,0.903207583,1.209865678,1.776258413
2022/8/16,0.919690413,1.160610235,1.616657391,0.909995147,1.21912808,1.806723474
2022/8/17,0.923977461,1.165144922,1.628505201,0.914961078,1.226184187,1.831590026
2022/8/18,0.9261695,1.167877653,1.635017878,0.917811127,1.230650379,1.84859598
2022/8/19,0.927575316,1.169472357,1.636184459,0.917716707,1.231604106,1.854576302
2022/8/20,0.92727328,1.169489896,1.633268898,0.915739148,1.228612661,1.850376985
2022/8/21,0.926225742,1.168277927,1.623342648,0.910473021,1.222022827,1.832056066
2022/8/22,0.924006954,1.165395104,1.608752651,0.902200234,1.211967228,1.801270331
2022/8/23,0.918890847,1.161445393,1.588768648,0.890503867,1.197712879,1.756670724
2022/8/24,0.912362972,1.156146864,1.565924602,0.875647245,1.179686093,1.70453998
2022/8/25,0.904608553,1.149808232,1.542966645,0.856370913,1.158628786,1.644565228
2022/8/26,0.895598443,1.14246623,1.517835779,0.833534601,1.135317082,1.581034612
2022/8/27,0.884605593,1.13440676,1.494096029,0.806473178,1.111268652,1.521730603
2022/8/28,0.872918906,1.126041403,1.470212901,0.778055384,1.087346681,1.467913736
2022/8/29,0.85902349,1.117150098,1.449644958,0.747856047,1.063495966,1.425359198
2022/8/30,0.843902865,1.108550418,1.429631864,0.71759968,1.041451363,1.392897006
2022/8/31,0.827228794,1.099842344,1.413675262,0.687713705,1.021277208,1.366246862
2022/9/1,0.810562953,1.091761523,1.401001742,0.660491564,1.003437967,1.351492588
2022/9/2,0.793870259,1.084833952,1.391845047,0.636131694,0.989148639,1.341360422
2022/9/3,0.779340919,1.079431832,1.385376228,0.615029651,0.978529923,1.337109645
2022/9/4,0.768459562,1.075603497,1.382788496,0.599272414,0.972040838,1.338383302
2022/9/5,0.761113734,1.074100126,1.383648354,0.588784719,0.970229779,1.343447475
2022/9/6,0.755575584,1.075302614,1.387324497,0.584387772,0.973094644,1.352107887
2022/9/7,0.754829798,1.079422198,1.394288658,0.586063023,0.981223081,1.366346261
2022/9/8,0.75770536,1.086751037,1.404518095,0.594381571,0.994739867,1.385868092
2022/9/9,0.765853614,1.096359377,1.417681417,0.608844969,1.014116504,1.409062325
2022/9/10,0.779904937,1.109127463,1.434416828,0.627949518,1.038472354,1.437268854
2022/9/11,0.798067286,1.124256849,1.453137194,0.653865411,1.068919002,1.469830966
2022/9/12,0.820374872,1.142480339,1.474409633,0.686873531,1.105156587,1.50760743
2022/9/13,0.847308995,1.163265013,1.500252743,0.724616707,1.146472555,1.55310955
2022/9/14,0.876320767,1.186436711,1.530523127,0.76959983,1.194358152,1.607281486
2022/9/15,0.907103026,1.211847129,1.565732291,0.821360682,1.246176656,1.671162047
2022/9/16,0.941424948,1.238653854,1.605110087,0.878062926,1.303351366,1.743742094
2022/9/17,0.97507954,1.267322,1.648995303,0.93921099,1.364920424,1.827319375
2022/9/18,1.009117714,1.296579834,1.698515107,1.004026539,1.429365952,1.92161456
2022/9/19,1.042411732,1.326376134,1.752815151,1.070063994,1.496711848,2.027960146
2022/9/20,1.074889491,1.356244721,1.810230512,1.137150076,1.565480637,2.145320174
2022/9/21,1.104697259,1.385464923,1.86680409,1.203608347,1.636230513,2.267457127
2022/9/22,1.132248243,1.414361057,1.920579855,1.267341082,1.707424358,2.396378246
2022/9/23,1.157611015,1.441869814,1.970061209,1.326593128,1.77785651,2.521470024
2022/9/24,1.181075149,1.46832986,2.016906316,1.38295437,1.8469405,2.649261904
2022/9/25,1.202852337,1.493626601,2.058951896,1.434262942,1.914382006,2.773460452
2022/9/26,1.223056215,1.517391981,2.095142756,1.481808066,1.979240307,2.892838975
2022/9/27,1.241491729,1.53997766,2.13219795,1.526553892,2.04281766,3.014115064
2022/9/28,1.258587788,1.561757272,2.167297978,1.566887889,2.103562368,3.13047859
2022/9/29,1.274251943,1.582253707,2.201203481,1.603297674,2.161011851,3.245430846
2022/9/30,1.28935172,1.600751703,2.231001877,1.635366904,2.214326531,3.354725019
2022/10/1,1.302051967,1.617403929,2.257716114,1.664295154,2.261701096,3.450448257
2022/10/2,1.312879719,1.632142685,2.282037158,1.685875576,2.302176271,3.530726472
2022/10/3,1.32206625,1.644095311,2.30082614,1.703366732,2.333924726,3.587471668
2022/10/4,1.329453588,1.653393883,2.318101354,1.714735878,2.356221085,3.62448471
2022/10/5,1.334366659,1.660246396,2.328408165,1.722180536,2.36777539,3.638142459
2022/10/6,1.337318703,1.663888773,2.32567154,1.723720764,2.366098443,3.618546949
2022/10/7,1.338539813,1.663124089,2.315808762,1.720527777,2.352210854,3.573249256
2022/10/8,1.33758896,1.659608641,2.301106429,1.712250422,2.328082493,3.503682662
2022/10/9,1.335111852,1.653108496,2.279310265,1.698056825,2.295449957,3.415405108
2022/10/10,1.329805525,1.643905712,2.252200447,1.67849485,2.25522049,3.317624346
2022/10/11,1.32282616,1.631937756,2.218309689,1.654673231,2.209781647,3.209213001
2022/10/12,1.312160024,1.617223322,2.181229785,1.623294868,2.158218339,3.096940108
2022/10/13,1.299327183,1.600508725,2.138134354,1.587397917,2.102321398,2.982151464
2022/10/14,1.284773638,1.581872605,2.092810492,1.545337023,2.043026408,2.864253256
2022/10/15,1.267273198,1.561371839,2.046859084,1.497313326,1.982985407,2.752989591
2022/10/16,1.249234207,1.53978792,2.001613004,1.446224968,1.922199091,2.644212626
2022/10/17,1.22831158,1.516809687,1.955666785,1.393279025,1.862156386,2.534811554
2022/10/18,1.205775192,1.493493079,1.911953493,1.336315517,1.8026834,2.434259223
2022/10/19,1.18060124,1.470277393,1.868978239,1.279966049,1.745485839,2.339840922
2022/10/20,1.15514776,1.446934339,1.828793657,1.225216028,1.68978033,2.254654719
2022/10/21,1.129910364,1.424254283,1.790349817,1.172839914,1.636950114,2.175863818
2022/10/22,1.104794704,1.401979092,1.755639581,1.123671847,1.58696697,2.10351928
2022/10/23,1.080913691,1.380807911,1.721961909,1.079986093,1.540452807,2.035967092
2022/10/24,1.057620656,1.360523494,1.69092375,1.039467091,1.496475751,1.97727
2022/10/25,1.036707367,1.341047033,1.663269212,1.003669555,1.456239525,1.923844218
2022/10/26,1.016208313,1.322595092,1.637140614,0.972489201,1.418891216,1.873675933
2022/10/27,0.998434128,1.304888543,1.61295743,0.944101061,1.383895726,1.826415911
2022/10/28,0.982611262,1.288110519,1.590830022,0.920170653,1.351792697,1.784759424
2022/10/29,0.967567111,1.272385747,1.570246505,0.898074566,1.322582785,1.747174917
2022/10/30,0.953953449,1.257311889,1.552124928,0.880169325,1.295943768,1.714227779
2022/10/31,0.942007271,1.243238049,1.533826092,0.864022888,1.27190477,1.683762637
2022/11/1,0.931781563,1.230204436,1.516812198,0.850900018,1.250643596,1.656486691
2022/11/2,0.923048611,1.217931475,1.502503528,0.841023311,1.231330908,1.633340663
2022/11/3,0.915668447,1.206392512,1.48854817,0.83127312,1.21436656,1.613228628
2022/11/4,0.910145315,1.195620958,1.475155845,0.824465309,1.199114543,1.59472286
