date,T_low,T_med,T_upper,R_low,R_med,R_upper
2022/4/17,0.88906655,1.083039698,1.310461241,0.887467094,1.113634025,1.366774261
2022/4/18,0.896384549,1.083422728,1.304585671,0.893704894,1.114268403,1.359759741
2022/4/19,0.903653828,1.083896443,1.299510835,0.899970861,1.114892711,1.353091444
2022/4/20,0.910366083,1.084400209,1.294562733,0.906378556,1.115546471,1.34770121
2022/4/21,0.916145845,1.085137209,1.290747356,0.912763333,1.116392726,1.342772578
2022/4/22,0.922583358,1.085928657,1.288017775,0.919412983,1.117428163,1.338595316
2022/4/23,0.929170887,1.086845653,1.286987237,0.925670464,1.118387367,1.334757988
2022/4/24,0.935399057,1.087814561,1.285861368,0.931857236,1.11944692,1.331068041
2022/4/25,0.941975054,1.088937592,1.285745998,0.93798785,1.120661605,1.328078718
2022/4/26,0.948541271,1.089918627,1.286314146,0.9432089,1.121771875,1.325506459
2022/4/27,0.955027559,1.091141407,1.286716666,0.948972149,1.12285964,1.32357149
2022/4/28,0.960972663,1.09240763,1.287823676,0.953800853,1.124064486,1.321316868
2022/4/29,0.966416563,1.09364899,1.289543591,0.958528591,1.125310077,1.320596512
2022/4/30,0.97210081,1.094939121,1.291740139,0.963434311,1.126626889,1.319396728
2022/5/1,0.977237561,1.096247198,1.2944598,0.967404497,1.12778756,1.318113082
2022/5/2,0.981469808,1.097417588,1.296697026,0.971472594,1.128919907,1.317596782
2022/5/3,0.985581789,1.098492079,1.299515841,0.975137164,1.129927771,1.31749977
2022/5/4,0.989441339,1.099191112,1.301007423,0.978418558,1.131062007,1.317778071
2022/5/5,0.992755362,1.099830986,1.301935242,0.981548939,1.13192869,1.317780677
2022/5/6,0.995419073,1.100534461,1.303159221,0.984794512,1.132614673,1.317625244
2022/5/7,0.997796194,1.10097923,1.304376605,0.98718509,1.133350453,1.317405953
2022/5/8,0.999971759,1.101352225,1.305792493,0.990004831,1.133910547,1.318337774
2022/5/9,1.001986646,1.10163122,1.307073695,0.99224252,1.134431848,1.319071282
2022/5/10,1.003103678,1.101806818,1.30827908,0.993712554,1.134805787,1.319252049
2022/5/11,1.004116508,1.101857549,1.307948387,0.995225581,1.135045471,1.320037571
2022/5/12,1.0047564,1.101777406,1.308239296,0.996670583,1.135397265,1.320944103
2022/5/13,1.005148739,1.101732321,1.310008831,0.998313967,1.135458375,1.321714241
2022/5/14,1.005645071,1.101637705,1.311446531,1.000352792,1.135404856,1.321630432
2022/5/15,1.005972242,1.10153768,1.312556318,1.000964097,1.13548526,1.322118843
2022/5/16,1.006126687,1.10138934,1.314398483,1.002160198,1.135413386,1.322937319
2022/5/17,1.006771431,1.101330672,1.317311842,1.003164798,1.135098848,1.323398876
2022/5/18,1.007068,1.10120617,1.318366041,1.003733508,1.134710203,1.323629536
2022/5/19,1.008134318,1.101102752,1.321329575,1.0040084,1.134143053,1.323812413
2022/5/20,1.00904632,1.100923302,1.32496304,1.004450525,1.133647457,1.324297759
2022/5/21,1.009921103,1.100844629,1.330010114,1.004197581,1.133097528,1.324438439
2022/5/22,1.010703556,1.10071702,1.335917697,1.004019501,1.132288827,1.32364985
2022/5/23,1.011261632,1.100433823,1.343293,1.003557118,1.13136974,1.32370155
2022/5/24,1.012032448,1.100168391,1.349245984,1.002997582,1.130470725,1.323080045
2022/5/25,1.012375416,1.099713059,1.357150062,1.00220965,1.129393862,1.322639404
2022/5/26,1.012614206,1.099184694,1.365327344,1.000971337,1.128178092,1.321683397
2022/5/27,1.012419783,1.098467535,1.373134988,0.999790284,1.126800881,1.321278912
2022/5/28,1.011792318,1.097581293,1.378898982,0.998200273,1.125117492,1.31878469
2022/5/29,1.010813572,1.096273144,1.383109068,0.996019622,1.123224444,1.316270744
2022/5/30,1.009290857,1.094705429,1.383428681,0.993986147,1.120870394,1.311742762
2022/5/31,1.007605252,1.092716078,1.377183126,0.991216049,1.118367666,1.30658373
2022/6/1,1.005162617,1.091013168,1.366910621,0.987574443,1.115259679,1.299786816
2022/6/2,1.001798401,1.088453172,1.350510182,0.983372636,1.112065296,1.291710391
2022/6/3,0.997695768,1.08552459,1.330710723,0.978306138,1.108439295,1.282166732
2022/6/4,0.992925576,1.082180501,1.307888652,0.972402713,1.104325734,1.273006658
2022/6/5,0.986668404,1.078534273,1.283812029,0.965886821,1.100038494,1.2626931
2022/6/6,0.97896923,1.074426603,1.259288199,0.958432914,1.095541665,1.252249178
2022/6/7,0.968054967,1.070000978,1.23325398,0.950820265,1.090748117,1.241609704
2022/6/8,0.953833453,1.065491956,1.20908514,0.942016062,1.085898068,1.231808066
2022/6/9,0.935809946,1.060783909,1.187395608,0.933192827,1.080852978,1.22186638
2022/6/10,0.913115579,1.056276143,1.17056167,0.923006993,1.075998945,1.213361688
2022/6/11,0.887223352,1.052122175,1.15834758,0.912217732,1.071364236,1.205096684
2022/6/12,0.860510948,1.048263561,1.149353819,0.90156342,1.067103652,1.198384553
2022/6/13,0.836107719,1.044751174,1.142104829,0.892159773,1.063128167,1.192544701
2022/6/14,0.814994691,1.041655341,1.136094599,0.883618577,1.059403107,1.187692165
2022/6/15,0.795610087,1.038976189,1.131801156,0.876030806,1.056322712,1.183979012
2022/6/16,0.780938486,1.036677517,1.128325809,0.869065554,1.053843115,1.180995915
2022/6/17,0.769259721,1.034996703,1.12567709,0.864712185,1.051820654,1.178533531
2022/6/18,0.761544814,1.033840069,1.123640235,0.861717196,1.050503982,1.176871786
2022/6/19,0.758216696,1.033093101,1.122447436,0.860389181,1.049767612,1.176071135
2022/6/20,0.759598157,1.032943209,1.121828227,0.861171443,1.04958816,1.175811088
2022/6/21,0.764588501,1.033204562,1.121639524,0.863951188,1.049914386,1.176330637
2022/6/22,0.773788521,1.033861171,1.121859132,0.867912769,1.050935044,1.177455447
2022/6/23,0.785146525,1.034863163,1.122941999,0.872922042,1.052311535,1.179300072
2022/6/24,0.799381398,1.036275684,1.124487015,0.88026272,1.054133115,1.18200491
2022/6/25,0.815344801,1.038034033,1.127012368,0.887858853,1.056277463,1.185191135
2022/6/26,0.834512127,1.040088669,1.129903477,0.896209583,1.058873538,1.189593797
2022/6/27,0.856646369,1.042336284,1.133947108,0.905042873,1.061713064,1.194401864
2022/6/28,0.88090081,1.044981889,1.139720018,0.912792799,1.064819721,1.199756436
2022/6/29,0.903645477,1.047908586,1.148014731,0.920622401,1.068074963,1.206077666
2022/6/30,0.924622241,1.051074296,1.160443264,0.928716844,1.071578263,1.213343542
2022/7/1,0.940640594,1.054639701,1.179093733,0.936806121,1.075157801,1.221782662
2022/7/2,0.95360889,1.05822873,1.204710482,0.943977054,1.078717171,1.231123061
2022/7/3,0.964017072,1.061672899,1.230996932,0.95041792,1.082127938,1.241171475
2022/7/4,0.972646911,1.064878788,1.258184209,0.955983032,1.085589763,1.251845827
2022/7/5,0.980092378,1.067837138,1.287502884,0.961161951,1.088879349,1.262717947
2022/7/6,0.985483162,1.070534552,1.319492826,0.965332276,1.091862439,1.272658496
2022/7/7,0.989691797,1.072924907,1.350725007,0.968687697,1.094453626,1.28225923
2022/7/8,0.993112174,1.075003653,1.380986215,0.971746294,1.096904034,1.290767569
2022/7/9,0.995556892,1.076644848,1.403685018,0.974592243,1.098762867,1.298814621
2022/7/10,0.997253058,1.077914336,1.420733358,0.976459567,1.100405656,1.303733987
2022/7/11,0.998459718,1.07884197,1.429263741,0.977598869,1.10163022,1.307750373
2022/7/12,0.998952004,1.079218256,1.431006963,0.978030224,1.102261706,1.309910873
2022/7/13,0.998769637,1.079250559,1.42580645,0.978094458,1.102331316,1.308816691
2022/7/14,0.99813658,1.07880018,1.415188562,0.977915515,1.102008992,1.306159627
2022/7/15,0.99725087,1.078092252,1.399984,0.976783673,1.101329752,1.302505863
2022/7/16,0.995902193,1.076903251,1.380179091,0.974976107,1.10038812,1.296716894
2022/7/17,0.994030829,1.075925493,1.354321339,0.972968953,1.098885792,1.289670975
2022/7/18,0.991500096,1.07449312,1.327156043,0.970407637,1.097236361,1.282083833
2022/7/19,0.988340363,1.072393471,1.296637365,0.967557544,1.095242004,1.274601647
2022/7/20,0.984456277,1.069964242,1.269635704,0.964486237,1.093047781,1.266366861
2022/7/21,0.979184646,1.067444892,1.244798037,0.961242672,1.090914025,1.258069305
2022/7/22,0.972616535,1.064823604,1.222106105,0.956907659,1.088730163,1.250079077
2022/7/23,0.964452722,1.062113208,1.203276397,0.952498829,1.086513904,1.242723756
2022/7/24,0.955010521,1.059463834,1.188566994,0.947823832,1.084250675,1.236393945
2022/7/25,0.944382544,1.057062978,1.177183476,0.943548703,1.082278534,1.23041121
2022/7/26,0.933775926,1.054804572,1.168266488,0.938884649,1.080451788,1.225084683
2022/7/27,0.92424559,1.052765264,1.160758756,0.935057972,1.078735513,1.220274282
2022/7/28,0.914390615,1.050861588,1.154801243,0.931083234,1.077159531,1.21646126
2022/7/29,0.905684025,1.049001918,1.149681095,0.927642584,1.075723586,1.212955887
2022/7/30,0.896948084,1.047335766,1.145476084,0.923714196,1.074416174,1.209850335
2022/7/31,0.888624372,1.045953117,1.14224018,0.920471951,1.073202642,1.20785221
2022/8/1,0.881057185,1.044633475,1.139931502,0.917145537,1.072264954,1.206296439
2022/8/2,0.874878264,1.043624842,1.138064543,0.914276255,1.071384771,1.205039284
2022/8/3,0.869678124,1.042769285,1.136264601,0.912214636,1.07096653,1.20413091
2022/8/4,0.867282316,1.042307547,1.135142841,0.91078399,1.07078833,1.204046673
2022/8/5,0.867068563,1.042140307,1.134944587,0.910415078,1.070870792,1.204377873
2022/8/6,0.869549492,1.042282552,1.134948546,0.91044828,1.071458968,1.204853106
2022/8/7,0.875700516,1.042717414,1.135734027,0.910989028,1.072419274,1.206221089
2022/8/8,0.883291417,1.04347281,1.136929006,0.912712694,1.073696717,1.208299156
2022/8/9,0.891352086,1.044489103,1.13911577,0.915362011,1.075233769,1.21001726
2022/8/10,0.898235873,1.045808717,1.143084422,0.91818393,1.07690324,1.212856552
2022/8/11,0.905775658,1.047277162,1.147933213,0.92125117,1.078697658,1.215712128
2022/8/12,0.9123933,1.048779954,1.153647518,0.92449457,1.080663057,1.218717147
2022/8/13,0.918811707,1.050424393,1.158755617,0.928125393,1.082724196,1.221908221
2022/8/14,0.925660799,1.051918253,1.164697798,0.931774934,1.085032207,1.225083856
2022/8/15,0.931366638,1.053292925,1.170446574,0.934972161,1.087294499,1.228585226
2022/8/16,0.936639706,1.054736803,1.175444586,0.938441853,1.089483606,1.232121055
2022/8/17,0.940636233,1.056082682,1.180493288,0.941394239,1.091675562,1.2355904
2022/8/18,0.944959896,1.057402926,1.18387927,0.944437706,1.093933903,1.23851313
2022/8/19,0.949047368,1.058634982,1.185346822,0.947128831,1.09599451,1.242255698
2022/8/20,0.951930018,1.059866711,1.186450331,0.9504684,1.098126933,1.245717753
2022/8/21,0.954569412,1.061148194,1.188262872,0.953733031,1.100313183,1.248985341
2022/8/22,0.956247488,1.062233441,1.190574781,0.956978375,1.102592128,1.252560888
2022/8/23,0.958409055,1.06349301,1.193074407,0.960289373,1.104864248,1.25623707
2022/8/24,0.960488867,1.064809711,1.196326976,0.963310923,1.107360391,1.260401072
2022/8/25,0.9637246,1.066061965,1.199559666,0.966673911,1.109737078,1.265482504
2022/8/26,0.966426268,1.067351742,1.203996416,0.97000752,1.112306966,1.270108587
2022/8/27,0.96897768,1.068707836,1.208821456,0.973634503,1.114936117,1.275138585
2022/8/28,0.972282863,1.070084723,1.213356248,0.977258861,1.117487569,1.280239534
2022/8/29,0.975657114,1.07148552,1.217298387,0.981052528,1.120024239,1.285370048
2022/8/30,0.97867718,1.072868435,1.223055034,0.984812405,1.12252422,1.290141443
2022/8/31,0.981149674,1.074226706,1.228933637,0.988241468,1.124947942,1.295039811
2022/9/1,0.982520765,1.075491658,1.233957271,0.991046133,1.127260881,1.299317349
2022/9/2,0.983066392,1.076431875,1.238049831,0.993316987,1.129203125,1.302959108
2022/9/3,0.983135854,1.077092869,1.240163474,0.995234706,1.131063897,1.305248882
2022/9/4,0.982423151,1.077565912,1.241402557,0.997336188,1.132514408,1.307667707
2022/9/5,0.981180646,1.077833623,1.240609286,0.998839887,1.133740692,1.308295354
2022/9/6,0.979148377,1.077873308,1.237972813,0.999139437,1.134706723,1.308747087
2022/9/7,0.977081412,1.077752141,1.234247631,0.999846635,1.135445047,1.308057427
2022/9/8,0.973726501,1.077448016,1.229422693,0.999508897,1.136061459,1.306887201
2022/9/9,0.970457758,1.076927051,1.224712519,0.999185057,1.136260507,1.305926071
2022/9/10,0.966927433,1.076302775,1.219791236,0.998782952,1.136403541,1.304513199
2022/9/11,0.962845398,1.075674743,1.21489374,0.997560022,1.136420988,1.303016025
2022/9/12,0.958951663,1.07517245,1.210959091,0.996348249,1.136429594,1.301687636
2022/9/13,0.954975411,1.074752251,1.207195861,0.995640052,1.136457689,1.300704125
2022/9/14,0.950947183,1.07442411,1.204117926,0.994935251,1.136518514,1.299780497
2022/9/15,0.947998156,1.074170917,1.201764031,0.994941311,1.136784616,1.299782142
2022/9/16,0.946143561,1.07408122,1.200869134,0.995110398,1.137306836,1.299876884
2022/9/17,0.946159865,1.074231685,1.200748394,0.995361489,1.137874983,1.300819978
2022/9/18,0.947648604,1.074558506,1.202000194,0.996318465,1.138647524,1.301462443
2022/9/19,0.951461529,1.075197642,1.203138702,0.997329286,1.13948578,1.303284399
2022/9/20,0.955895064,1.075913833,1.204683208,0.999181937,1.140398707,1.305755967
2022/9/21,0.960808879,1.076779831,1.207329843,1.000762841,1.141354888,1.308321155
2022/9/22,0.966299632,1.077736006,1.210569198,1.002855301,1.14238498,1.310719728
2022/9/23,0.970874541,1.078850618,1.214025567,1.004224629,1.143473006,1.312602281
2022/9/24,0.974212733,1.079951534,1.218427024,1.005945115,1.144494094,1.314821442
2022/9/25,0.976943078,1.08100484,1.222666555,1.007581448,1.145447529,1.317311459
2022/9/26,0.979883461,1.082004272,1.227136902,1.00914942,1.146463075,1.320192246
2022/9/27,0.982737551,1.082843569,1.229614684,1.011014919,1.14718474,1.322324492
2022/9/28,0.985234075,1.083566752,1.233097309,1.012305864,1.147708799,1.324226533
2022/9/29,0.98677924,1.084102555,1.236861053,1.013729389,1.147966549,1.324734122
2022/9/30,0.987623562,1.084487865,1.240379628,1.01419094,1.148195591,1.325248168
2022/10/1,0.988140018,1.084772154,1.241854251,1.014375951,1.148268238,1.32621112
2022/10/2,0.988073172,1.084802154,1.241240738,1.014794462,1.148125817,1.325987666
2022/10/3,0.987411666,1.084627433,1.24039155,1.014064056,1.147661977,1.325773269
2022/10/4,0.98601155,1.084327512,1.23721014,1.01341912,1.147026916,1.324174978
2022/10/5,0.984817137,1.083847955,1.233899694,1.0120828,1.146132258,1.322952014
2022/10/6,0.983302539,1.083383748,1.231466975,1.010226351,1.145067358,1.320514007
2022/10/7,0.981138815,1.0827281,1.227852207,1.008590638,1.143866896,1.318785026
2022/10/8,0.979316447,1.082012038,1.223702492,1.006984774,1.142516456,1.316905753
2022/10/9,0.976695036,1.08134163,1.220670335,1.005276762,1.141282555,1.31520543
2022/10/10,0.974544029,1.080776618,1.217958816,1.003174034,1.139791032,1.313120822
2022/10/11,0.973059212,1.080185263,1.216348528,1.001470175,1.13841014,1.311116542
2022/10/12,0.971860544,1.079625137,1.214846064,0.999589983,1.137186099,1.309394793
2022/10/13,0.970564896,1.079144642,1.213458322,0.998141415,1.135860123,1.307421733
2022/10/14,0.969546949,1.078632665,1.213398815,0.997011031,1.1347115,1.305788133
2022/10/15,0.968365345,1.078168983,1.214915695,0.995632398,1.133476367,1.305262853
2022/10/16,0.968255765,1.077830788,1.216328948,0.994470522,1.132190955,1.30391591
2022/10/17,0.96853245,1.077359326,1.217623747,0.993101756,1.131007466,1.302130403
2022/10/18,0.968961784,1.076905107,1.219098546,0.9919628,1.129624122,1.300644801
2022/10/19,0.968949694,1.076483123,1.218892259,0.990142525,1.128225319,1.299398219
2022/10/20,0.969309401,1.075885456,1.219097318,0.988644954,1.126606222,1.2976696
2022/10/21,0.970130286,1.075263632,1.219813362,0.986546512,1.124872329,1.296298602
2022/10/22,0.970406177,1.074620422,1.22042661,0.985066998,1.123144385,1.293750737
2022/10/23,0.97080643,1.073941558,1.22183064,0.982916074,1.121288865,1.292392223
2022/10/24,0.97137159,1.073258599,1.22290386,0.981502845,1.119469997,1.290658294
2022/10/25,0.971133738,1.072500342,1.223927211,0.979879707,1.117525566,1.288479304
2022/10/26,0.970731692,1.071579601,1.224055141,0.977984252,1.115613239,1.2865078
2022/10/27,0.969880315,1.070551302,1.224895437,0.976334158,1.113491399,1.284320943
2022/10/28,0.968408676,1.069241509,1.22443906,0.97429652,1.111279548,1.282011557
2022/10/29,0.966883838,1.067848794,1.2235078,0.972733585,1.108915932,1.278985614
2022/10/30,0.965044698,1.066753948,1.220850572,0.971049543,1.106473902,1.276056916
2022/10/31,0.962338851,1.06556423,1.219461306,0.968793759,1.104059287,1.272717802
2022/11/1,0.960363358,1.064237802,1.217177185,0.966806748,1.101581674,1.269953619
2022/11/2,0.95766472,1.062834896,1.214254385,0.964785071,1.098927485,1.266386927
2022/11/3,0.955620757,1.061503844,1.212089553,0.961960157,1.096242193,1.262474802
2022/11/4,0.952791579,1.060110904,1.209328964,0.959417977,1.093579087,1.259011809
2022/11/5,0.950386776,1.058618952,1.205947545,0.957340686,1.090867463,1.255674592
2022/11/6,0.948921606,1.057203932,1.202331256,0.954709952,1.088053378,1.252817682
2022/11/7,0.946845722,1.055731265,1.199677786,0.952604671,1.085156043,1.249881426
2022/11/8,0.945584152,1.054245277,1.1963932,0.950574756,1.082313784,1.246990617
2022/11/9,0.943778078,1.052835438,1.193837581,0.94851,1.079482137,1.243798102
2022/11/10,0.942399139,1.0512546,1.191901713,0.946203117,1.076572048,1.240775343
2022/11/11,0.941500828,1.049715901,1.189493429,0.94437599,1.073651553,1.238207561
2022/11/12,0.940123092,1.04819507,1.188397747,0.941742034,1.07083187,1.235950075
2022/11/13,0.938516565,1.046737339,1.186928222,0.939143321,1.067964506,1.234104816
2022/11/14,0.937717106,1.045250563,1.186934528,0.937128138,1.064929417,1.231941641
2022/11/15,0.936970146,1.043737292,1.186321,0.935458066,1.062000501,1.229819828
2022/11/16,0.936879383,1.042345772,1.186263252,0.933597585,1.059004565,1.227397263
2022/11/17,0.936935647,1.040835484,1.185816955,0.931454265,1.05602637,1.224797313
2022/11/18,0.936475077,1.039289053,1.185398007,0.929014543,1.052927812,1.222078434
2022/11/19,0.936608008,1.037555747,1.184141976,0.926949531,1.049898772,1.219867909
2022/11/20,0.936169862,1.035814932,1.183756312,0.924838535,1.046587857,1.216711326
2022/11/21,0.935592004,1.03397615,1.18258954,0.922113815,1.043342576,1.214012542
2022/11/22,0.933999033,1.032094928,1.182584763,0.919380624,1.039996295,1.211224095
2022/11/23,0.932259383,1.030069733,1.181540859,0.916270418,1.036473604,1.208048028
2022/11/24,0.931096234,1.028008725,1.181084508,0.913302033,1.032786796,1.205210744
2022/11/25,0.929443649,1.025859917,1.180573079,0.910344559,1.029133526,1.200935078
2022/11/26,0.928114271,1.023766154,1.179225486,0.907222291,1.025258047,1.197346943
2022/11/27,0.925737356,1.021551178,1.177834056,0.903858101,1.021363297,1.193154331
2022/11/28,0.924016614,1.019346451,1.176718006,0.900523973,1.017418669,1.188801276
2022/11/29,0.922103745,1.017027621,1.175646996,0.896930482,1.013410744,1.184378119
2022/11/30,0.91974317,1.014561574,1.174108653,0.892897258,1.009331139,1.180145419
2022/12/1,0.917563268,1.012153133,1.172008202,0.888513963,1.00510522,1.175463761
2022/12/2,0.915506309,1.009655085,1.170498994,0.884949662,1.000806289,1.171309856
2022/12/3,0.913016677,1.0072374,1.168441043,0.880935746,0.996447169,1.16676404
2022/12/4,0.911001183,1.004654413,1.167713606,0.876738915,0.992052368,1.162052317
2022/12/5,0.907975485,1.002154315,1.166569368,0.872175774,0.987510011,1.157913115
2022/12/6,0.905684271,0.999670136,1.164538627,0.867767714,0.982954453,1.153653681
2022/12/7,0.903445343,0.997094415,1.163543313,0.863402901,0.978397269,1.147937639
