State,name,site_name,collection_date,bcov_recovery,Influenza_A_gc_g_dry_weight,Influenza_A_gc_g_dry_weight_lci,Influenza_A_gc_g_dry_weight_uci,PMMoV_gc_g_dry_weight,PMMoV_gc_g_dry_weight_lci,PMMoV_gc_g_dry_weight_uci
OH,"Akron, OH",Akron Water Reclamation Facility,2023/1/6,1.142,24922.38825,19877.33263,29337.93502,1.66E+08,1.61E+08,1.71E+08
OH,"Akron, OH",Akron Water Reclamation Facility,2023/1/9,1.35,18721.84572,15410.39966,22477.50418,2.48E+08,2.42E+08,2.55E+08
OH,"Akron, OH",Akron Water Reclamation Facility,2023/1/11,0.996,10721.26816,7435.222032,13855.40974,3.09E+08,3.01E+08,3.18E+08
OH,"Akron, OH",Akron Water Reclamation Facility,2023/1/13,0.988,11153.87098,8544.051894,13984.82928,2.66E+08,2.59E+08,2.74E+08
OH,"Akron, OH",Akron Water Reclamation Facility,2023/1/18,1.299,5506.403041,3774.59796,7701.499908,1.88E+08,1.82E+08,1.95E+08
OH,"Akron, OH",Akron Water Reclamation Facility,2023/1/20,1.253,5462.082667,3714.813335,7224.330125,2.71E+08,2.65E+08,2.77E+08
OH,"Akron, OH",Akron Water Reclamation Facility,2023/1/23,0.923,13173.16536,10380.26519,16427.28821,4.07E+08,3.66E+08,4.52E+08
OH,"Akron, OH",Akron Water Reclamation Facility,2023/1/25,1.238,11559.71131,7750.754086,14694.85265,3.29E+08,3.09E+08,3.48E+08
OH,"Akron, OH",Akron Water Reclamation Facility,2023/1/27,1.007,30994.34089,26789.65169,35726.03658,2.67E+08,2.60E+08,2.74E+08
OH,"Akron, OH",Akron Water Reclamation Facility,2023/1/30,1.667,36492.58319,31724.16255,41717.25065,3.64E+08,3.41E+08,3.90E+08
OH,"Akron, OH",Akron Water Reclamation Facility,2023/2/1,1.117,5724.529877,1936.113293,9173.321,3.14E+08,2.93E+08,3.34E+08
OH,"Akron, OH",Akron Water Reclamation Facility,2023/2/3,1.209,5397.300477,3595.335892,7719.784422,3.33E+08,3.03E+08,3.65E+08
OH,"Akron, OH",Akron Water Reclamation Facility,2023/2/6,1.021,4761.673693,3171.916803,6810.659273,2.98E+08,2.90E+08,3.05E+08
OH,"Akron, OH",Akron Water Reclamation Facility,2023/2/8,1.068,3013.747107,1110.150174,4936.340379,3.07E+08,2.97E+08,3.17E+08
OH,"Akron, OH",Akron Water Reclamation Facility,2023/2/10,1.516,3587.713471,2101.708282,5112.148262,2.79E+08,2.72E+08,2.86E+08
OH,"Akron, OH",Akron Water Reclamation Facility,2023/2/13,0.897,3172.656041,1600.257189,5067.578444,6.49E+08,5.98E+08,6.99E+08
OH,"Akron, OH",Akron Water Reclamation Facility,2023/2/15,1.077,7327.078329,5141.092551,10059.44435,5.64E+08,5.48E+08,5.79E+08
OH,"Akron, OH",Akron Water Reclamation Facility,2023/2/17,1.516,6078.844083,4166.971434,8502.222194,2.90E+08,2.52E+08,3.24E+08
OH,"Akron, OH",Akron Water Reclamation Facility,2023/2/22,1.224,2060.349277,632.4398496,3527.353724,2.67E+08,2.40E+08,2.96E+08
OH,"Akron, OH",Akron Water Reclamation Facility,2023/2/24,1.401,8774.147906,6277.816187,11858.46329,1.23E+09,1.08E+09,1.39E+09
OH,"Akron, OH",Akron Water Reclamation Facility,2023/2/27,1.176,0,0,0,2.61E+08,2.40E+08,2.79E+08
OH,"Akron, OH",Akron Water Reclamation Facility,2023/3/1,0.909,0,0,0,1.60E+08,1.53E+08,1.66E+08
OH,"Akron, OH",Akron Water Reclamation Facility,2023/3/6,1.266,4766.985334,2630.549141,7260.232533,1.88E+08,1.81E+08,1.94E+08
OH,"Akron, OH",Akron Water Reclamation Facility,2023/3/8,0.741,0,0,0,1.67E+08,1.51E+08,1.86E+08
OH,"Akron, OH",Akron Water Reclamation Facility,2023/3/13,2.485,0,0,0,2.55E+08,2.44E+08,2.67E+08
OH,"Akron, OH",Akron Water Reclamation Facility,2023/3/15,0.962,3905.941181,2379.989878,5823.98345,5.12E+08,5.03E+08,5.21E+08
OH,"Akron, OH",Akron Water Reclamation Facility,2023/3/17,0.812,7355.177769,4162.271817,10400.82886,3.32E+08,3.22E+08,3.42E+08
OH,"Akron, OH",Akron Water Reclamation Facility,2023/3/20,1.199,0,0,0,1.54E+09,1.41E+09,1.67E+09
OH,"Akron, OH",Akron Water Reclamation Facility,2023/3/22,1.94,3034.874105,761.8371443,5369.576221,2.20E+08,2.10E+08,2.31E+08
OH,"Akron, OH",Akron Water Reclamation Facility,2023/3/24,0.69,0,0,0,1.25E+08,1.15E+08,1.35E+08
OH,"Akron, OH",Akron Water Reclamation Facility,2023/3/27,0.981,5464.595836,3452.468001,8033.053096,2.78E+08,2.69E+08,2.87E+08
OH,"Akron, OH",Akron Water Reclamation Facility,2023/3/29,0.825,0,0,0,1.74E+08,1.55E+08,1.95E+08
OH,"Akron, OH",Akron Water Reclamation Facility,2023/3/31,1.108,1400.381621,727.7265721,2397.478585,1.96E+08,1.91E+08,2.01E+08
OH,"Akron, OH",Akron Water Reclamation Facility,2023/4/3,0.71,0,0,0,3.25E+08,3.08E+08,3.42E+08
OH,"Akron, OH",Akron Water Reclamation Facility,2023/4/5,1.249,0,0,0,5.36E+08,4.94E+08,5.76E+08
OH,"Akron, OH",Akron Water Reclamation Facility,2023/4/10,1.032,0,0,0,2.04E+09,1.98E+09,2.09E+09
OH,"Akron, OH",Akron Water Reclamation Facility,2023/4/12,1.135,1490.785625,774.706176,2552.251139,3.74E+08,3.40E+08,4.07E+08
OH,"Akron, OH",Akron Water Reclamation Facility,2023/4/14,0.839,0,0,0,3.34E+08,3.13E+08,3.53E+08
OH,"Akron, OH",Akron Water Reclamation Facility,2023/4/17,0.578,1431.481114,743.8878818,2450.720529,2.39E+08,2.14E+08,2.70E+08
OH,"Akron, OH",Akron Water Reclamation Facility,2023/4/19,0.66,0,0,0,4.49E+08,4.20E+08,4.81E+08
OH,"Akron, OH",Akron Water Reclamation Facility,2023/4/21,0.5,0,0,0,1.71E+08,1.65E+08,1.77E+08
OH,"Akron, OH",Akron Water Reclamation Facility,2023/4/24,1.179,0,0,0,3.17E+08,2.40E+08,3.91E+08
OH,"Akron, OH",Akron Water Reclamation Facility,2023/4/26,0.749,2301.392405,1321.565051,3675.936418,1.36E+08,8.62E+07,1.84E+08
OH,"Akron, OH",Akron Water Reclamation Facility,2023/4/28,0.817,0,0,0,2.78E+08,2.46E+08,3.11E+08
OH,"Akron, OH",Akron Water Reclamation Facility,2023/5/1,1.033,0,0,0,4.72E+08,4.16E+08,5.25E+08
OH,"Akron, OH",Akron Water Reclamation Facility,2023/5/3,1.141,0,0,0,3.14E+08,2.99E+08,3.29E+08
OH,"Akron, OH",Akron Water Reclamation Facility,2023/5/5,1.275,0,0,0,3.10E+08,3.03E+08,3.17E+08
OH,"Akron, OH",Akron Water Reclamation Facility,2023/5/8,1.058,0,0,0,2.89E+08,2.79E+08,2.99E+08
OH,"Akron, OH",Akron Water Reclamation Facility,2023/5/12,0.679,0,0,0,3.19E+08,1.82E+08,4.60E+08
OH,"Akron, OH",Akron Water Reclamation Facility,2023/5/15,2.111,0,0,0,3.92E+08,3.77E+08,4.08E+08
OH,"Akron, OH",Akron Water Reclamation Facility,2023/5/17,1.689,0,0,0,2.73E+08,2.48E+08,2.96E+08
OH,"Akron, OH",Akron Water Reclamation Facility,2023/5/19,2.238,0,0,0,4.34E+08,4.01E+08,4.69E+08
OH,"Akron, OH",Akron Water Reclamation Facility,2023/5/22,1.039,0,0,0,4.86E+08,4.74E+08,4.97E+08
OH,"Akron, OH",Akron Water Reclamation Facility,2023/5/26,1.221,0,0,0,7.39E+08,7.27E+08,7.51E+08
OH,"Akron, OH",Akron Water Reclamation Facility,2023/5/31,1.269,0,0,0,3.53E+08,3.09E+08,3.97E+08
FL,"Altamonte Springs, FL",Altamonte Springs Regional Water Reclamation Facility,2022/10/24,0.966,0,0,0,2.14E+08,2.04E+08,2.24E+08
FL,"Altamonte Springs, FL",Altamonte Springs Regional Water Reclamation Facility,2022/10/26,2.126,11713.72362,6086.938324,20055.32878,1.50E+08,1.43E+08,1.57E+08
FL,"Altamonte Springs, FL",Altamonte Springs Regional Water Reclamation Facility,2022/10/28,0.937,13716.82763,7127.921366,23484.45976,1.13E+08,1.06E+08,1.20E+08
FL,"Altamonte Springs, FL",Altamonte Springs Regional Water Reclamation Facility,2022/10/31,1.527,0,0,0,1.68E+08,1.57E+08,1.79E+08
FL,"Altamonte Springs, FL",Altamonte Springs Regional Water Reclamation Facility,2022/11/2,0.828,23541.44331,15681.09437,33673.396,1.90E+08,1.81E+08,1.98E+08
FL,"Altamonte Springs, FL",Altamonte Springs Regional Water Reclamation Facility,2022/11/4,1.128,28584.64353,21574.99268,36463.07879,2.45E+08,2.39E+08,2.52E+08
FL,"Altamonte Springs, FL",Altamonte Springs Regional Water Reclamation Facility,2022/11/7,0.654,16642.2027,10363.30804,22492.83939,2.75E+08,2.43E+08,3.09E+08
FL,"Altamonte Springs, FL",Altamonte Springs Regional Water Reclamation Facility,2022/11/9,0.831,35055.71561,25392.51034,44281.30908,5.64E+08,4.23E+08,7.00E+08
FL,"Altamonte Springs, FL",Altamonte Springs Regional Water Reclamation Facility,2022/11/11,0.713,22960.42254,7980.859811,33248.59849,2.91E+08,2.27E+08,3.55E+08
FL,"Altamonte Springs, FL",Altamonte Springs Regional Water Reclamation Facility,2022/11/14,1.12,52711.21018,44737.06602,62221.85712,3.77E+08,3.67E+08,3.87E+08
FL,"Altamonte Springs, FL",Altamonte Springs Regional Water Reclamation Facility,2022/11/16,1.231,45724.79197,37420.20882,54129.77334,3.12E+08,2.76E+08,3.45E+08
FL,"Altamonte Springs, FL",Altamonte Springs Regional Water Reclamation Facility,2022/11/18,1.219,40960.70669,35656.12147,46767.85007,2.56E+08,2.48E+08,2.65E+08
FL,"Altamonte Springs, FL",Altamonte Springs Regional Water Reclamation Facility,2022/11/21,1.104,18165.60511,11196.90276,25182.5868,1.74E+08,1.53E+08,1.95E+08
FL,"Altamonte Springs, FL",Altamonte Springs Regional Water Reclamation Facility,2022/11/23,1.19,36063.23523,31725.02147,40780.18251,2.97E+08,2.76E+08,3.17E+08
