Collection_Date,site_name,Plant,PMMoV_gc_g_dry_weight,PMMoV_gc_g_dry_weight_UCI,PMMoV_gc_g_dry_weight_LCI,RSV_gc_g_dry_weight,RSV_gc_g_dry_weight_LCI,RSV_gc_g_dry_weight_UCI,bcov_recovery
2022/8/1,Lawrence Kansas River Wastewater Treatment Facility,"Lawrence, KS",1236175289,1291864281,1186802591,7798.641483,4039.515131,10398.6461,1.587
2022/8/3,Lawrence Kansas River Wastewater Treatment Facility,"Lawrence, KS",673799381.1,690572780.9,657060932.9,4226.582682,1674.240598,6751.014636,0.552
2022/8/5,Lawrence Kansas River Wastewater Treatment Facility,"Lawrence, KS",566733784.8,585344369.6,550142374.1,1859.368098,460.8415895,3153.999446,1.763
2022/8/8,Lawrence Kansas River Wastewater Treatment Facility,"Lawrence, KS",816276041.7,888715897.9,743335581,8633.359274,6756.457072,10829.7893,0.805
2022/8/10,Lawrence Kansas River Wastewater Treatment Facility,"Lawrence, KS",853291105.8,929419307.3,781563042.4,11917.12927,7147.50643,16233.26584,0.957
2022/8/12,Lawrence Kansas River Wastewater Treatment Facility,"Lawrence, KS",235109611,248445519,222232478,0,0,0,0.64
2022/8/15,Lawrence Kansas River Wastewater Treatment Facility,"Lawrence, KS",721096752.4,732547184.5,709667731.8,4844.223797,3466.003149,6547.060598,0.866
2022/8/17,Lawrence Kansas River Wastewater Treatment Facility,"Lawrence, KS",671806698.8,739812775.5,608251787.2,4371.505205,2741.156184,6114.179586,0.993
2022/8/19,Lawrence Kansas River Wastewater Treatment Facility,"Lawrence, KS",464085273.1,492882184.9,436823723.9,1539.19045,883.8743931,2458.494197,0.849
2022/8/22,Lawrence Kansas River Wastewater Treatment Facility,"Lawrence, KS",186876640.4,212913385.8,156220472.4,1238.845144,642.519685,2120.734908,0.715
2022/8/24,Lawrence Kansas River Wastewater Treatment Facility,"Lawrence, KS",39396059.19,44564516.91,34675147.94,0,0,0,0.347
2022/8/26,Lawrence Kansas River Wastewater Treatment Facility,"Lawrence, KS",671111087.5,682031205.8,660208439.4,5320.528711,2342.283941,8362.061733,0.876
2022/8/29,Lawrence Kansas River Wastewater Treatment Facility,"Lawrence, KS",499234371.2,539444472.5,455988928.6,4012.012847,2672.548952,5738.3931,1.033
2022/8/31,Lawrence Kansas River Wastewater Treatment Facility,"Lawrence, KS",1067444573,1147836342,989855099.4,13840.90303,10862.24393,16855.71069,1.277
2022/9/5,Lawrence Kansas River Wastewater Treatment Facility,"Lawrence, KS",734507178.7,749536475.5,718033254.7,2694.70424,1427.381185,4108.708365,1.975
