time,middle,rapid,prolong,super_rapid
1,10.09508014,18.23270525,3.7805272,51.07909302
2,8.265152568,12.22174782,3.596148713,4.192827281
3,6.766934586,8.192482564,3.42076247,0.344168222
4,5.54029745,5.491585289,3.253929916,0.028251048
5,4.536011903,3.681119704,3.095233881,0.002318987
6,3.713772441,2.467528329,2.944277544,0.000190354
7,3.040579708,1.654033703,2.800683433,1.56E-05
8,2.489416114,1.108731948,2.664092491,1.28E-06
9,2.03816153,0.743205251,2.534163167,1.05E-07
10,1.668705524,0.498185378,2.410570571,8.64E-09
11,1.36622053,0.333943645,2.293005657,7.09E-10
12,1.118566764,0.22384912,2.181174451,5.82E-11
13,0.915805009,0.150050552,2.074797318,4.78E-12
14,0.749797725,0.100581893,1.973608259,3.92E-13
15,0.613882456,0.067422059,1.877354248,3.22E-14
16,0.502604445,0.045194358,1.785794601,2.64E-15
17,0.411497716,0.030294684,1.698700371,2.17E-16
18,0.336905835,0.020307134,1.615853776,1.78E-17
19,0.275835168,0.013612279,1.537047657,1.46E-18
20,0.225834735,0.009124583,1.462084959,1.20E-19
21,0.184897842,0.006116391,1.390778234,9.85E-21
22,0.15138155,0.00409994,1.322949179,8.09E-22
23,0.12394073,0.002748272,1.258428186,6.64E-23
24,0.101474087,0.001842222,1.197053919,5.45E-24
25,0.083079956,0.001234878,1.138672911,4.47E-25
