"","date","count","positive","concentration","low","median","upr"
"1",2022-01-01,0,0,NA,3.13182060242626,3.36599327077943,3.60734804239559
"2",2022-01-02,0,0,NA,3.14134522100476,3.36046485240326,3.58041907049783
"3",2022-01-03,0,0,NA,3.15091066305242,3.35422577345457,3.55579444676866
"4",2022-01-04,0,0,NA,3.16069215649841,3.34780716999488,3.53129819087492
"5",2022-01-05,0,0,NA,3.17079277830044,3.34168001468204,3.50930591987677
"6",2022-01-06,0,0,NA,3.17950974262722,3.33512003475054,3.48787265804887
"7",2022-01-07,0,0,NA,3.188067513943,3.32885457959617,3.4657124122897
"8",2022-01-08,2,1,3.12546945403132,3.1937442548831,3.32213760851818,3.44655009532919
"9",2022-01-09,5,3,3.26542451488431,3.19583745451092,3.31608299684921,3.42909447485252
"10",2022-01-10,5,3,3.42033408004483,3.19842407481318,3.31058187310246,3.4127615844454
"11",2022-01-11,5,3,3.50130963396152,3.19902841157148,3.30454359275204,3.39797333504589
"12",2022-01-12,4,3,3.33223691405071,3.19837318014185,3.29846453571972,3.38725220061619
"13",2022-01-13,5,2,3.60833917797722,3.19748064421818,3.293020585624,3.37540053748627
"14",2022-01-14,4,1,4.12907651605967,3.19829264020199,3.28758177832035,3.36693649258187
"15",2022-01-15,5,1,3.94762974699239,3.19548436625489,3.28201755266208,3.35949355497436
"16",2022-01-16,5,2,3.54949282403782,3.19445170996545,3.27705783375948,3.35263446427738
"17",2022-01-17,5,1,4.00653980785502,3.1923283012017,3.27319083094961,3.34745064167114
"18",2022-01-18,5,1,3.84992599799967,3.18995045459192,3.26928816645849,3.34305224699634
"19",2022-01-19,5,2,3.63602858201743,3.18734691034364,3.26600196019207,3.33871787419258
"20",2022-01-20,5,2,3.51693575699373,3.18363438757372,3.2630499465821,3.33629020187936
"21",2022-01-21,5,2,3.54730889998811,3.18025854544247,3.25997618377863,3.33450264027141
"22",2022-01-22,5,4,3.36318849109256,3.17663621479366,3.25732777552971,3.33132866263431
"23",2022-01-23,5,2,3.6449845910235,3.17399456670515,3.25422767505192,3.32796622503756
"24",2022-01-24,5,2,3.23598545810781,3.16991967892053,3.25072848752976,3.3245046474712
"25",2022-01-25,5,2,3.43149090295042,3.16496445159779,3.24683133955492,3.32189443826845
"26",2022-01-26,5,4,3.50530833596423,3.15883509908055,3.24263617914158,3.31638561138372
"27",2022-01-27,5,1,3.61408303504877,3.15418683222019,3.23841615586305,3.3120571148382
"28",2022-01-28,5,2,3.30497404791491,3.14821649782163,3.23346958997751,3.30761788788818
"29",2022-01-29,5,1,3.13444011185101,3.14302678227717,3.22815878514227,3.30366039285286
"30",2022-01-30,5,1,2.75744423796761,3.13668649202339,3.22327314446875,3.29939960348747
"31",2022-01-31,4,1,3.04755506518143,3.13022305588607,3.21879230730457,3.29556085317201
"32",2022-02-01,5,1,3.26046866799553,3.12560483515411,3.21467857785396,3.29239555127613
"33",2022-02-02,5,1,2.97527235502151,3.12130713771763,3.21168543743717,3.2886894325701
"34",2022-02-03,5,1,3.02472550401071,3.1168850660419,3.20849726847155,3.28734992434882
"35",2022-02-04,5,1,5.51242095794595,3.11232202910271,3.20522264716665,3.28503612192207
"36",2022-02-05,5,2,3.17112652592277,3.10797166164673,3.20231156823045,3.28341157382381
"37",2022-02-06,5,3,3.2167151949609,3.10571188522437,3.19954361910129,3.28103510871621
"38",2022-02-07,5,0,NA,3.10097610013132,3.19787271827036,3.28023693173016
"39",2022-02-08,5,3,3.54942842995104,3.09754638915618,3.19569771722016,3.27793221425146
"40",2022-02-09,5,2,3.95212607201604,3.09442806622273,3.19340083031463,3.27718813153438
"41",2022-02-10,5,2,3.78039221398851,3.09102407624309,3.19034314451917,3.27563322951509
"42",2022-02-11,5,2,3.62486698603676,3.08665578713841,3.18759300347144,3.27315057376395
"43",2022-02-12,5,2,3.44152198396512,3.08241104878491,3.18499382798242,3.27053664596033
"44",2022-02-13,5,2,3.26488611493171,3.07973069636179,3.18300024985876,3.26860276766964
"45",2022-02-14,5,1,4.03280842111443,3.07752550348798,3.18029325733207,3.26658254597816
"46",2022-02-15,5,1,3.5492453620436,3.07530342316298,3.17888054573782,3.26486913112737
"47",2022-02-16,4,2,3.32506335506241,3.07255229735431,3.17758673459664,3.26437473154385
"48",2022-02-17,5,0,NA,3.07222912923232,3.17647142213196,3.26308602595641
"49",2022-02-18,5,1,3.32222413791761,3.07300953202903,3.17627338484971,3.26250705612338
"50",2022-02-19,5,0,NA,3.07356024637538,3.17685214109137,3.2635291652673
"51",2022-02-20,5,1,3.79835824800047,3.07523231919077,3.1782969946472,3.26390808179968
"52",2022-02-21,5,0,NA,3.07713630023161,3.18083079719071,3.26628794437927
"53",2022-02-22,5,1,3.54873668498824,3.08027133090202,3.18365947916354,3.26968020196883
"54",2022-02-23,5,3,3.6288008549601,3.08348912305934,3.18729815339157,3.2733466901142
"55",2022-02-24,4,2,3.39497766107879,3.08865377486175,3.19065310807014,3.27678434234219
"56",2022-02-25,5,2,3.19078909713114,3.09354821422059,3.19466054552385,3.28001828040623
"57",2022-02-26,5,0,NA,3.09927463787585,3.19838326052936,3.28283582932512
"58",2022-02-27,5,3,3.18064020886917,3.10406845444436,3.20246285124315,3.28540557039941
"59",2022-02-28,4,2,3.52977434001139,3.11053835172059,3.20606921469677,3.28806802697285
"60",2022-03-01,5,3,3.34408225700297,3.11476515272494,3.21001915528249,3.29192204690922
"61",2022-03-02,5,2,3.23663695690369,3.11954060692044,3.21403692413901,3.29443909307737
"62",2022-03-03,5,1,2.95572610798025,3.12475247493829,3.21762334177029,3.2953364131384
"63",2022-03-04,5,2,3.34993519195363,3.13002837746677,3.22146748986073,3.29887459784452
"64",2022-03-05,5,2,3.14926231603111,3.13549716502806,3.22548971990581,3.30305607279958
"65",2022-03-06,5,0,NA,3.14100794540293,3.22960085074332,3.30592557341798
"66",2022-03-07,5,2,2.99242637902026,3.14708146134996,3.23474777907628,3.31034742332752
"67",2022-03-08,5,2,3.6350473180016,3.15471556808092,3.24004566199972,3.31487320068635
"68",2022-03-09,5,3,3.48177042304248,3.16144403965524,3.24551085268631,3.31915356177401
"69",2022-03-10,5,1,3.24774969904959,3.16883886887516,3.25092947940291,3.32571690385988
"70",2022-03-11,5,4,2.99420522297928,3.17721896150835,3.25718178551312,3.33032579907251
"71",2022-03-12,5,2,3.07742533883954,3.18499160157746,3.26375768620921,3.33619486790006
"72",2022-03-13,5,2,3.25097425595725,3.19322464173594,3.27081149597122,3.34275148288419
"73",2022-03-14,5,1,3.0721505210645,3.20221219809117,3.27827723960363,3.35000907987268
"74",2022-03-15,5,3,3.34634103705717,3.21093205480868,3.28629429725228,3.35774698176408
"75",2022-03-16,5,4,3.28031082608001,3.21933794795144,3.29399897128206,3.36462520858364
"76",2022-03-17,5,2,3.36086441905334,3.22905075220272,3.30259722097209,3.37281821943054
"77",2022-03-18,5,3,3.31493656307526,3.23993513920524,3.31104169219885,3.37986626186878
"78",2022-03-19,5,3,3.30297440199839,3.25038217766367,3.320043431397,3.38729281208874
"79",2022-03-20,5,1,3.14829249606735,3.26159854321453,3.32909954948576,3.3964295625127
"80",2022-03-21,5,3,3.27094318605823,3.27218590665262,3.33906185601741,3.40430711432311
"81",2022-03-22,5,2,3.29586634206832,3.28339662142664,3.34927019431331,3.41312031509233
"82",2022-03-23,5,4,3.32609323006872,3.29504803163426,3.35996176499236,3.4219047815015
"83",2022-03-24,5,3,3.1585454221305,3.30664652910419,3.37037927605621,3.4322894079635
"84",2022-03-25,5,2,3.49424658204511,3.31810145572237,3.38130976169331,3.44251629006683
"85",2022-03-26,5,4,3.18085516206941,3.32982121952295,3.3921242186538,3.45218002216742
"86",2022-03-27,5,4,3.24361543296187,3.34200905500184,3.40347753915862,3.46180143593409
"87",2022-03-28,5,3,3.40981018301899,3.35410152029006,3.41445460984197,3.47253438800851
"88",2022-03-29,5,5,3.61516473797442,3.36669554479088,3.42536831218641,3.48323486308211
"89",2022-03-30,5,4,3.35556244894553,3.37860409038419,3.43560325281061,3.4922206232872
"90",2022-03-31,4,4,3.56950876801517,3.38838826281197,3.4451375632809,3.50126155545095
"91",2022-04-01,5,5,3.43593854306988,3.39721514281763,3.45431292663361,3.51056110882479
"92",2022-04-02,5,4,3.33869794699672,3.40630559687376,3.46264912621876,3.51849549653768
"93",2022-04-03,4,3,3.22413683305299,3.4151528719389,3.47060376987329,3.52670019318365
"94",2022-04-04,5,5,3.34550752597883,3.42420975761629,3.4787725840339,3.53481226838471
"95",2022-04-05,5,4,3.3792193119861,3.43199428740378,3.48659882028082,3.54155000597896
"96",2022-04-06,4,3,3.63556455205025,3.44009091741124,3.49420647499201,3.54972462977987
"97",2022-04-07,5,4,3.35751216198799,3.4459271719921,3.50200009889715,3.5573430974795
"98",2022-04-08,5,5,3.50107450705651,3.45444064472022,3.50920082798359,3.56537069044459
"99",2022-04-09,5,5,3.25644143093322,3.4619623897799,3.51715896603126,3.57237086506179
"100",2022-04-10,5,3,3.62267677602922,3.46978097874349,3.52452899427085,3.57911269741847
"101",2022-04-11,5,4,3.63180629404232,3.47802662361629,3.5318130828754,3.58600183311719
"102",2022-04-12,5,5,3.50644255904752,3.48564443959226,3.53933115351879,3.59358512011867
